1,小池 礼乃,小池 礼乃.1,2,原 加央理,原 加央理.1,3,清水 愛海,清水 愛海.1,4,岩崎 芳美,岩崎 芳美.1,5,福島 陽子,福島 陽子.1,6,廣中　智紗衣,廣中　智紗衣.1
2.0,3.0,16.5,1.0,3.0,35.3,1.0,2.0,46.0,1.0,2.0,62.5,1.0,2.0,1269.0,1.0,2.0,363.4
2.0,4.0,16.6,1.0,4.0,32.5,1.0,4.0,26.9,1.0,3.0,67.8,1.0,3.0,1339.0,1.0,3.0,302.6
2.0,5.0,135.2,1.0,5.0,210.2,1.0,5.0,188.9,1.0,5.0,210.1,1.0,4.0,1529.0,1.0,4.0,270.6
2.0,6.0,31.6,1.0,6.0,56.9,1.0,6.0,34.8,1.0,6.0,54.5,1.0,6.0,1865.0,1.0,5.0,1078.0
3.0,2.0,13.1,3.0,1.0,62.2,2.0,1.0,83.5,2.0,1.0,84.1,2.0,1.0,1542.0,2.0,1.0,535.3
3.0,4.0,9.9,3.0,4.0,55.0,2.0,4.0,63.8,2.0,3.0,84.9,2.0,3.0,1801.0,2.0,3.0,465.1
3.0,5.0,105.6,3.0,5.0,346.8,2.0,5.0,311.1,2.0,5.0,272.4,2.0,4.0,1498.0,2.0,4.0,286.0
3.0,6.0,19.1,3.0,6.0,85.3,2.0,6.0,76.7,2.0,6.0,62.2,2.0,6.0,2437.0,2.0,5.0,1904.0
4.0,2.0,19.1,4.0,1.0,54.2,4.0,1.0,41.0,3.0,1.0,84.9,3.0,1.0,1810.0,3.0,1.0,410.3
4.0,3.0,17.2,4.0,3.0,58.1,4.0,2.0,53.4,3.0,2.0,92.1,3.0,2.0,1965.0,3.0,2.0,390.2
4.0,5.0,115.0,4.0,5.0,221.8,4.0,5.0,188.7,3.0,5.0,324.7,3.0,4.0,2556.0,3.0,4.0,239.1
4.0,6.0,21.0,4.0,6.0,55.2,4.0,6.0,32.7,3.0,6.0,61.8,3.0,6.0,2270.0,3.0,5.0,1422.0
5.0,2.0,385.6,5.0,1.0,796.5,5.0,1.0,640.3,5.0,1.0,399.1,4.0,1.0,1749.0,4.0,1.0,288.1
5.0,3.0,376.9,5.0,3.0,830.9,5.0,2.0,808.9,5.0,2.0,496.1,4.0,2.0,2202.0,4.0,2.0,226.9
5.0,4.0,437.3,5.0,4.0,911.7,5.0,4.0,655.2,5.0,3.0,635.8,4.0,3.0,2437.0,4.0,3.0,224.8
5.0,6.0,372.3,5.0,6.0,791.4,5.0,6.0,550.6,5.0,6.0,292.9,4.0,6.0,1206.0,4.0,5.0,876.8
6.0,2.0,83.4,6.0,1.0,180.2,6.0,1.0,101.5,6.0,1.0,80.1,6.0,1.0,3021.0,5.0,1.0,2630.0
6.0,3.0,74.0,6.0,3.0,201.0,6.0,2.0,136.9,6.0,2.0,76.7,6.0,2.0,3098.0,5.0,2.0,2504.0
6.0,4.0,63.0,6.0,4.0,142.2,6.0,4.0,72.8,6.0,3.0,76.9,6.0,3.0,3549.0,5.0,3.0,2229.0
6.0,5.0,323.5,6.0,5.0,683.4,6.0,5.0,391.4,6.0,5.0,219.0,6.0,4.0,1875.0,5.0,4.0,1542.0
