1,峰重 侑治,峰重 侑治.1,2,楠原 正剛,楠原 正剛.1,3,菊池 峰晴,菊池 峰晴.1,4,金子 萌,金子 萌.1,5,植田 太一,植田 太一.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,10.1,1.0,3.0,57.8,1.0,2.0,90.7,1.0,2.0,45.4,1.0,2.0,68.2,1.0,2.0,1278.0
2.0,4.0,6.5,1.0,4.0,43.5,1.0,4.0,74.9,1.0,3.0,86.7,1.0,3.0,85.0,1.0,3.0,1322.0
2.0,5.0,12.4,1.0,5.0,65.8,1.0,5.0,97.8,1.0,5.0,66.1,1.0,4.0,82.6,1.0,4.0,1334.0
2.0,6.0,202.7,1.0,6.0,386.7,1.0,6.0,525.8,1.0,6.0,324.3,1.0,6.0,256.9,1.0,5.0,1300.0
3.0,2.0,12.9,3.0,1.0,141.6,2.0,1.0,184.9,2.0,1.0,81.5,2.0,1.0,137.0,2.0,1.0,1983.0
3.0,4.0,12.4,3.0,4.0,197.1,2.0,4.0,208.9,2.0,3.0,202.1,2.0,3.0,213.4,2.0,3.0,2589.0
3.0,5.0,16.8,3.0,5.0,239.2,2.0,5.0,278.2,2.0,5.0,169.5,2.0,4.0,194.4,2.0,4.0,2332.0
3.0,6.0,211.4,3.0,6.0,1060.0,2.0,6.0,1241.0,2.0,6.0,694.3,2.0,6.0,556.4,2.0,5.0,2589.0
4.0,2.0,10.8,4.0,1.0,83.0,4.0,1.0,151.2,3.0,1.0,201.3,3.0,1.0,204.4,3.0,1.0,2121.0
4.0,3.0,16.3,4.0,3.0,211.8,4.0,2.0,233.7,3.0,2.0,311.1,3.0,2.0,317.2,3.0,2.0,3024.0
4.0,5.0,13.8,4.0,5.0,172.3,4.0,5.0,223.6,3.0,5.0,296.0,3.0,4.0,334.6,3.0,4.0,2504.0
4.0,6.0,198.2,4.0,6.0,650.0,4.0,6.0,1060.0,3.0,6.0,1152.0,3.0,6.0,821.2,3.0,5.0,2314.0
5.0,2.0,22.4,5.0,1.0,190.9,5.0,1.0,208.2,5.0,1.0,107.2,4.0,1.0,149.5,4.0,1.0,1921.0
5.0,3.0,28.1,5.0,3.0,323.2,5.0,2.0,315.2,5.0,2.0,160.0,4.0,2.0,210.4,4.0,2.0,2386.0
5.0,4.0,28.0,5.0,4.0,280.7,5.0,4.0,294.8,5.0,3.0,216.6,4.0,3.0,243.8,4.0,3.0,2828.0
5.0,6.0,231.4,5.0,6.0,1028.0,5.0,6.0,922.9,5.0,6.0,422.5,4.0,6.0,558.5,4.0,5.0,2567.0
6.0,2.0,498.3,6.0,1.0,1060.0,6.0,1.0,1765.0,6.0,1.0,855.7,6.0,1.0,565.7,5.0,1.0,1818.0
6.0,3.0,688.0,6.0,3.0,1625.0,6.0,2.0,2197.0,6.0,2.0,888.0,6.0,2.0,759.9,5.0,2.0,2444.0
6.0,4.0,581.9,6.0,4.0,1497.0,6.0,4.0,2263.0,6.0,3.0,1527.0,6.0,3.0,819.0,5.0,3.0,2386.0
6.0,5.0,599.0,6.0,5.0,1874.0,6.0,5.0,1885.0,6.0,5.0,1028.0,6.0,4.0,825.6,5.0,4.0,2405.0
