1,山ノ内　雅人,山ノ内　雅人.1,2,幸野 史明,幸野 史明.1,3,前野 竜一,前野 竜一.1,4,玄馬 徹,玄馬 徹.1,5,松尾 基成,松尾 基成.1,6,山田 亮太,山田 亮太.1
2.0,3.0,6.5,1.0,3.0,41.7,1.0,2.0,40.1,1.0,2.0,203.0,1.0,2.0,858.9,1.0,2.0,302.6
2.0,4.0,17.4,1.0,4.0,96.0,1.0,4.0,35.4,1.0,3.0,138.5,1.0,3.0,611.7,1.0,3.0,202.3
2.0,5.0,42.5,1.0,5.0,206.1,1.0,5.0,64.8,1.0,5.0,258.2,1.0,4.0,913.6,1.0,4.0,486.2
2.0,6.0,19.8,1.0,6.0,97.6,1.0,6.0,28.7,1.0,6.0,168.3,1.0,6.0,803.6,1.0,5.0,720.8
3.0,2.0,6.1,3.0,1.0,112.0,2.0,1.0,102.9,2.0,1.0,442.0,2.0,1.0,1456.0,2.0,1.0,520.6
3.0,4.0,6.8,3.0,4.0,309.8,2.0,4.0,189.6,2.0,3.0,722.6,2.0,3.0,1770.0,2.0,3.0,596.4
3.0,5.0,21.9,3.0,5.0,537.2,2.0,5.0,449.6,2.0,5.0,999.6,2.0,4.0,2516.0,2.0,4.0,1180.0
3.0,6.0,8.7,3.0,6.0,223.2,2.0,6.0,166.9,2.0,6.0,615.6,2.0,6.0,2351.0,2.0,5.0,2006.0
4.0,2.0,37.1,4.0,1.0,337.1,4.0,1.0,113.3,3.0,1.0,222.9,3.0,1.0,838.8,3.0,1.0,237.8
4.0,3.0,24.8,4.0,3.0,474.9,4.0,2.0,271.4,3.0,2.0,538.2,3.0,2.0,1793.0,3.0,2.0,487.0
4.0,5.0,74.0,4.0,5.0,1280.0,4.0,5.0,313.8,3.0,5.0,652.0,3.0,4.0,1770.0,3.0,4.0,741.3
4.0,6.0,40.6,4.0,6.0,543.3,4.0,6.0,151.3,3.0,6.0,306.8,3.0,6.0,1456.0,3.0,5.0,1086.0
5.0,2.0,133.1,5.0,1.0,940.6,5.0,1.0,264.1,5.0,1.0,466.5,4.0,1.0,1082.0,4.0,1.0,805.8
5.0,3.0,80.5,5.0,3.0,1099.0,5.0,2.0,489.5,5.0,2.0,799.1,4.0,2.0,1862.0,4.0,2.0,1310.0
5.0,4.0,139.8,5.0,4.0,1639.0,5.0,4.0,506.8,5.0,3.0,783.8,4.0,3.0,1862.0,4.0,3.0,1070.0
5.0,6.0,125.9,5.0,6.0,1304.0,5.0,6.0,313.2,5.0,6.0,456.8,4.0,6.0,1103.0,4.0,5.0,1399.0
6.0,2.0,54.0,6.0,1.0,404.0,6.0,1.0,88.4,6.0,1.0,324.9,6.0,1.0,1280.0,5.0,1.0,1576.0
6.0,3.0,34.4,6.0,3.0,454.6,6.0,2.0,154.8,6.0,2.0,562.5,6.0,2.0,1978.0,5.0,2.0,2785.0
6.0,4.0,84.5,6.0,4.0,817.3,6.0,4.0,201.7,6.0,3.0,459.0,6.0,3.0,1620.0,5.0,3.0,1760.0
6.0,5.0,128.4,6.0,5.0,1456.0,6.0,5.0,294.5,6.0,5.0,529.3,6.0,4.0,1340.0,5.0,4.0,1585.0
