1,前野 竜一,前野 竜一.1,2,鈴木 智啓,鈴木 智啓.1,3,鈴木 秀茉,鈴木 秀茉.1,4,野長瀬　正孝,野長瀬　正孝.1,5,中辻 崇人,中辻 崇人.1,6,岡本　翔太郎,岡本　翔太郎.1
2.0,3.0,47.0,1.0,3.0,180.9,1.0,2.0,181.9,1.0,2.0,143.2,1.0,2.0,47.1,1.0,2.0,1351.0
2.0,4.0,40.2,1.0,4.0,155.0,1.0,4.0,82.1,1.0,3.0,103.8,1.0,3.0,28.8,1.0,3.0,1245.0
2.0,5.0,31.2,1.0,5.0,122.1,1.0,5.0,63.1,1.0,5.0,39.5,1.0,4.0,19.2,1.0,4.0,1136.0
2.0,6.0,141.2,1.0,6.0,481.2,1.0,6.0,240.2,1.0,6.0,167.6,1.0,6.0,41.9,1.0,5.0,552.3
3.0,2.0,52.3,3.0,1.0,302.3,2.0,1.0,288.4,2.0,1.0,275.7,2.0,1.0,104.6,2.0,1.0,2281.0
3.0,4.0,22.1,3.0,4.0,242.6,2.0,4.0,256.0,2.0,3.0,302.3,2.0,3.0,180.9,2.0,3.0,2681.0
3.0,5.0,14.6,3.0,5.0,198.7,2.0,5.0,198.5,2.0,5.0,167.4,2.0,4.0,120.3,2.0,4.0,2766.0
3.0,6.0,96.8,3.0,6.0,871.7,2.0,6.0,651.7,2.0,6.0,577.8,2.0,6.0,243.6,2.0,5.0,2641.0
4.0,2.0,51.4,4.0,1.0,293.2,4.0,1.0,128.7,3.0,1.0,172.9,3.0,1.0,72.4,3.0,1.0,2054.0
4.0,3.0,26.3,4.0,3.0,274.0,4.0,2.0,241.9,3.0,2.0,273.3,3.0,2.0,179.8,3.0,2.0,2702.0
4.0,5.0,13.6,4.0,5.0,157.4,4.0,5.0,72.0,3.0,5.0,100.3,3.0,4.0,71.3,3.0,4.0,1888.0
4.0,6.0,79.8,4.0,6.0,856.8,4.0,6.0,236.5,3.0,6.0,325.5,3.0,6.0,133.9,3.0,5.0,1534.0
5.0,2.0,26.9,5.0,1.0,181.5,5.0,1.0,77.1,5.0,1.0,30.5,4.0,1.0,29.8,4.0,1.0,1501.0
5.0,3.0,12.0,5.0,3.0,191.1,5.0,2.0,170.9,5.0,2.0,81.4,4.0,2.0,83.2,4.0,2.0,2342.0
5.0,4.0,10.4,5.0,4.0,150.3,5.0,4.0,68.2,5.0,3.0,55.7,4.0,3.0,58.0,4.0,3.0,1689.0
5.0,6.0,37.4,5.0,6.0,473.4,5.0,6.0,146.0,5.0,6.0,57.6,4.0,6.0,53.6,4.0,5.0,529.8
6.0,2.0,382.6,6.0,1.0,1792.0,6.0,1.0,749.0,6.0,1.0,449.2,6.0,1.0,94.7,5.0,1.0,542.1
6.0,3.0,297.7,6.0,3.0,1829.0,6.0,2.0,1174.0,6.0,2.0,752.2,6.0,2.0,232.8,5.0,2.0,1649.0
6.0,4.0,239.3,6.0,4.0,2054.0,6.0,4.0,750.6,6.0,3.0,610.9,6.0,3.0,150.7,5.0,3.0,1097.0
6.0,5.0,164.7,6.0,5.0,1520.0,6.0,5.0,497.6,6.0,5.0,235.3,6.0,4.0,104.8,5.0,4.0,496.2
