1,中島 昂章,中島 昂章.1,2,尾上 雅也,尾上 雅也.1,3,小林 遼太,小林 遼太.1,4,菅 章哉,菅 章哉.1,5,廣瀬 真也,廣瀬 真也.1,6,菊地 敬介,菊地 敬介.1
2.0,3.0,33.4,1.0,3.0,40.8,1.0,2.0,313.1,1.0,2.0,12.8,1.0,2.0,205.5,1.0,2.0,871.5
2.0,4.0,17.9,1.0,4.0,19.7,1.0,4.0,394.8,1.0,3.0,54.1,1.0,3.0,496.4,1.0,3.0,1458.0
2.0,5.0,52.5,1.0,5.0,46.5,1.0,5.0,542.8,1.0,5.0,22.5,1.0,4.0,208.0,1.0,4.0,806.3
2.0,6.0,85.2,1.0,6.0,73.6,1.0,6.0,571.6,1.0,6.0,39.2,1.0,6.0,252.5,1.0,5.0,1181.0
3.0,2.0,73.8,3.0,1.0,112.5,2.0,1.0,337.8,2.0,1.0,11.6,2.0,1.0,191.7,2.0,1.0,854.7
3.0,4.0,109.3,3.0,4.0,102.0,2.0,4.0,299.3,2.0,3.0,39.9,2.0,3.0,459.8,2.0,3.0,1463.0
3.0,5.0,168.5,3.0,5.0,179.4,2.0,5.0,473.6,2.0,5.0,15.6,2.0,4.0,147.4,2.0,4.0,712.7
3.0,6.0,268.2,3.0,6.0,237.5,2.0,6.0,665.4,2.0,6.0,29.6,2.0,6.0,206.2,2.0,5.0,1062.0
4.0,2.0,23.8,4.0,1.0,20.8,4.0,1.0,486.1,3.0,1.0,120.6,3.0,1.0,1039.0,3.0,1.0,2482.0
4.0,3.0,93.7,4.0,3.0,41.1,4.0,2.0,339.6,3.0,2.0,99.8,3.0,2.0,928.3,3.0,2.0,2176.0
4.0,5.0,86.6,4.0,5.0,42.1,4.0,5.0,642.2,3.0,5.0,130.8,3.0,4.0,926.3,3.0,4.0,2243.0
4.0,6.0,146.6,4.0,6.0,77.0,4.0,6.0,889.1,3.0,6.0,179.1,3.0,6.0,1088.0,3.0,5.0,2761.0
5.0,2.0,120.9,5.0,1.0,109.9,5.0,1.0,966.9,5.0,1.0,19.1,4.0,1.0,128.6,4.0,1.0,722.0
5.0,3.0,256.6,5.0,3.0,204.1,5.0,2.0,699.1,5.0,2.0,14.7,4.0,2.0,111.0,4.0,2.0,627.6
5.0,4.0,156.9,5.0,4.0,90.1,5.0,4.0,958.5,5.0,3.0,66.5,4.0,3.0,388.9,4.0,3.0,1463.0
5.0,6.0,250.7,5.0,6.0,133.8,5.0,6.0,1085.0,5.0,6.0,21.5,4.0,6.0,131.3,4.0,5.0,633.9
6.0,2.0,264.4,6.0,1.0,249.2,6.0,1.0,1503.0,6.0,1.0,55.8,6.0,1.0,357.5,5.0,1.0,1133.0
6.0,3.0,571.6,6.0,3.0,424.0,6.0,2.0,1363.0,6.0,2.0,45.1,6.0,2.0,342.0,5.0,2.0,1075.0
6.0,4.0,330.9,6.0,4.0,236.6,6.0,4.0,1458.0,6.0,3.0,144.9,6.0,3.0,782.0,5.0,3.0,1583.0
6.0,5.0,417.6,6.0,5.0,270.9,6.0,5.0,1774.0,6.0,5.0,45.2,6.0,4.0,295.7,5.0,4.0,709.2
