1,犬童 千秋,犬童 千秋.1,2,川原 愛未,川原 愛未.1,3,田口 節子,田口 節子.1,4,野田部　宏子,野田部　宏子.1,5,片岡 恵里,片岡 恵里.1,6,土屋 蘭,土屋 蘭.1
2.0,3.0,31.4,1.0,3.0,114.4,1.0,2.0,22.2,1.0,2.0,192.3,1.0,2.0,554.1,1.0,2.0,1368.0
2.0,4.0,72.4,1.0,4.0,186.5,1.0,4.0,7.7,1.0,3.0,53.1,1.0,3.0,193.1,1.0,3.0,881.6
2.0,5.0,110.7,1.0,5.0,229.1,1.0,5.0,8.5,1.0,5.0,90.7,1.0,4.0,389.7,1.0,4.0,1656.0
2.0,6.0,271.3,1.0,6.0,487.0,1.0,6.0,44.7,1.0,6.0,261.6,1.0,6.0,649.0,1.0,5.0,2048.0
3.0,2.0,18.2,3.0,1.0,154.8,2.0,1.0,70.5,2.0,1.0,401.6,2.0,1.0,1121.0,2.0,1.0,2305.0
3.0,4.0,7.4,3.0,4.0,272.0,2.0,4.0,106.9,2.0,3.0,433.2,2.0,3.0,1060.0,2.0,3.0,2497.0
3.0,5.0,9.3,3.0,5.0,300.8,2.0,5.0,114.2,2.0,5.0,472.4,2.0,4.0,1831.0,2.0,4.0,3470.0
3.0,6.0,46.7,3.0,6.0,688.3,2.0,6.0,267.8,2.0,6.0,898.4,2.0,6.0,2060.0,2.0,5.0,3507.0
4.0,2.0,66.5,4.0,1.0,432.7,4.0,1.0,15.9,3.0,1.0,46.1,3.0,1.0,193.8,3.0,1.0,972.6
4.0,3.0,21.6,4.0,3.0,422.7,4.0,2.0,62.2,3.0,2.0,205.3,3.0,2.0,544.1,3.0,2.0,2035.0
4.0,5.0,42.6,4.0,5.0,685.5,4.0,5.0,18.5,3.0,5.0,54.0,3.0,4.0,289.2,3.0,4.0,1099.0
4.0,6.0,137.6,4.0,6.0,1070.0,4.0,6.0,67.3,3.0,6.0,185.3,3.0,6.0,559.8,3.0,5.0,1873.0
5.0,2.0,138.3,5.0,1.0,751.1,5.0,1.0,30.3,5.0,1.0,138.3,4.0,1.0,505.7,4.0,1.0,1905.0
5.0,3.0,42.9,5.0,3.0,752.8,5.0,2.0,105.0,5.0,2.0,330.7,4.0,2.0,1234.0,4.0,2.0,3972.0
5.0,4.0,85.6,5.0,4.0,952.9,5.0,4.0,37.5,5.0,3.0,126.5,4.0,3.0,392.5,4.0,3.0,1385.0
5.0,6.0,213.9,5.0,6.0,1519.0,5.0,6.0,100.4,5.0,6.0,276.3,4.0,6.0,1005.0,4.0,5.0,2289.0
6.0,2.0,618.6,6.0,1.0,1884.0,6.0,1.0,212.4,6.0,1.0,666.1,6.0,1.0,1577.0,5.0,1.0,2442.0
6.0,3.0,259.2,6.0,3.0,2113.0,6.0,2.0,450.4,6.0,2.0,1099.0,6.0,2.0,2918.0,5.0,2.0,3925.0
6.0,4.0,483.4,6.0,4.0,2258.0,6.0,4.0,258.6,6.0,3.0,524.2,6.0,3.0,1608.0,5.0,3.0,2198.0
6.0,5.0,557.9,6.0,5.0,2497.0,6.0,5.0,300.3,6.0,5.0,630.4,6.0,4.0,1884.0,5.0,4.0,2372.0
