1,中越 博紀,中越 博紀.1,2,長尾 章平,長尾 章平.1,3,佐藤　謙史朗,佐藤　謙史朗.1,4,増本 杏珠,増本 杏珠.1,5,平野 和明,平野 和明.1,6,横川 聖志,横川 聖志.1
2.0,3.0,8.1,1.0,3.0,16.3,1.0,2.0,75.7,1.0,2.0,873.8,1.0,2.0,39.1,1.0,2.0,243.8
2.0,4.0,120.5,1.0,4.0,141.5,1.0,4.0,675.4,1.0,3.0,2043.0,1.0,3.0,114.6,1.0,3.0,532.3
2.0,5.0,5.2,1.0,5.0,8.9,1.0,5.0,100.6,1.0,5.0,1926.0,1.0,4.0,625.9,1.0,4.0,2350.0
2.0,6.0,17.1,1.0,6.0,33.0,1.0,6.0,181.0,1.0,6.0,2461.0,1.0,6.0,120.3,1.0,5.0,290.1
3.0,2.0,18.1,3.0,1.0,41.1,2.0,1.0,83.3,2.0,1.0,1394.0,2.0,1.0,48.2,2.0,1.0,371.0
3.0,4.0,261.3,3.0,4.0,361.0,2.0,4.0,652.0,2.0,3.0,2423.0,2.0,3.0,101.2,2.0,3.0,513.7
3.0,5.0,24.0,3.0,5.0,38.3,2.0,5.0,86.9,2.0,5.0,2156.0,2.0,4.0,712.2,2.0,4.0,2733.0
3.0,6.0,52.6,3.0,6.0,83.3,2.0,6.0,163.4,2.0,6.0,3155.0,2.0,6.0,126.9,2.0,5.0,312.3
4.0,2.0,446.0,4.0,1.0,608.9,4.0,1.0,1331.0,3.0,1.0,2884.0,3.0,1.0,196.1,3.0,1.0,900.5
4.0,3.0,694.3,4.0,3.0,1030.0,4.0,2.0,1492.0,3.0,2.0,2733.0,3.0,2.0,152.3,3.0,2.0,618.5
4.0,5.0,687.2,4.0,5.0,1075.0,4.0,5.0,2423.0,3.0,5.0,2975.0,3.0,4.0,1277.0,3.0,4.0,2884.0
4.0,6.0,807.7,4.0,6.0,1169.0,4.0,6.0,2009.0,3.0,6.0,4701.0,3.0,6.0,299.0,3.0,5.0,694.3
5.0,2.0,12.6,5.0,1.0,21.5,5.0,1.0,139.1,5.0,1.0,2919.0,4.0,1.0,2374.0,4.0,1.0,4654.0
5.0,3.0,29.8,5.0,3.0,43.4,5.0,2.0,120.9,5.0,2.0,2568.0,4.0,2.0,1836.0,4.0,2.0,4235.0
5.0,4.0,300.7,5.0,4.0,353.9,5.0,4.0,1047.0,5.0,3.0,3382.0,4.0,3.0,2815.0,4.0,3.0,4160.0
5.0,6.0,38.2,5.0,6.0,61.4,5.0,6.0,243.4,5.0,6.0,3357.0,4.0,6.0,2374.0,4.0,5.0,4520.0
6.0,2.0,45.8,6.0,1.0,139.0,6.0,1.0,395.7,6.0,1.0,3310.0,6.0,1.0,216.0,5.0,1.0,443.9
6.0,3.0,92.5,6.0,3.0,187.4,6.0,2.0,327.8,6.0,2.0,3885.0,6.0,2.0,201.9,5.0,2.0,357.2
6.0,4.0,523.5,6.0,4.0,861.0,6.0,4.0,1497.0,6.0,3.0,5001.0,6.0,3.0,322.8,5.0,3.0,657.4
6.0,5.0,56.8,6.0,5.0,151.5,6.0,5.0,366.4,6.0,5.0,4273.0,6.0,4.0,1035.0,5.0,4.0,2386.0
