1,宗行 治哉,宗行 治哉.1,2,古川 誠之,古川 誠之.1,3,松井 賢治,松井 賢治.1,4,岡部 大輔,岡部 大輔.1,5,西川　新太郎,西川　新太郎.1,6,百武 翔,百武 翔.1
2.0,3.0,7.2,1.0,3.0,31.0,1.0,2.0,89.2,1.0,2.0,65.0,1.0,2.0,122.6,1.0,2.0,1008.0
2.0,4.0,10.5,1.0,4.0,38.8,1.0,4.0,83.4,1.0,3.0,104.1,1.0,3.0,153.7,1.0,3.0,1309.0
2.0,5.0,12.5,1.0,5.0,45.8,1.0,5.0,88.0,1.0,5.0,63.8,1.0,4.0,142.7,1.0,4.0,1138.0
2.0,6.0,41.1,1.0,6.0,112.0,1.0,6.0,200.2,1.0,6.0,102.1,1.0,6.0,179.6,1.0,5.0,1290.0
3.0,2.0,10.7,3.0,1.0,95.8,2.0,1.0,158.6,2.0,1.0,114.5,2.0,1.0,250.6,2.0,1.0,1515.0
3.0,4.0,13.5,3.0,4.0,151.9,2.0,4.0,209.7,2.0,3.0,228.1,2.0,3.0,624.4,2.0,3.0,2824.0
3.0,5.0,14.4,3.0,5.0,183.5,2.0,5.0,257.7,2.0,5.0,183.5,2.0,4.0,532.1,2.0,4.0,1596.0
3.0,6.0,47.0,3.0,6.0,332.2,2.0,6.0,470.8,2.0,6.0,223.0,2.0,6.0,650.8,2.0,5.0,2509.0
4.0,2.0,20.9,4.0,1.0,114.7,4.0,1.0,195.2,3.0,1.0,230.3,3.0,1.0,347.8,3.0,1.0,2211.0
4.0,3.0,24.0,4.0,3.0,202.2,4.0,2.0,297.6,3.0,2.0,326.0,3.0,2.0,811.3,3.0,2.0,3118.0
4.0,5.0,29.0,4.0,5.0,216.4,4.0,5.0,282.3,3.0,5.0,327.2,3.0,4.0,819.9,3.0,4.0,2557.0
4.0,6.0,51.0,4.0,6.0,331.2,4.0,6.0,442.9,3.0,6.0,440.0,3.0,6.0,999.1,3.0,5.0,3481.0
5.0,2.0,23.9,5.0,1.0,172.1,5.0,1.0,201.8,5.0,1.0,83.2,4.0,1.0,180.7,4.0,1.0,1290.0
5.0,3.0,25.1,5.0,3.0,295.6,5.0,2.0,375.7,5.0,2.0,131.7,4.0,2.0,333.8,4.0,2.0,1462.0
5.0,4.0,40.8,5.0,4.0,342.3,5.0,4.0,358.7,5.0,3.0,212.2,4.0,3.0,504.2,4.0,3.0,2345.0
5.0,6.0,60.4,5.0,6.0,554.5,5.0,6.0,623.0,5.0,6.0,113.2,4.0,6.0,295.3,4.0,5.0,1355.0
6.0,2.0,147.2,6.0,1.0,694.4,6.0,1.0,819.9,6.0,1.0,238.1,6.0,1.0,487.8,5.0,1.0,1962.0
6.0,3.0,159.2,6.0,3.0,1098.0,6.0,2.0,1345.0,6.0,2.0,329.4,6.0,2.0,911.4,5.0,2.0,2408.0
6.0,4.0,144.8,6.0,4.0,906.8,6.0,4.0,1165.0,6.0,3.0,551.6,6.0,3.0,1229.0,5.0,3.0,3414.0
6.0,5.0,162.5,6.0,5.0,1105.0,6.0,5.0,1057.0,6.0,5.0,238.8,6.0,4.0,698.0,5.0,4.0,1601.0
