1,安藤 裕貴,安藤 裕貴.1,2,大場 広孝,大場 広孝.1,3,松本 真広,松本 真広.1,4,片岡 恵里,片岡 恵里.1,5,木場 悠介,木場 悠介.1,6,鈴木 秀茉,鈴木 秀茉.1
2.0,3.0,13.1,1.0,3.0,54.2,1.0,2.0,117.0,1.0,2.0,188.7,1.0,2.0,60.4,1.0,2.0,330.8
2.0,4.0,18.5,1.0,4.0,59.3,1.0,4.0,121.4,1.0,3.0,251.1,1.0,3.0,112.1,1.0,3.0,595.2
2.0,5.0,11.2,1.0,5.0,34.0,1.0,5.0,92.7,1.0,5.0,92.2,1.0,4.0,82.4,1.0,4.0,533.1
2.0,6.0,24.8,1.0,6.0,96.2,1.0,6.0,169.4,1.0,6.0,134.8,1.0,6.0,47.1,1.0,5.0,208.3
3.0,2.0,23.3,3.0,1.0,170.9,2.0,1.0,226.8,2.0,1.0,309.9,2.0,1.0,99.2,2.0,1.0,495.6
3.0,4.0,24.6,3.0,4.0,370.0,2.0,4.0,484.9,2.0,3.0,781.2,2.0,3.0,211.0,2.0,3.0,1250.0
3.0,5.0,19.8,3.0,5.0,166.1,2.0,5.0,210.2,2.0,5.0,309.9,2.0,4.0,218.4,2.0,4.0,1071.0
3.0,6.0,38.4,3.0,6.0,480.7,2.0,6.0,422.9,2.0,6.0,394.7,2.0,6.0,155.8,2.0,5.0,585.9
4.0,2.0,33.8,4.0,1.0,220.1,4.0,1.0,255.1,3.0,1.0,441.1,3.0,1.0,215.1,3.0,1.0,1236.0
4.0,3.0,38.5,4.0,3.0,495.6,4.0,2.0,565.3,3.0,2.0,995.5,3.0,2.0,258.0,3.0,2.0,1562.0
4.0,5.0,22.3,4.0,5.0,230.0,4.0,5.0,391.9,3.0,5.0,721.1,3.0,4.0,533.1,3.0,4.0,1630.0
4.0,6.0,37.5,4.0,6.0,453.6,4.0,6.0,487.0,3.0,6.0,833.3,3.0,6.0,323.2,3.0,5.0,1264.0
5.0,2.0,13.7,5.0,1.0,100.2,5.0,1.0,153.0,5.0,1.0,95.5,4.0,1.0,117.4,4.0,1.0,721.1
5.0,3.0,23.1,5.0,3.0,180.2,5.0,2.0,160.7,5.0,2.0,187.5,4.0,2.0,191.9,4.0,2.0,1222.0
5.0,4.0,19.0,5.0,4.0,209.1,5.0,4.0,265.9,5.0,3.0,306.5,4.0,3.0,382.6,4.0,3.0,1520.0
5.0,6.0,18.0,5.0,6.0,218.4,5.0,6.0,219.3,5.0,6.0,94.3,4.0,6.0,98.1,4.0,5.0,412.0
6.0,2.0,71.0,6.0,1.0,305.7,6.0,1.0,474.6,6.0,1.0,237.3,6.0,1.0,69.7,5.0,1.0,226.3
6.0,3.0,86.8,6.0,3.0,781.2,6.0,2.0,635.6,6.0,2.0,450.0,6.0,2.0,176.6,5.0,2.0,495.6
6.0,4.0,69.9,6.0,4.0,618.1,6.0,4.0,681.8,6.0,3.0,707.5,6.0,3.0,288.4,5.0,3.0,961.5
6.0,5.0,46.6,6.0,5.0,489.1,6.0,5.0,497.7,6.0,5.0,168.1,6.0,4.0,121.4,5.0,4.0,360.5
