1,沢田 昭宏,沢田 昭宏.1,2,中本 大樹,中本 大樹.1,3,大塚 雅治,大塚 雅治.1,4,坂口 周,坂口 周.1,5,中 亮太,中 亮太.1,6,土性 雅也,土性 雅也.1
2.0,3.0,96.1,1.0,3.0,301.1,1.0,2.0,305.5,1.0,2.0,84.4,1.0,2.0,51.9,1.0,2.0,922.0
2.0,4.0,53.3,1.0,4.0,142.3,1.0,4.0,105.6,1.0,3.0,85.1,1.0,3.0,52.0,1.0,3.0,1844.0
2.0,5.0,56.1,1.0,5.0,146.2,1.0,5.0,96.0,1.0,5.0,22.3,1.0,4.0,20.2,1.0,4.0,885.6
2.0,6.0,240.7,1.0,6.0,480.1,1.0,6.0,357.4,1.0,6.0,66.3,1.0,6.0,51.2,1.0,5.0,890.6
3.0,2.0,111.6,3.0,1.0,462.4,2.0,1.0,444.6,2.0,1.0,146.0,2.0,1.0,83.3,2.0,1.0,1152.0
3.0,4.0,47.2,3.0,4.0,411.4,2.0,4.0,340.7,2.0,3.0,277.1,2.0,3.0,142.6,2.0,3.0,1971.0
3.0,5.0,44.6,3.0,5.0,408.7,2.0,5.0,347.1,2.0,5.0,80.6,2.0,4.0,72.7,2.0,4.0,1339.0
3.0,6.0,212.4,3.0,6.0,927.5,2.0,6.0,868.4,2.0,6.0,203.8,2.0,6.0,145.8,2.0,5.0,1161.0
4.0,2.0,43.2,4.0,1.0,183.8,4.0,1.0,120.1,3.0,1.0,150.5,3.0,1.0,94.4,3.0,1.0,1911.0
4.0,3.0,38.7,4.0,3.0,337.4,4.0,2.0,300.2,3.0,2.0,307.6,3.0,2.0,171.7,3.0,2.0,1923.0
4.0,5.0,15.7,4.0,5.0,119.0,4.0,5.0,78.2,3.0,5.0,84.3,3.0,4.0,87.0,3.0,4.0,1183.0
4.0,6.0,62.2,4.0,6.0,371.0,4.0,6.0,232.4,3.0,6.0,222.9,3.0,6.0,212.6,3.0,5.0,1412.0
5.0,2.0,44.2,5.0,1.0,173.0,5.0,1.0,107.3,5.0,1.0,12.2,4.0,1.0,15.0,4.0,1.0,880.6
5.0,3.0,38.1,5.0,3.0,316.3,5.0,2.0,272.6,5.0,2.0,29.3,4.0,2.0,35.9,4.0,2.0,1192.0
5.0,4.0,18.6,5.0,4.0,123.2,5.0,4.0,80.4,5.0,3.0,37.4,4.0,3.0,45.5,4.0,3.0,1041.0
5.0,6.0,56.3,5.0,6.0,344.8,5.0,6.0,249.6,5.0,6.0,14.6,4.0,6.0,16.6,4.0,5.0,247.6
6.0,2.0,486.8,6.0,1.0,1100.0,6.0,1.0,861.2,6.0,1.0,150.2,6.0,1.0,105.7,5.0,1.0,657.2
6.0,3.0,447.2,6.0,3.0,1458.0,6.0,2.0,1363.0,6.0,2.0,221.8,6.0,2.0,160.8,5.0,2.0,748.2
6.0,4.0,270.2,6.0,4.0,878.1,6.0,4.0,589.3,6.0,3.0,260.1,6.0,3.0,214.1,5.0,3.0,1031.0
6.0,5.0,244.9,6.0,5.0,729.0,6.0,5.0,689.0,6.0,5.0,73.5,6.0,4.0,55.8,5.0,4.0,232.9
