1,中田 元泰,中田 元泰.1,2,木場　雄二郎,木場　雄二郎.1,3,山田 佑樹,山田 佑樹.1,4,前川 守嗣,前川 守嗣.1,5,青木　幸太郎,青木　幸太郎.1,6,宮野 仁,宮野 仁.1
2.0,3.0,12.1,1.0,3.0,129.5,1.0,2.0,80.5,1.0,2.0,188.3,1.0,2.0,171.2,1.0,2.0,464.2
2.0,4.0,17.1,1.0,4.0,158.0,1.0,4.0,70.9,1.0,3.0,165.7,1.0,3.0,113.4,1.0,3.0,297.7
2.0,5.0,23.6,1.0,5.0,193.9,1.0,5.0,72.4,1.0,5.0,126.3,1.0,4.0,138.7,1.0,4.0,465.5
2.0,6.0,30.3,1.0,6.0,207.7,1.0,6.0,93.1,1.0,6.0,143.3,1.0,6.0,96.5,1.0,5.0,358.2
3.0,2.0,10.0,3.0,1.0,316.5,2.0,1.0,255.3,2.0,1.0,363.3,2.0,1.0,405.2,2.0,1.0,867.6
3.0,4.0,7.5,3.0,4.0,601.7,2.0,4.0,456.8,2.0,3.0,801.6,2.0,3.0,791.8,2.0,3.0,1380.0
3.0,5.0,10.0,3.0,5.0,760.3,2.0,5.0,540.5,2.0,5.0,591.3,2.0,4.0,836.7,2.0,4.0,1347.0
3.0,6.0,15.5,3.0,6.0,667.0,2.0,6.0,558.7,2.0,6.0,594.0,2.0,6.0,569.1,2.0,5.0,1466.0
4.0,2.0,23.4,4.0,1.0,451.6,4.0,1.0,167.6,3.0,1.0,286.3,3.0,1.0,285.3,3.0,1.0,482.4
4.0,3.0,14.7,4.0,3.0,890.1,4.0,2.0,431.2,3.0,2.0,700.4,3.0,2.0,815.5,3.0,2.0,1500.0
4.0,5.0,21.5,4.0,5.0,1026.0,4.0,5.0,265.5,3.0,5.0,477.1,3.0,4.0,601.7,3.0,4.0,1075.0
4.0,6.0,26.8,4.0,6.0,959.5,4.0,6.0,342.8,3.0,6.0,499.2,3.0,6.0,475.8,3.0,5.0,1271.0
5.0,2.0,33.0,5.0,1.0,624.2,5.0,1.0,195.6,5.0,1.0,145.5,4.0,1.0,227.5,4.0,1.0,717.0
5.0,3.0,21.0,5.0,3.0,1124.0,5.0,2.0,503.6,5.0,2.0,372.7,4.0,2.0,631.9,4.0,2.0,1628.0
5.0,4.0,32.1,5.0,4.0,1293.0,5.0,4.0,355.0,5.0,3.0,360.2,4.0,3.0,496.4,4.0,3.0,1253.0
5.0,6.0,28.5,5.0,6.0,923.5,5.0,6.0,361.5,5.0,6.0,182.9,4.0,6.0,290.8,4.0,5.0,875.0
6.0,2.0,67.0,6.0,1.0,665.2,6.0,1.0,229.0,6.0,1.0,279.3,6.0,1.0,185.2,5.0,1.0,436.0
6.0,3.0,45.9,6.0,3.0,1075.0,6.0,2.0,774.0,6.0,2.0,654.3,6.0,2.0,416.6,5.0,2.0,1134.0
6.0,4.0,62.8,6.0,4.0,1454.0,6.0,4.0,605.2,6.0,3.0,622.7,6.0,3.0,363.8,5.0,3.0,959.5
6.0,5.0,53.6,6.0,5.0,1181.0,6.0,5.0,521.4,6.0,5.0,315.1,6.0,4.0,381.8,5.0,4.0,764.8
