1,松田　大志郎,松田　大志郎.1,2,柳生 泰二,柳生 泰二.1,3,大橋　純一郎,大橋　純一郎.1,4,伊藤 啓三,伊藤 啓三.1,5,永嶋 裕一,永嶋 裕一.1,6,山本　景士郎,山本　景士郎.1
2.0,3.0,5.1,1.0,3.0,30.3,1.0,2.0,58.1,1.0,2.0,83.6,1.0,2.0,210.3,1.0,2.0,873.9
2.0,4.0,6.5,1.0,4.0,35.1,1.0,4.0,68.4,1.0,3.0,120.0,1.0,3.0,246.5,1.0,3.0,1032.0
2.0,5.0,17.0,1.0,5.0,83.0,1.0,5.0,100.9,1.0,5.0,90.6,1.0,4.0,217.9,1.0,4.0,1168.0
2.0,6.0,36.1,1.0,6.0,144.2,1.0,6.0,189.9,1.0,6.0,147.4,1.0,6.0,354.6,1.0,5.0,1430.0
3.0,2.0,8.2,3.0,1.0,105.7,2.0,1.0,129.1,2.0,1.0,166.5,2.0,1.0,488.9,2.0,1.0,1426.0
3.0,4.0,10.7,3.0,4.0,186.5,2.0,4.0,217.3,2.0,3.0,318.6,2.0,3.0,846.7,2.0,3.0,1483.0
3.0,5.0,17.5,3.0,5.0,320.2,2.0,5.0,398.2,2.0,5.0,338.2,2.0,4.0,671.3,2.0,4.0,2297.0
3.0,6.0,42.1,3.0,6.0,500.4,2.0,6.0,580.5,2.0,6.0,456.0,2.0,6.0,1109.0,2.0,5.0,2948.0
4.0,2.0,15.0,4.0,1.0,158.4,4.0,1.0,213.7,3.0,1.0,298.2,3.0,1.0,566.4,3.0,1.0,1534.0
4.0,3.0,20.5,4.0,3.0,252.1,4.0,2.0,321.3,3.0,2.0,414.0,3.0,2.0,1094.0,3.0,2.0,2484.0
4.0,5.0,30.2,4.0,5.0,469.6,4.0,5.0,491.3,3.0,5.0,541.3,3.0,4.0,1264.0,3.0,4.0,3097.0
4.0,6.0,56.1,4.0,6.0,544.3,4.0,6.0,743.7,3.0,6.0,808.9,3.0,6.0,1773.0,3.0,5.0,3262.0
5.0,2.0,42.9,5.0,1.0,416.5,5.0,1.0,319.2,5.0,1.0,140.3,4.0,1.0,306.8,4.0,1.0,1568.0
5.0,3.0,46.2,5.0,3.0,640.5,5.0,2.0,618.7,5.0,2.0,244.6,4.0,2.0,520.0,4.0,2.0,2364.0
5.0,4.0,55.4,5.0,4.0,737.0,5.0,4.0,633.1,5.0,3.0,399.5,4.0,3.0,779.2,4.0,3.0,3352.0
5.0,6.0,103.9,5.0,6.0,1104.0,5.0,6.0,1000.0,5.0,6.0,253.3,4.0,6.0,558.6,4.0,5.0,2575.0
6.0,2.0,163.8,6.0,1.0,783.0,6.0,1.0,823.8,6.0,1.0,362.7,6.0,1.0,1009.0,5.0,1.0,2137.0
6.0,3.0,167.9,6.0,3.0,1140.0,6.0,2.0,1319.0,6.0,2.0,509.2,6.0,2.0,1839.0,5.0,2.0,3422.0
6.0,4.0,183.9,6.0,4.0,1168.0,6.0,4.0,1563.0,6.0,3.0,870.8,6.0,3.0,2118.0,5.0,3.0,3446.0
6.0,5.0,231.2,6.0,5.0,1398.0,6.0,5.0,1524.0,6.0,5.0,472.3,6.0,4.0,1439.0,5.0,4.0,2845.0
