1,石川 真二,石川 真二.1,2,池永 太,池永 太.1,3,林 恵祐,林 恵祐.1,4,安河内鈴之介,安河内鈴之介.1,5,小川 広大,小川 広大.1,6,柴田 朋哉,柴田 朋哉.1
2.0,3.0,4.5,1.0,3.0,11.0,1.0,2.0,113.0,1.0,2.0,141.8,1.0,2.0,319.9,1.0,2.0,222.2
2.0,4.0,9.8,1.0,4.0,18.5,1.0,4.0,362.1,1.0,3.0,429.9,1.0,3.0,712.9,1.0,3.0,690.0
2.0,5.0,9.4,1.0,5.0,19.8,1.0,5.0,325.0,1.0,5.0,354.4,1.0,4.0,1056.0,1.0,4.0,891.5
2.0,6.0,6.9,1.0,6.0,14.0,1.0,6.0,300.8,1.0,6.0,273.3,1.0,6.0,558.0,1.0,5.0,705.1
3.0,2.0,19.4,3.0,1.0,42.0,2.0,1.0,116.1,2.0,1.0,172.5,2.0,1.0,429.0,2.0,1.0,273.4
3.0,4.0,72.1,3.0,4.0,145.4,2.0,4.0,349.3,2.0,3.0,529.0,2.0,3.0,1189.0,2.0,3.0,967.1
3.0,5.0,69.0,3.0,5.0,131.2,2.0,5.0,368.2,2.0,5.0,374.3,2.0,4.0,1664.0,2.0,4.0,791.4
3.0,6.0,57.5,3.0,6.0,101.4,2.0,6.0,292.9,2.0,6.0,303.6,2.0,6.0,794.7,2.0,5.0,930.0
4.0,2.0,35.3,4.0,1.0,82.0,4.0,1.0,692.5,3.0,1.0,877.4,3.0,1.0,1271.0,3.0,1.0,1193.0
4.0,3.0,92.8,4.0,3.0,229.7,4.0,2.0,774.0,3.0,2.0,1071.0,3.0,2.0,1795.0,3.0,2.0,1503.0
4.0,5.0,119.9,4.0,5.0,271.0,4.0,5.0,1150.0,3.0,5.0,1948.0,3.0,4.0,2534.0,3.0,4.0,2178.0
4.0,6.0,82.5,4.0,6.0,181.9,4.0,6.0,1120.0,3.0,6.0,1686.0,3.0,6.0,2241.0,3.0,5.0,2178.0
5.0,2.0,54.9,5.0,1.0,99.7,5.0,1.0,701.3,5.0,1.0,664.0,4.0,1.0,1731.0,4.0,1.0,1657.0
5.0,3.0,127.1,5.0,3.0,288.9,5.0,2.0,844.9,5.0,2.0,627.5,4.0,2.0,1978.0,4.0,2.0,1545.0
5.0,4.0,173.5,5.0,4.0,406.9,5.0,4.0,1385.0,5.0,3.0,1491.0,4.0,3.0,3127.0,4.0,3.0,3557.0
5.0,6.0,120.7,5.0,6.0,217.3,5.0,6.0,1323.0,5.0,6.0,897.7,4.0,6.0,1929.0,4.0,5.0,1864.0
6.0,2.0,40.4,6.0,1.0,71.2,6.0,1.0,796.3,6.0,1.0,617.5,6.0,1.0,930.0,5.0,1.0,1341.0
6.0,3.0,111.0,6.0,3.0,193.3,6.0,2.0,818.1,6.0,2.0,533.4,6.0,2.0,1025.0,5.0,2.0,1497.0
6.0,4.0,153.1,6.0,4.0,292.0,6.0,4.0,2191.0,6.0,3.0,1469.0,6.0,3.0,2041.0,5.0,3.0,2938.0
6.0,5.0,142.8,6.0,5.0,242.5,6.0,5.0,2019.0,6.0,5.0,1083.0,6.0,4.0,1988.0,5.0,4.0,2486.0
