1,富永 修一,富永 修一.1,2,小松 卓司,小松 卓司.1,3,西山 貴浩,西山 貴浩.1,4,谷村 啓司,谷村 啓司.1,5,安東 幸治,安東 幸治.1,6,伊藤 尚汰,伊藤 尚汰.1
2.0,3.0,13.2,1.0,3.0,42.3,1.0,2.0,17.7,1.0,2.0,566.8,1.0,2.0,164.9,1.0,2.0,1853.0
2.0,4.0,62.2,1.0,4.0,198.3,1.0,4.0,18.0,1.0,3.0,294.8,1.0,3.0,79.0,1.0,3.0,1207.0
2.0,5.0,30.3,1.0,5.0,90.7,1.0,5.0,8.1,1.0,5.0,402.5,1.0,4.0,384.9,1.0,4.0,3464.0
2.0,6.0,158.6,1.0,6.0,414.7,1.0,6.0,45.8,1.0,6.0,866.0,1.0,6.0,487.8,1.0,5.0,2286.0
3.0,2.0,9.3,3.0,1.0,69.3,2.0,1.0,44.9,2.0,1.0,679.1,2.0,1.0,347.8,2.0,1.0,2578.0
3.0,4.0,15.2,3.0,4.0,211.3,2.0,4.0,90.8,2.0,3.0,648.3,2.0,3.0,235.0,2.0,3.0,2858.0
3.0,5.0,8.3,3.0,5.0,93.6,2.0,5.0,40.3,2.0,5.0,795.7,2.0,4.0,988.3,2.0,4.0,3853.0
3.0,6.0,41.8,3.0,6.0,414.7,2.0,6.0,158.0,2.0,6.0,1294.0,2.0,6.0,1238.0,2.0,5.0,3235.0
4.0,2.0,124.3,4.0,1.0,450.0,4.0,1.0,45.3,3.0,1.0,275.0,3.0,1.0,86.8,3.0,1.0,1158.0
4.0,3.0,67.9,4.0,3.0,490.6,4.0,2.0,93.0,3.0,2.0,500.6,3.0,2.0,145.8,3.0,2.0,2349.0
4.0,5.0,131.7,4.0,5.0,654.5,4.0,5.0,34.6,3.0,5.0,231.2,3.0,4.0,200.6,3.0,4.0,2381.0
4.0,6.0,273.9,4.0,6.0,1344.0,4.0,6.0,112.8,3.0,6.0,688.6,3.0,6.0,320.2,3.0,5.0,1388.0
5.0,2.0,44.6,5.0,1.0,239.8,5.0,1.0,15.9,5.0,1.0,588.2,4.0,1.0,630.4,4.0,1.0,3727.0
5.0,3.0,23.9,5.0,3.0,190.9,5.0,2.0,33.0,5.0,2.0,931.9,4.0,2.0,1178.0,4.0,2.0,4396.0
5.0,4.0,109.8,5.0,4.0,593.3,5.0,4.0,27.6,5.0,3.0,405.3,4.0,3.0,388.8,4.0,3.0,3395.0
5.0,6.0,175.7,5.0,6.0,866.0,5.0,6.0,50.4,5.0,6.0,1174.0,4.0,6.0,1656.0,4.0,5.0,3535.0
6.0,2.0,553.1,6.0,1.0,1417.0,6.0,1.0,189.6,6.0,1.0,1795.0,6.0,1.0,1120.0,5.0,1.0,2765.0
6.0,3.0,277.0,6.0,3.0,1350.0,6.0,2.0,293.3,6.0,2.0,2198.0,6.0,2.0,1767.0,5.0,2.0,3810.0
6.0,4.0,668.5,6.0,4.0,1777.0,6.0,4.0,264.4,6.0,3.0,1672.0,6.0,3.0,826.4,5.0,3.0,1805.0
6.0,5.0,473.0,6.0,5.0,1874.0,6.0,5.0,144.9,6.0,5.0,1937.0,6.0,4.0,1937.0,5.0,4.0,3297.0
