1,関根 彰人,関根 彰人.1,2,大賀　龍之介,大賀　龍之介.1,3,大野 芳顕,大野 芳顕.1,4,杉山 勝匡,杉山 勝匡.1,5,冨成 謙児,冨成 謙児.1,6,永田 啓二,永田 啓二.1
2.0,3.0,29.0,1.0,3.0,94.5,1.0,2.0,54.5,1.0,2.0,202.3,1.0,2.0,754.5,1.0,2.0,103.3
2.0,4.0,52.0,1.0,4.0,182.1,1.0,4.0,27.8,1.0,3.0,115.7,1.0,3.0,518.0,1.0,3.0,41.6
2.0,5.0,100.9,1.0,5.0,264.4,1.0,5.0,48.2,1.0,5.0,166.1,1.0,4.0,743.4,1.0,4.0,90.0
2.0,6.0,33.4,1.0,6.0,86.8,1.0,6.0,14.9,1.0,6.0,74.5,1.0,6.0,324.4,1.0,5.0,150.2
3.0,2.0,20.0,3.0,1.0,164.1,2.0,1.0,133.6,2.0,1.0,383.0,2.0,1.0,1296.0,2.0,1.0,199.5
3.0,4.0,17.1,3.0,4.0,360.6,2.0,4.0,186.6,2.0,3.0,374.4,2.0,3.0,1428.0,2.0,3.0,202.2
3.0,5.0,31.9,3.0,5.0,438.8,2.0,5.0,254.5,2.0,5.0,524.4,2.0,4.0,1461.0,2.0,4.0,309.7
3.0,6.0,10.5,3.0,6.0,127.0,2.0,6.0,91.2,2.0,6.0,234.4,2.0,6.0,912.5,2.0,5.0,390.1
4.0,2.0,62.6,4.0,1.0,367.4,4.0,1.0,55.9,3.0,1.0,132.0,3.0,1.0,571.9,3.0,1.0,56.1
4.0,3.0,38.7,4.0,3.0,421.3,4.0,2.0,131.1,3.0,2.0,291.2,3.0,2.0,1149.0,3.0,2.0,158.4
4.0,5.0,82.9,4.0,5.0,736.9,4.0,5.0,76.8,3.0,5.0,160.2,3.0,4.0,661.7,3.0,4.0,85.6
4.0,6.0,36.6,4.0,6.0,347.2,4.0,6.0,33.2,3.0,6.0,72.8,3.0,6.0,344.8,3.0,5.0,133.8
5.0,2.0,215.5,5.0,1.0,594.7,5.0,1.0,146.7,5.0,1.0,213.5,4.0,1.0,646.5,4.0,1.0,135.3
5.0,3.0,127.4,5.0,3.0,694.4,5.0,2.0,282.4,5.0,2.0,336.5,4.0,2.0,976.0,4.0,2.0,284.6
5.0,4.0,206.5,5.0,4.0,848.2,5.0,4.0,136.0,5.0,3.0,236.2,4.0,3.0,694.4,4.0,3.0,128.5
5.0,6.0,110.9,5.0,6.0,489.8,5.0,6.0,67.6,5.0,6.0,92.8,4.0,6.0,290.5,4.0,5.0,182.3
6.0,2.0,46.0,6.0,1.0,169.2,6.0,1.0,24.8,6.0,1.0,80.3,6.0,1.0,357.5,5.0,1.0,232.3
6.0,3.0,17.9,6.0,3.0,183.9,6.0,2.0,77.1,6.0,2.0,164.5,6.0,2.0,694.4,5.0,2.0,500.5
6.0,4.0,41.7,6.0,4.0,371.1,6.0,4.0,34.2,6.0,3.0,79.0,6.0,3.0,342.5,5.0,3.0,219.8
6.0,5.0,71.6,6.0,5.0,395.5,6.0,5.0,49.4,6.0,5.0,77.7,6.0,4.0,307.1,5.0,4.0,260.8
