1,佐藤　謙史朗,佐藤　謙史朗.1,2,阪本 勇介,阪本 勇介.1,3,守屋 大地,守屋 大地.1,4,渡辺 空依,渡辺 空依.1,5,屋良 龍紀,屋良 龍紀.1,6,坂井 滉哉,坂井 滉哉.1
2.0,3.0,6.3,1.0,3.0,18.7,1.0,2.0,29.6,1.0,2.0,47.0,1.0,2.0,430.5,1.0,2.0,833.9
2.0,4.0,8.3,1.0,4.0,23.5,1.0,4.0,36.3,1.0,3.0,61.6,1.0,3.0,478.4,1.0,3.0,886.4
2.0,5.0,39.3,1.0,5.0,95.9,1.0,5.0,86.6,1.0,5.0,95.7,1.0,4.0,420.2,1.0,4.0,712.7
2.0,6.0,50.4,1.0,6.0,148.8,1.0,6.0,196.0,1.0,6.0,126.8,1.0,6.0,897.7,1.0,5.0,1971.0
3.0,2.0,8.0,3.0,1.0,47.7,2.0,1.0,61.8,2.0,1.0,76.0,2.0,1.0,599.3,2.0,1.0,1093.0
3.0,4.0,9.4,3.0,4.0,82.8,2.0,4.0,88.4,2.0,3.0,153.8,2.0,3.0,735.1,2.0,3.0,1475.0
3.0,5.0,29.4,3.0,5.0,211.4,2.0,5.0,237.3,2.0,5.0,237.3,2.0,4.0,909.4,2.0,4.0,1134.0
3.0,6.0,59.6,3.0,6.0,333.3,2.0,6.0,333.3,2.0,6.0,243.0,2.0,6.0,1455.0,2.0,5.0,2890.0
4.0,2.0,14.6,4.0,1.0,73.3,4.0,1.0,65.6,3.0,1.0,103.4,3.0,1.0,732.5,3.0,1.0,1310.0
4.0,3.0,17.5,4.0,3.0,114.5,4.0,2.0,101.9,3.0,2.0,151.6,3.0,2.0,850.7,3.0,2.0,1729.0
4.0,5.0,59.6,4.0,5.0,287.8,4.0,5.0,151.5,3.0,5.0,292.6,3.0,4.0,1302.0,3.0,4.0,1134.0
4.0,6.0,76.7,4.0,6.0,359.4,4.0,6.0,249.9,3.0,6.0,277.2,3.0,6.0,1883.0,3.0,5.0,2370.0
5.0,2.0,108.8,5.0,1.0,428.8,5.0,1.0,213.5,5.0,1.0,136.1,4.0,1.0,483.9,4.0,1.0,946.1
5.0,3.0,113.5,5.0,3.0,532.7,5.0,2.0,380.1,5.0,2.0,244.7,4.0,2.0,861.1,4.0,2.0,1263.0
5.0,4.0,140.0,5.0,4.0,615.1,5.0,4.0,282.0,5.0,3.0,370.1,4.0,3.0,1248.0,4.0,3.0,1263.0
5.0,6.0,332.2,5.0,6.0,1294.0,5.0,6.0,685.0,5.0,6.0,282.0,4.0,6.0,1039.0,4.0,5.0,2048.0
6.0,2.0,215.0,6.0,1.0,639.3,6.0,1.0,582.8,6.0,1.0,298.8,6.0,1.0,1715.0,5.0,1.0,2541.0
6.0,3.0,283.5,6.0,3.0,772.8,6.0,2.0,722.5,6.0,2.0,369.4,6.0,2.0,1661.0,5.0,2.0,2971.0
6.0,4.0,307.5,6.0,4.0,843.9,6.0,4.0,599.3,6.0,3.0,442.3,6.0,3.0,2088.0,5.0,3.0,2851.0
6.0,5.0,542.3,6.0,5.0,1574.0,6.0,5.0,995.2,6.0,5.0,431.4,6.0,4.0,1729.0,5.0,4.0,2482.0
