1,武田 正紀,武田 正紀.1,2,西村 秀樹,西村 秀樹.1,3,飯山 晃三,飯山 晃三.1,4,廣中 良一,廣中 良一.1,5,津留　浩一郎,津留　浩一郎.1,6,森 智哉,森 智哉.1
2.0,3.0,19.9,1.0,3.0,35.8,1.0,2.0,83.9,1.0,2.0,66.4,1.0,2.0,96.6,1.0,2.0,281.1
2.0,4.0,16.0,1.0,4.0,25.6,1.0,4.0,120.4,1.0,3.0,142.6,1.0,3.0,201.4,1.0,3.0,494.9
2.0,5.0,26.9,1.0,5.0,36.5,1.0,5.0,121.3,1.0,5.0,58.3,1.0,4.0,112.1,1.0,4.0,499.2
2.0,6.0,40.5,1.0,6.0,30.8,1.0,6.0,112.6,1.0,6.0,71.3,1.0,6.0,96.0,1.0,5.0,392.5
3.0,2.0,24.5,3.0,1.0,75.4,2.0,1.0,109.9,2.0,1.0,90.5,2.0,1.0,137.1,2.0,1.0,335.2
3.0,4.0,33.0,3.0,4.0,95.2,2.0,4.0,123.3,2.0,3.0,159.6,2.0,3.0,165.9,2.0,3.0,430.8
3.0,5.0,43.9,3.0,5.0,75.8,2.0,5.0,132.5,2.0,5.0,85.1,2.0,4.0,151.4,2.0,4.0,438.2
3.0,6.0,71.7,3.0,6.0,72.9,2.0,6.0,102.3,2.0,6.0,84.9,2.0,6.0,97.3,2.0,5.0,410.1
4.0,2.0,24.7,4.0,1.0,62.6,4.0,1.0,177.3,3.0,1.0,228.9,3.0,1.0,256.8,3.0,1.0,636.1
4.0,3.0,41.5,4.0,3.0,107.2,4.0,2.0,170.7,3.0,2.0,223.1,3.0,2.0,171.5,3.0,2.0,519.6
4.0,5.0,29.1,4.0,5.0,57.9,4.0,5.0,188.2,3.0,5.0,227.3,3.0,4.0,275.7,3.0,4.0,773.2
4.0,6.0,63.4,4.0,6.0,66.9,4.0,6.0,167.5,3.0,6.0,163.1,3.0,6.0,172.1,3.0,5.0,755.4
5.0,2.0,51.8,5.0,1.0,96.7,5.0,1.0,200.9,5.0,1.0,55.0,4.0,1.0,105.7,4.0,1.0,481.4
5.0,3.0,78.4,5.0,3.0,99.9,5.0,2.0,191.2,5.0,2.0,71.4,4.0,2.0,121.1,4.0,2.0,440.8
5.0,4.0,51.6,5.0,4.0,78.4,5.0,4.0,240.7,5.0,3.0,155.3,4.0,3.0,228.9,4.0,3.0,669.5
5.0,6.0,83.7,5.0,6.0,63.1,5.0,6.0,181.5,5.0,6.0,51.3,4.0,6.0,92.2,4.0,5.0,293.3
6.0,2.0,90.6,6.0,1.0,98.9,6.0,1.0,249.3,6.0,1.0,111.7,6.0,1.0,123.8,5.0,1.0,417.5
6.0,3.0,169.6,6.0,3.0,147.5,6.0,2.0,200.5,6.0,2.0,124.6,6.0,2.0,128.0,5.0,2.0,397.3
6.0,4.0,156.7,6.0,4.0,121.8,6.0,4.0,304.1,6.0,3.0,219.1,6.0,3.0,234.3,5.0,3.0,614.0
6.0,5.0,153.8,6.0,5.0,95.6,6.0,5.0,295.5,6.0,5.0,89.3,6.0,4.0,132.8,5.0,4.0,286.7
