1,松本 博昭,松本 博昭.1,2,宮地 博士,宮地 博士.1,3,坂井 滉哉,坂井 滉哉.1,4,宮本 裕之,宮本 裕之.1,5,平田 忠則,平田 忠則.1,6,宇佐見 淳,宇佐見 淳.1
2.0,3.0,29.6,1.0,3.0,187.3,1.0,2.0,105.5,1.0,2.0,735.3,1.0,2.0,90.3,1.0,2.0,334.5
2.0,4.0,77.2,1.0,4.0,385.0,1.0,4.0,89.2,1.0,3.0,520.1,1.0,3.0,50.4,1.0,3.0,133.3
2.0,5.0,23.3,1.0,5.0,152.1,1.0,5.0,24.5,1.0,5.0,286.9,1.0,4.0,143.1,1.0,4.0,573.0
2.0,6.0,42.6,1.0,6.0,239.1,1.0,6.0,27.6,1.0,6.0,405.7,1.0,6.0,38.5,1.0,5.0,124.8
3.0,2.0,26.3,3.0,1.0,317.6,2.0,1.0,250.7,2.0,1.0,1183.0,2.0,1.0,215.5,2.0,1.0,586.8
3.0,4.0,35.6,3.0,4.0,1065.0,2.0,4.0,441.1,2.0,3.0,1458.0,2.0,3.0,397.2,2.0,3.0,916.4
3.0,5.0,7.8,3.0,5.0,592.4,2.0,5.0,274.3,2.0,5.0,1294.0,2.0,4.0,487.2,2.0,4.0,1439.0
3.0,6.0,10.0,3.0,6.0,673.2,2.0,6.0,300.4,2.0,6.0,1508.0,2.0,6.0,234.3,2.0,5.0,808.4
4.0,2.0,117.4,4.0,1.0,879.7,4.0,1.0,174.7,3.0,1.0,415.3,3.0,1.0,79.3,3.0,1.0,178.5
4.0,3.0,78.3,4.0,3.0,1306.0,4.0,2.0,397.9,3.0,2.0,876.2,3.0,2.0,295.2,3.0,2.0,829.8
4.0,5.0,58.9,4.0,5.0,1233.0,4.0,5.0,146.0,3.0,5.0,407.2,3.0,4.0,278.5,3.0,4.0,823.6
4.0,6.0,86.3,4.0,6.0,1137.0,4.0,6.0,149.9,3.0,6.0,435.9,3.0,6.0,84.4,3.0,5.0,236.3
5.0,2.0,20.2,5.0,1.0,370.7,5.0,1.0,41.1,5.0,1.0,375.2,4.0,1.0,346.2,4.0,1.0,1143.0
5.0,3.0,11.4,5.0,3.0,577.6,5.0,2.0,172.0,5.0,2.0,979.8,4.0,2.0,788.1,4.0,2.0,1619.0
5.0,4.0,43.6,5.0,4.0,1122.0,5.0,4.0,105.5,5.0,3.0,716.1,4.0,3.0,638.0,4.0,3.0,1298.0
5.0,6.0,12.3,5.0,6.0,434.2,5.0,6.0,36.0,5.0,6.0,368.2,4.0,6.0,337.4,4.0,5.0,1180.0
6.0,2.0,65.8,6.0,1.0,565.7,6.0,1.0,56.5,6.0,1.0,658.1,6.0,1.0,59.9,5.0,1.0,151.5
6.0,3.0,22.9,6.0,3.0,1009.0,6.0,2.0,231.7,6.0,2.0,1371.0,6.0,2.0,174.2,5.0,2.0,532.1
6.0,4.0,91.4,6.0,4.0,1216.0,6.0,4.0,144.2,6.0,3.0,928.0,6.0,3.0,104.9,5.0,3.0,237.1
6.0,5.0,26.6,6.0,5.0,720.8,6.0,5.0,56.2,6.0,5.0,665.1,6.0,4.0,259.2,5.0,4.0,762.1
