1,山田 哲也,山田 哲也.1,2,中村 辰也,中村 辰也.1,3,鈴木 博,鈴木 博.1,4,松本 博昭,松本 博昭.1,5,高橋 直哉,高橋 直哉.1,6,柴田 大輔,柴田 大輔.1
2.0,3.0,4.5,1.0,3.0,88.8,1.0,2.0,74.9,1.0,2.0,284.3,1.0,2.0,212.4,1.0,2.0,528.6
2.0,4.0,8.8,1.0,4.0,139.1,1.0,4.0,88.1,1.0,3.0,278.9,1.0,3.0,229.5,1.0,3.0,622.8
2.0,5.0,13.4,1.0,5.0,198.1,1.0,5.0,132.0,1.0,5.0,386.5,1.0,4.0,375.9,1.0,4.0,898.4
2.0,6.0,25.7,1.0,6.0,287.4,1.0,6.0,234.0,1.0,6.0,588.9,1.0,6.0,310.9,1.0,5.0,605.4
3.0,2.0,5.6,3.0,1.0,198.1,2.0,1.0,189.9,2.0,1.0,478.2,2.0,1.0,473.0,2.0,1.0,963.1
3.0,4.0,8.5,3.0,4.0,474.2,2.0,4.0,379.0,2.0,3.0,811.6,2.0,3.0,985.0,2.0,3.0,1725.0
3.0,5.0,12.9,3.0,5.0,819.9,2.0,5.0,618.7,2.0,5.0,1201.0,2.0,4.0,1392.0,2.0,4.0,2171.0
3.0,6.0,28.0,3.0,6.0,1169.0,2.0,6.0,784.4,2.0,6.0,1320.0,2.0,6.0,1127.0,2.0,5.0,1874.0
4.0,2.0,20.5,4.0,1.0,412.0,4.0,1.0,272.3,3.0,1.0,449.9,3.0,1.0,504.4,3.0,1.0,1320.0
4.0,3.0,22.1,4.0,3.0,726.6,4.0,2.0,494.2,3.0,2.0,874.7,3.0,2.0,1094.0,3.0,2.0,2373.0
4.0,5.0,40.3,4.0,5.0,1281.0,4.0,5.0,685.0,3.0,5.0,1278.0,3.0,4.0,1301.0,3.0,4.0,2197.0
4.0,6.0,52.9,4.0,6.0,1584.0,4.0,6.0,1006.0,3.0,6.0,1409.0,3.0,6.0,1305.0,3.0,5.0,2424.0
5.0,2.0,26.5,5.0,1.0,659.3,5.0,1.0,420.3,5.0,1.0,619.4,4.0,1.0,667.2,4.0,1.0,1413.0
5.0,3.0,29.7,5.0,3.0,1329.0,5.0,2.0,1020.0,5.0,2.0,1131.0,4.0,2.0,1423.0,4.0,2.0,3177.0
5.0,4.0,53.8,5.0,4.0,1785.0,5.0,4.0,1090.0,5.0,3.0,1214.0,4.0,3.0,1464.0,4.0,3.0,1785.0
5.0,6.0,51.8,5.0,6.0,2052.0,5.0,6.0,1176.0,5.0,6.0,1030.0,4.0,6.0,1275.0,4.0,5.0,2510.0
6.0,2.0,65.0,6.0,1.0,1217.0,6.0,1.0,993.7,6.0,1.0,1073.0,6.0,1.0,545.5,5.0,1.0,780.1
6.0,3.0,78.9,6.0,3.0,2098.0,6.0,2.0,1874.0,6.0,2.0,1402.0,6.0,2.0,968.0,5.0,2.0,1635.0
6.0,4.0,101.9,6.0,4.0,2277.0,6.0,4.0,1630.0,6.0,3.0,1388.0,6.0,3.0,1026.0,5.0,3.0,1808.0
6.0,5.0,80.4,6.0,5.0,2171.0,6.0,5.0,1720.0,6.0,5.0,1434.0,6.0,4.0,1186.0,5.0,4.0,1709.0
