1,大串 重幸,大串 重幸.1,2,北川 敏弘,北川 敏弘.1,3,佐藤　謙史朗,佐藤　謙史朗.1,4,大神 康司,大神 康司.1,5,黒野 元基,黒野 元基.1,6,岩津 徹郎,岩津 徹郎.1
2.0,3.0,26.5,1.0,3.0,142.6,1.0,2.0,72.4,1.0,2.0,119.5,1.0,2.0,54.1,1.0,2.0,855.6
2.0,4.0,24.9,1.0,4.0,137.9,1.0,4.0,58.8,1.0,3.0,111.6,1.0,3.0,39.7,1.0,3.0,922.4
2.0,5.0,23.9,1.0,5.0,117.7,1.0,5.0,30.5,1.0,5.0,55.4,1.0,4.0,39.1,1.0,4.0,1157.0
2.0,6.0,97.5,1.0,6.0,271.6,1.0,6.0,78.0,1.0,6.0,183.2,1.0,6.0,48.7,1.0,5.0,627.1
3.0,2.0,26.8,3.0,1.0,257.2,2.0,1.0,207.0,2.0,1.0,259.1,2.0,1.0,121.9,2.0,1.0,1199.0
3.0,4.0,21.3,3.0,4.0,540.1,2.0,4.0,353.4,2.0,3.0,475.0,2.0,3.0,196.5,2.0,3.0,1870.0
3.0,5.0,15.4,3.0,5.0,348.5,2.0,5.0,159.6,2.0,5.0,266.8,2.0,4.0,203.5,2.0,4.0,1379.0
3.0,6.0,74.7,3.0,6.0,727.7,2.0,6.0,336.8,2.0,6.0,452.3,2.0,6.0,194.6,2.0,5.0,1303.0
4.0,2.0,25.9,4.0,1.0,246.9,4.0,1.0,140.3,3.0,1.0,189.0,3.0,1.0,37.2,3.0,1.0,973.9
4.0,3.0,23.4,4.0,3.0,554.6,4.0,2.0,282.0,3.0,2.0,437.4,3.0,2.0,81.7,3.0,2.0,1368.0
4.0,5.0,14.6,4.0,5.0,310.0,4.0,5.0,94.9,3.0,5.0,148.2,3.0,4.0,71.3,3.0,4.0,1100.0
4.0,6.0,73.1,4.0,6.0,794.1,4.0,6.0,217.7,3.0,6.0,337.9,3.0,6.0,44.2,3.0,5.0,484.1
5.0,2.0,28.7,5.0,1.0,214.0,5.0,1.0,27.7,5.0,1.0,74.9,4.0,1.0,68.7,4.0,1.0,1278.0
5.0,3.0,21.2,5.0,3.0,361.1,5.0,2.0,57.0,5.0,2.0,173.5,4.0,2.0,155.0,4.0,2.0,1199.0
5.0,4.0,20.0,5.0,4.0,367.1,5.0,4.0,51.1,5.0,3.0,131.6,4.0,3.0,116.4,4.0,3.0,1607.0
5.0,6.0,49.0,5.0,6.0,466.3,5.0,6.0,32.1,5.0,6.0,122.6,4.0,6.0,109.2,4.0,5.0,616.6
6.0,2.0,229.9,6.0,1.0,740.8,6.0,1.0,168.6,6.0,1.0,492.0,6.0,1.0,101.1,5.0,1.0,573.9
6.0,3.0,198.2,6.0,3.0,1249.0,6.0,2.0,280.8,6.0,2.0,697.1,6.0,2.0,174.1,5.0,2.0,871.4
6.0,4.0,247.3,6.0,4.0,1263.0,6.0,4.0,270.3,6.0,3.0,645.5,6.0,3.0,104.1,5.0,3.0,448.7
6.0,5.0,160.1,6.0,5.0,712.1,6.0,5.0,99.2,6.0,5.0,278.0,6.0,4.0,128.2,5.0,4.0,515.7
