1,福島 陽子,福島 陽子.1,2,平高 奈菜,平高 奈菜.1,3,今井 美亜,今井 美亜.1,4,本部　めぐみ,本部　めぐみ.1,5,森田 梨湖,森田 梨湖.1,6,平川 香織,平川 香織.1
2.0,3.0,12.1,1.0,3.0,10.9,1.0,2.0,18.1,1.0,2.0,325.9,1.0,2.0,2166.0,1.0,2.0,191.3
2.0,4.0,49.5,1.0,4.0,41.6,1.0,4.0,47.8,1.0,3.0,298.3,1.0,3.0,1889.0,1.0,3.0,200.7
2.0,5.0,250.8,1.0,5.0,261.1,1.0,5.0,251.4,1.0,5.0,1105.0,1.0,4.0,2841.0,1.0,4.0,725.9
2.0,6.0,29.9,1.0,6.0,20.6,1.0,6.0,33.9,1.0,6.0,457.3,1.0,6.0,2631.0,1.0,5.0,1515.0
3.0,2.0,14.0,3.0,1.0,12.2,2.0,1.0,14.7,2.0,1.0,323.2,2.0,1.0,1986.0,2.0,1.0,159.8
3.0,4.0,46.8,3.0,4.0,26.8,2.0,4.0,27.1,2.0,3.0,198.2,2.0,3.0,1662.0,2.0,3.0,105.2
3.0,5.0,254.4,3.0,5.0,149.7,2.0,5.0,155.1,2.0,5.0,1077.0,2.0,4.0,2222.0,2.0,4.0,341.0
3.0,6.0,32.6,3.0,6.0,11.7,2.0,6.0,14.4,2.0,6.0,247.8,2.0,6.0,2062.0,2.0,5.0,1300.0
4.0,2.0,116.2,4.0,1.0,110.5,4.0,1.0,65.9,3.0,1.0,256.5,3.0,1.0,1865.0,3.0,1.0,178.6
4.0,3.0,121.1,4.0,3.0,78.5,4.0,2.0,46.3,3.0,2.0,182.5,3.0,2.0,2052.0,3.0,2.0,104.3
4.0,5.0,559.3,4.0,5.0,524.4,4.0,5.0,275.0,3.0,5.0,868.4,3.0,4.0,3300.0,3.0,4.0,380.6
4.0,6.0,191.2,4.0,6.0,103.7,4.0,6.0,57.6,3.0,6.0,241.5,3.0,6.0,2664.0,3.0,5.0,1168.0
5.0,2.0,722.2,5.0,1.0,753.9,5.0,1.0,623.5,5.0,1.0,1689.0,4.0,1.0,3459.0,4.0,1.0,831.4
5.0,3.0,778.6,5.0,3.0,679.8,5.0,2.0,497.6,5.0,2.0,1669.0,4.0,2.0,2600.0,4.0,2.0,570.4
5.0,4.0,1094.0,5.0,4.0,1144.0,5.0,4.0,733.3,5.0,3.0,1802.0,4.0,3.0,3605.0,4.0,3.0,644.1
5.0,6.0,1128.0,5.0,6.0,791.5,5.0,6.0,544.4,5.0,6.0,1532.0,4.0,6.0,3404.0,4.0,5.0,2246.0
6.0,2.0,80.0,6.0,1.0,45.4,6.0,1.0,53.3,6.0,1.0,521.9,6.0,1.0,3154.0,5.0,1.0,2750.0
6.0,3.0,83.6,6.0,3.0,34.4,6.0,2.0,33.6,6.0,2.0,339.1,6.0,2.0,3250.0,5.0,2.0,2822.0
6.0,4.0,268.1,6.0,4.0,123.7,6.0,4.0,81.4,6.0,3.0,395.4,6.0,3.0,3351.0,5.0,3.0,2631.0
6.0,5.0,767.4,6.0,5.0,501.7,6.0,5.0,313.8,6.0,5.0,1236.0,6.0,4.0,4377.0,5.0,4.0,3086.0
