1,赤坂 俊輔,赤坂 俊輔.1,2,山口 達也,山口 達也.1,3,竹井 貴史,竹井 貴史.1,4,篠崎 仁志,篠崎 仁志.1,5,山田 祐也,山田 祐也.1,6,羽野 直也,羽野 直也.1
2.0,3.0,14.0,1.0,3.0,43.2,1.0,2.0,82.5,1.0,2.0,157.3,1.0,2.0,137.9,1.0,2.0,435.1
2.0,4.0,17.6,1.0,4.0,53.0,1.0,4.0,44.4,1.0,3.0,151.2,1.0,3.0,110.3,1.0,3.0,449.1
2.0,5.0,26.9,1.0,5.0,60.1,1.0,5.0,49.4,1.0,5.0,130.1,1.0,4.0,156.3,1.0,4.0,415.8
2.0,6.0,21.8,1.0,6.0,44.2,1.0,6.0,45.2,1.0,6.0,101.7,1.0,6.0,87.3,1.0,5.0,431.5
3.0,2.0,20.3,3.0,1.0,110.1,2.0,1.0,144.8,2.0,1.0,286.8,2.0,1.0,262.1,2.0,1.0,671.1
3.0,4.0,15.1,3.0,4.0,206.9,2.0,4.0,183.0,2.0,3.0,482.7,2.0,3.0,434.0,2.0,3.0,868.8
3.0,5.0,19.8,3.0,5.0,215.2,2.0,5.0,132.4,2.0,5.0,423.7,2.0,4.0,540.3,2.0,4.0,814.0
3.0,6.0,18.7,3.0,6.0,177.8,2.0,6.0,134.5,2.0,6.0,304.4,2.0,6.0,258.9,2.0,5.0,825.7
4.0,2.0,26.3,4.0,1.0,148.6,4.0,1.0,80.8,3.0,1.0,213.4,3.0,1.0,189.5,3.0,1.0,549.0
4.0,3.0,23.9,4.0,3.0,264.9,4.0,2.0,145.7,3.0,2.0,397.9,3.0,2.0,356.9,3.0,2.0,962.8
4.0,5.0,31.0,4.0,5.0,273.7,4.0,5.0,82.3,3.0,5.0,225.2,3.0,4.0,311.4,3.0,4.0,602.1
4.0,6.0,24.1,4.0,6.0,194.6,4.0,6.0,60.7,3.0,6.0,186.1,3.0,6.0,189.3,3.0,5.0,563.4
5.0,2.0,45.9,5.0,1.0,162.2,5.0,1.0,90.5,5.0,1.0,164.5,4.0,1.0,308.1,4.0,1.0,553.1
5.0,3.0,36.9,5.0,3.0,325.6,5.0,2.0,133.2,5.0,2.0,268.0,4.0,2.0,535.3,4.0,2.0,771.4
5.0,4.0,49.6,5.0,4.0,362.6,5.0,4.0,115.5,5.0,3.0,237.0,4.0,3.0,413.5,4.0,3.0,597.3
5.0,6.0,38.7,5.0,6.0,210.6,5.0,6.0,76.7,5.0,6.0,100.0,4.0,6.0,188.7,4.0,5.0,410.5
6.0,2.0,69.6,6.0,1.0,212.0,6.0,1.0,188.8,6.0,1.0,196.9,6.0,1.0,204.6,5.0,1.0,523.4
6.0,3.0,62.4,6.0,3.0,370.4,6.0,2.0,269.6,6.0,2.0,324.9,6.0,2.0,330.6,5.0,2.0,691.7
6.0,4.0,68.5,6.0,4.0,362.9,6.0,4.0,181.5,6.0,3.0,263.5,6.0,3.0,266.9,5.0,3.0,515.0
6.0,5.0,74.1,6.0,5.0,334.4,6.0,5.0,142.6,6.0,5.0,158.0,6.0,4.0,214.7,5.0,4.0,398.5
