1,山田 哲也,山田 哲也.1,2,白井 友晴,白井 友晴.1,3,樋口 亮,樋口 亮.1,4,松井 賢治,松井 賢治.1,5,長畑 友輔,長畑 友輔.1,6,和合 俊介,和合 俊介.1
2.0,3.0,6.0,1.0,3.0,116.7,1.0,2.0,61.1,1.0,2.0,139.4,1.0,2.0,579.6,1.0,2.0,1634.0
2.0,4.0,8.4,1.0,4.0,137.7,1.0,4.0,40.5,1.0,3.0,98.6,1.0,3.0,369.2,1.0,3.0,1339.0
2.0,5.0,22.5,1.0,5.0,319.3,1.0,5.0,86.9,1.0,5.0,182.6,1.0,4.0,509.0,1.0,4.0,1887.0
2.0,6.0,56.6,1.0,6.0,503.2,1.0,6.0,182.3,1.0,6.0,304.7,1.0,6.0,817.0,1.0,5.0,1971.0
3.0,2.0,5.5,3.0,1.0,265.7,2.0,1.0,200.0,2.0,1.0,315.4,2.0,1.0,1130.0,2.0,1.0,3010.0
3.0,4.0,5.2,3.0,4.0,457.7,2.0,4.0,289.0,2.0,3.0,535.9,2.0,3.0,1831.0,2.0,3.0,3733.0
3.0,5.0,15.2,3.0,5.0,936.0,2.0,5.0,604.2,2.0,5.0,869.0,2.0,4.0,1861.0,2.0,4.0,3593.0
3.0,6.0,38.1,3.0,6.0,1395.0,2.0,6.0,794.6,2.0,6.0,1206.0,2.0,6.0,2345.0,2.0,5.0,4256.0
4.0,2.0,13.1,4.0,1.0,347.9,4.0,1.0,101.6,3.0,1.0,140.2,3.0,1.0,563.9,3.0,1.0,2088.0
4.0,3.0,11.6,4.0,3.0,612.0,4.0,2.0,250.5,3.0,2.0,367.8,3.0,2.0,1713.0,3.0,2.0,3733.0
4.0,5.0,27.4,4.0,5.0,1199.0,4.0,5.0,324.9,3.0,5.0,471.9,3.0,4.0,1300.0,3.0,4.0,2808.0
4.0,6.0,53.1,4.0,6.0,1491.0,4.0,6.0,454.6,3.0,6.0,671.6,3.0,6.0,2739.0,3.0,5.0,4151.0
5.0,2.0,52.0,5.0,1.0,1036.0,5.0,1.0,330.2,5.0,1.0,335.6,4.0,1.0,698.3,4.0,1.0,2560.0
5.0,3.0,44.3,5.0,3.0,1744.0,5.0,2.0,938.6,5.0,2.0,729.6,4.0,2.0,1614.0,4.0,2.0,3652.0
5.0,4.0,62.2,5.0,4.0,1587.0,5.0,4.0,686.8,5.0,3.0,607.5,4.0,3.0,1156.0,4.0,3.0,2773.0
5.0,6.0,123.3,5.0,6.0,2531.0,5.0,6.0,1221.0,5.0,6.0,630.5,4.0,6.0,1515.0,4.0,5.0,3094.0
6.0,2.0,180.8,6.0,1.0,2075.0,6.0,1.0,810.1,6.0,1.0,828.1,6.0,1.0,1831.0,5.0,1.0,3517.0
6.0,3.0,162.8,6.0,3.0,2983.0,6.0,2.0,1547.0,6.0,2.0,1591.0,6.0,2.0,2694.0,5.0,2.0,4641.0
6.0,4.0,185.1,6.0,4.0,3051.0,6.0,4.0,1361.0,6.0,3.0,1392.0,6.0,3.0,3182.0,5.0,3.0,4546.0
6.0,5.0,214.3,6.0,5.0,3228.0,6.0,5.0,1887.0,6.0,5.0,1102.0,6.0,4.0,2320.0,5.0,4.0,3213.0
