1,北村 征嗣,北村 征嗣.1,2,宮武 英司,宮武 英司.1,3,西舘 健,西舘 健.1,4,黒柳 浩孝,黒柳 浩孝.1,5,川村 正輝,川村 正輝.1,6,山田 理央,山田 理央.1
2.0,3.0,7.8,1.0,3.0,95.6,1.0,2.0,181.7,1.0,2.0,36.1,1.0,2.0,279.7,1.0,2.0,505.0
2.0,4.0,5.3,1.0,4.0,55.7,1.0,4.0,166.0,1.0,3.0,76.1,1.0,3.0,541.1,1.0,3.0,1053.0
2.0,5.0,19.5,1.0,5.0,136.7,1.0,5.0,269.0,1.0,5.0,35.9,1.0,4.0,246.2,1.0,4.0,511.1
2.0,6.0,34.1,1.0,6.0,186.8,1.0,6.0,526.1,1.0,6.0,58.4,1.0,6.0,467.0,1.0,5.0,1030.0
3.0,2.0,14.5,3.0,1.0,347.0,2.0,1.0,436.3,2.0,1.0,79.0,2.0,1.0,491.9,2.0,1.0,900.6
3.0,4.0,14.2,3.0,4.0,521.0,2.0,4.0,671.8,2.0,3.0,240.1,2.0,3.0,1513.0,2.0,3.0,2125.0
3.0,5.0,27.8,3.0,5.0,764.1,2.0,5.0,1003.0,2.0,5.0,142.5,2.0,4.0,798.0,2.0,4.0,1087.0
3.0,6.0,68.0,3.0,6.0,1204.0,2.0,6.0,1416.0,2.0,6.0,189.3,2.0,6.0,873.6,2.0,5.0,2067.0
4.0,2.0,7.3,4.0,1.0,142.6,4.0,1.0,307.2,3.0,1.0,238.6,3.0,1.0,1224.0,3.0,1.0,2101.0
4.0,3.0,12.1,4.0,3.0,396.1,4.0,2.0,579.2,3.0,2.0,393.6,3.0,2.0,1881.0,3.0,2.0,3050.0
4.0,5.0,15.3,4.0,5.0,455.7,4.0,5.0,577.5,3.0,5.0,417.9,3.0,4.0,1759.0,3.0,4.0,2721.0
4.0,6.0,36.8,4.0,6.0,535.8,4.0,6.0,1003.0,3.0,6.0,716.4,3.0,6.0,3318.0,3.0,5.0,3745.0
5.0,2.0,45.1,5.0,1.0,421.7,5.0,1.0,818.7,5.0,1.0,61.2,4.0,1.0,247.4,4.0,1.0,835.0
5.0,3.0,55.4,5.0,3.0,1087.0,5.0,2.0,1395.0,5.0,2.0,128.7,4.0,2.0,442.4,4.0,2.0,1182.0
5.0,4.0,37.8,5.0,4.0,943.3,5.0,4.0,1039.0,5.0,3.0,261.0,4.0,3.0,943.3,4.0,3.0,2409.0
5.0,6.0,78.6,5.0,6.0,1167.0,5.0,6.0,1959.0,5.0,6.0,120.0,4.0,6.0,424.5,4.0,5.0,1900.0
6.0,2.0,106.2,6.0,1.0,687.7,6.0,1.0,1696.0,6.0,1.0,119.5,6.0,1.0,1129.0,5.0,1.0,1644.0
6.0,3.0,200.7,6.0,3.0,1637.0,6.0,2.0,2320.0,6.0,2.0,244.3,6.0,2.0,1596.0,5.0,2.0,2306.0
6.0,4.0,117.3,6.0,4.0,945.6,6.0,4.0,2225.0,6.0,3.0,577.5,6.0,3.0,3178.0,5.0,3.0,3940.0
6.0,5.0,231.3,6.0,5.0,1477.0,6.0,5.0,3002.0,6.0,5.0,247.0,6.0,4.0,1596.0,5.0,4.0,2645.0
