1,藤井 公人,藤井 公人.1,2,國弘 翔平,國弘 翔平.1,3,藤森 拓海,藤森 拓海.1,4,丸山 祐也,丸山 祐也.1,5,宮脇 遼太,宮脇 遼太.1,6,篠崎 元志,篠崎 元志.1
2.0,3.0,131.1,1.0,3.0,344.7,1.0,2.0,310.0,1.0,2.0,678.4,1.0,2.0,92.7,1.0,2.0,17.3
2.0,4.0,197.9,1.0,4.0,501.3,1.0,4.0,271.3,1.0,3.0,629.3,1.0,3.0,115.7,1.0,3.0,29.7
2.0,5.0,75.4,1.0,5.0,225.4,1.0,5.0,241.2,1.0,5.0,463.6,1.0,4.0,124.9,1.0,4.0,39.1
2.0,6.0,45.9,1.0,6.0,143.8,1.0,6.0,133.9,1.0,6.0,301.8,1.0,6.0,29.4,1.0,5.0,9.7
3.0,2.0,196.6,3.0,1.0,593.9,2.0,1.0,582.2,2.0,1.0,786.7,2.0,1.0,172.7,2.0,1.0,51.3
3.0,4.0,246.5,3.0,4.0,924.3,2.0,4.0,598.7,2.0,3.0,907.3,2.0,3.0,300.0,2.0,3.0,94.2
3.0,5.0,128.0,3.0,5.0,466.5,2.0,5.0,537.8,2.0,5.0,875.1,2.0,4.0,292.2,2.0,4.0,140.3
3.0,6.0,85.7,3.0,6.0,404.1,2.0,6.0,387.1,2.0,6.0,618.8,2.0,6.0,83.7,2.0,5.0,39.5
4.0,2.0,320.8,4.0,1.0,924.3,4.0,1.0,351.3,3.0,1.0,663.2,3.0,1.0,172.7,3.0,1.0,81.6
4.0,3.0,350.4,4.0,3.0,973.0,4.0,2.0,518.9,3.0,2.0,799.4,3.0,2.0,290.5,3.0,2.0,118.9
4.0,5.0,203.4,4.0,5.0,924.3,4.0,5.0,309.4,3.0,5.0,438.8,3.0,4.0,219.4,3.0,4.0,148.4
4.0,6.0,117.9,4.0,6.0,678.4,4.0,6.0,214.3,3.0,6.0,340.7,3.0,6.0,96.1,3.0,5.0,72.5
5.0,2.0,63.6,5.0,1.0,275.9,5.0,1.0,317.3,5.0,1.0,577.7,4.0,1.0,211.5,4.0,1.0,122.1
5.0,3.0,97.5,5.0,3.0,363.3,5.0,2.0,415.4,5.0,2.0,821.6,4.0,2.0,367.9,4.0,2.0,224.7
5.0,4.0,117.8,5.0,4.0,549.8,5.0,4.0,330.1,5.0,3.0,533.9,4.0,3.0,297.5,4.0,3.0,208.3
5.0,6.0,20.2,5.0,6.0,130.0,5.0,6.0,177.9,5.0,6.0,290.0,4.0,6.0,87.3,4.0,5.0,111.7
6.0,2.0,18.4,6.0,1.0,156.0,6.0,1.0,149.6,6.0,1.0,277.4,6.0,1.0,19.9,5.0,1.0,14.8
6.0,3.0,34.1,6.0,3.0,234.0,6.0,2.0,231.0,6.0,2.0,465.1,6.0,2.0,45.6,5.0,2.0,26.6
6.0,4.0,29.7,6.0,4.0,314.0,6.0,4.0,203.1,6.0,3.0,352.1,6.0,3.0,65.8,5.0,3.0,45.5
6.0,5.0,9.6,6.0,5.0,120.6,6.0,5.0,141.3,6.0,5.0,262.7,6.0,4.0,35.7,5.0,4.0,41.6
