1,宮地 元輝,宮地 元輝.1,2,酒見 峻介,酒見 峻介.1,3,佐竹 太一,佐竹 太一.1,4,永嶋 裕一,永嶋 裕一.1,5,三原 司,三原 司.1,6,岡部 浩,岡部 浩.1
2.0,3.0,3.6,1.0,3.0,43.5,1.0,2.0,65.2,1.0,2.0,207.7,1.0,2.0,628.0,1.0,2.0,1932.0
2.0,4.0,5.7,1.0,4.0,56.2,1.0,4.0,90.0,1.0,3.0,338.8,1.0,3.0,720.7,1.0,3.0,2776.0
2.0,5.0,14.2,1.0,5.0,111.0,1.0,5.0,132.0,1.0,5.0,357.4,1.0,4.0,842.8,1.0,4.0,3103.0
2.0,6.0,36.2,1.0,6.0,193.8,1.0,6.0,267.9,1.0,6.0,511.2,1.0,6.0,1204.0,1.0,5.0,4471.0
3.0,2.0,6.8,3.0,1.0,90.7,2.0,1.0,114.1,2.0,1.0,389.9,2.0,1.0,1042.0,2.0,1.0,3339.0
3.0,4.0,9.5,3.0,4.0,153.9,2.0,4.0,186.6,2.0,3.0,842.8,2.0,3.0,1603.0,2.0,3.0,4187.0
3.0,5.0,16.7,3.0,5.0,217.0,2.0,5.0,246.0,2.0,5.0,820.5,2.0,4.0,1794.0,2.0,4.0,5024.0
3.0,6.0,48.9,3.0,6.0,404.5,2.0,6.0,495.8,2.0,6.0,1221.0,2.0,6.0,2465.0,2.0,5.0,5275.0
4.0,2.0,15.5,4.0,1.0,156.5,4.0,1.0,235.3,3.0,1.0,719.7,3.0,1.0,1289.0,3.0,1.0,4089.0
4.0,3.0,22.6,4.0,3.0,229.1,4.0,2.0,289.8,3.0,2.0,1022.0,3.0,2.0,1752.0,3.0,2.0,4840.0
4.0,5.0,37.1,4.0,5.0,341.0,4.0,5.0,380.9,3.0,5.0,1247.0,3.0,4.0,2678.0,3.0,4.0,4840.0
4.0,6.0,65.8,4.0,6.0,507.7,4.0,6.0,579.1,3.0,6.0,1983.0,3.0,6.0,3589.0,3.0,5.0,6280.0
5.0,2.0,45.9,5.0,1.0,456.0,5.0,1.0,368.1,5.0,1.0,659.4,4.0,1.0,1318.0,4.0,1.0,3851.0
5.0,3.0,54.2,5.0,3.0,612.7,5.0,2.0,494.9,5.0,2.0,1132.0,4.0,2.0,2254.0,4.0,2.0,5122.0
5.0,4.0,70.4,5.0,4.0,681.6,5.0,4.0,572.8,5.0,3.0,1533.0,4.0,3.0,2980.0,4.0,3.0,6134.0
5.0,6.0,164.2,5.0,6.0,1059.0,5.0,6.0,993.5,5.0,6.0,1169.0,4.0,6.0,2488.0,4.0,5.0,5673.0
6.0,2.0,200.3,6.0,1.0,1046.0,6.0,1.0,1356.0,6.0,1.0,1238.0,6.0,1.0,3339.0,5.0,1.0,5553.0
6.0,3.0,285.4,6.0,3.0,1764.0,6.0,2.0,1593.0,6.0,2.0,2226.0,6.0,2.0,4154.0,5.0,2.0,6851.0
6.0,4.0,249.9,6.0,4.0,1589.0,6.0,4.0,1101.0,6.0,3.0,2705.0,6.0,3.0,4324.0,5.0,3.0,7129.0
6.0,5.0,307.9,6.0,5.0,1946.0,6.0,5.0,1680.0,6.0,5.0,1864.0,6.0,4.0,4027.0,5.0,4.0,5553.0
