1,中岡 正彦,中岡 正彦.1,2,村田 修次,村田 修次.1,3,小野 信樹,小野 信樹.1,4,黒野 元基,黒野 元基.1,5,山田 和佐,山田 和佐.1,6,上岡 巧汰,上岡 巧汰.1
2.0,3.0,9.3,1.0,3.0,73.6,1.0,2.0,310.7,1.0,2.0,26.8,1.0,2.0,367.8,1.0,2.0,710.1
2.0,4.0,2.9,1.0,4.0,33.1,1.0,4.0,294.6,1.0,3.0,93.2,1.0,3.0,583.7,1.0,3.0,1556.0
2.0,5.0,26.1,1.0,5.0,162.2,1.0,5.0,503.6,1.0,5.0,46.9,1.0,4.0,284.3,1.0,4.0,906.5
2.0,6.0,97.4,1.0,6.0,395.1,1.0,6.0,1150.0,1.0,6.0,191.6,1.0,6.0,1077.0,1.0,5.0,2027.0
3.0,2.0,22.9,3.0,1.0,376.7,2.0,1.0,585.9,2.0,1.0,51.2,2.0,1.0,684.9,2.0,1.0,1167.0
3.0,4.0,23.1,3.0,4.0,481.5,2.0,4.0,675.9,2.0,3.0,228.6,2.0,3.0,1510.0,2.0,3.0,2407.0
3.0,5.0,73.5,3.0,5.0,1133.0,2.0,5.0,1027.0,2.0,5.0,139.4,2.0,4.0,824.1,2.0,4.0,1902.0
3.0,6.0,235.6,3.0,6.0,2082.0,2.0,6.0,2201.0,2.0,6.0,442.8,2.0,6.0,1639.0,2.0,5.0,2370.0
4.0,2.0,3.8,4.0,1.0,67.6,4.0,1.0,439.0,3.0,1.0,344.7,3.0,1.0,1070.0,3.0,1.0,2266.0
4.0,3.0,13.8,4.0,3.0,266.1,4.0,2.0,766.7,3.0,2.0,460.0,3.0,2.0,2054.0,3.0,2.0,2568.0
4.0,5.0,18.7,4.0,5.0,326.5,4.0,5.0,933.9,3.0,5.0,572.8,3.0,4.0,1510.0,3.0,4.0,2370.0
4.0,6.0,84.4,4.0,6.0,987.8,4.0,6.0,1541.0,3.0,6.0,1317.0,3.0,6.0,2568.0,3.0,5.0,2526.0
5.0,2.0,79.6,5.0,1.0,554.3,5.0,1.0,928.3,5.0,1.0,91.3,4.0,1.0,361.7,4.0,1.0,1167.0
5.0,3.0,128.7,5.0,3.0,1000.0,5.0,2.0,1194.0,5.0,2.0,134.0,4.0,2.0,604.3,4.0,2.0,1693.0
5.0,4.0,73.8,5.0,4.0,687.9,5.0,4.0,1124.0,5.0,3.0,336.4,4.0,3.0,1013.0,4.0,3.0,2407.0
5.0,6.0,426.8,5.0,6.0,2140.0,5.0,6.0,2446.0,5.0,6.0,405.5,4.0,6.0,1013.0,4.0,5.0,2407.0
6.0,2.0,261.6,6.0,1.0,1007.0,6.0,1.0,2407.0,6.0,1.0,546.4,6.0,1.0,2526.0,5.0,1.0,2801.0
6.0,3.0,536.9,6.0,3.0,2300.0,6.0,2.0,2907.0,6.0,2.0,737.3,6.0,2.0,2612.0,5.0,2.0,2526.0
6.0,4.0,333.5,6.0,4.0,1639.0,6.0,4.0,2446.0,6.0,3.0,1295.0,6.0,3.0,1975.0,5.0,3.0,2407.0
6.0,5.0,870.6,6.0,5.0,2801.0,6.0,5.0,2446.0,6.0,5.0,790.3,6.0,4.0,2407.0,5.0,4.0,2801.0
