1,奥平 拓也,奥平 拓也.1,2,峰重 力也,峰重 力也.1,3,田添 康介,田添 康介.1,4,内田 圭,内田 圭.1,5,香月 大輝,香月 大輝.1,6,村田 友也,村田 友也.1
2.0,3.0,8.5,1.0,3.0,11.2,1.0,2.0,23.3,1.0,2.0,114.2,1.0,2.0,682.8,1.0,2.0,364.9
2.0,4.0,21.8,1.0,4.0,21.4,1.0,4.0,29.7,1.0,3.0,78.2,1.0,3.0,598.8,1.0,3.0,499.0
2.0,5.0,110.2,1.0,5.0,122.2,1.0,5.0,160.1,1.0,5.0,474.6,1.0,4.0,1216.0,1.0,4.0,605.0
2.0,6.0,65.1,1.0,6.0,53.7,1.0,6.0,76.1,1.0,6.0,246.8,1.0,6.0,1101.0,1.0,5.0,1191.0
3.0,2.0,11.3,3.0,1.0,14.8,2.0,1.0,24.5,2.0,1.0,147.4,2.0,1.0,778.4,2.0,1.0,452.5
3.0,4.0,17.8,3.0,4.0,15.0,2.0,4.0,25.4,2.0,3.0,115.6,2.0,3.0,580.9,2.0,3.0,357.0
3.0,5.0,107.9,3.0,5.0,77.0,2.0,5.0,122.3,2.0,5.0,624.4,2.0,4.0,1216.0,2.0,4.0,561.3
3.0,6.0,58.6,3.0,6.0,30.8,2.0,6.0,48.6,2.0,6.0,197.2,2.0,6.0,1179.0,2.0,5.0,1179.0
4.0,2.0,35.0,4.0,1.0,51.2,4.0,1.0,53.4,3.0,1.0,107.0,3.0,1.0,864.9,3.0,1.0,595.7
4.0,3.0,27.7,4.0,3.0,35.2,4.0,2.0,47.3,3.0,2.0,120.8,3.0,2.0,919.4,3.0,2.0,393.1
4.0,5.0,293.3,4.0,5.0,216.6,4.0,5.0,223.2,3.0,5.0,611.3,3.0,4.0,1342.0,3.0,4.0,695.0
4.0,6.0,131.2,4.0,6.0,73.3,4.0,6.0,88.5,3.0,6.0,264.1,3.0,6.0,1796.0,3.0,5.0,1478.0
5.0,2.0,323.4,5.0,1.0,233.5,5.0,1.0,450.8,5.0,1.0,877.9,4.0,1.0,1497.0,4.0,1.0,729.8
5.0,3.0,440.6,5.0,3.0,214.6,5.0,2.0,367.1,5.0,2.0,919.4,4.0,2.0,1357.0,4.0,2.0,545.6
5.0,4.0,467.0,5.0,4.0,347.5,5.0,4.0,528.3,5.0,3.0,949.3,4.0,3.0,1255.0,4.0,3.0,758.2
5.0,6.0,652.3,5.0,6.0,456.1,5.0,6.0,624.4,5.0,6.0,822.3,4.0,6.0,1342.0,4.0,5.0,1156.0
6.0,2.0,205.5,6.0,1.0,139.8,6.0,1.0,186.8,6.0,1.0,397.1,6.0,1.0,1516.0,5.0,1.0,1424.0
6.0,3.0,224.1,6.0,3.0,83.9,6.0,2.0,115.7,6.0,2.0,296.3,6.0,2.0,1357.0,5.0,2.0,1297.0
6.0,4.0,278.6,6.0,4.0,126.0,6.0,4.0,168.7,6.0,3.0,390.5,6.0,3.0,1692.0,5.0,3.0,1441.0
6.0,5.0,686.8,6.0,5.0,386.6,6.0,5.0,553.4,6.0,5.0,794.3,6.0,4.0,1373.0,5.0,4.0,1424.0
