1,赤坂 俊輔,赤坂 俊輔.1,2,濱崎 直矢,濱崎 直矢.1,3,北野 輝季,北野 輝季.1,4,大田 直弥,大田 直弥.1,5,若林 将,若林 将.1,6,牧 宏次,牧 宏次.1
2.0,3.0,6.1,1.0,3.0,49.2,1.0,2.0,47.7,1.0,2.0,589.4,1.0,2.0,50.9,1.0,2.0,520.1
2.0,4.0,19.7,1.0,4.0,112.3,1.0,4.0,86.8,1.0,3.0,693.5,1.0,3.0,55.8,1.0,3.0,974.4
2.0,5.0,6.7,1.0,5.0,47.3,1.0,5.0,34.7,1.0,5.0,587.5,1.0,4.0,208.0,1.0,4.0,1356.0
2.0,6.0,28.2,1.0,6.0,132.3,1.0,6.0,145.5,1.0,6.0,812.7,1.0,6.0,82.7,1.0,5.0,670.0
3.0,2.0,8.6,3.0,1.0,127.9,2.0,1.0,102.8,2.0,1.0,941.2,2.0,1.0,113.5,2.0,1.0,612.9
3.0,4.0,23.7,3.0,4.0,443.8,2.0,4.0,311.1,2.0,3.0,1528.0,2.0,3.0,222.0,2.0,3.0,1667.0
3.0,5.0,9.0,3.0,5.0,194.5,2.0,5.0,141.8,2.0,5.0,1401.0,2.0,4.0,587.5,2.0,4.0,2240.0
3.0,6.0,40.9,3.0,6.0,583.2,2.0,6.0,437.5,2.0,6.0,1590.0,2.0,6.0,249.1,2.0,5.0,1240.0
4.0,2.0,52.5,4.0,1.0,482.9,4.0,1.0,287.3,3.0,1.0,964.2,3.0,1.0,109.2,3.0,1.0,1508.0
4.0,3.0,60.9,4.0,3.0,811.5,4.0,2.0,524.1,3.0,2.0,1433.0,3.0,2.0,236.9,3.0,2.0,2080.0
4.0,5.0,62.1,4.0,5.0,666.8,4.0,5.0,300.4,3.0,5.0,1255.0,3.0,4.0,545.8,3.0,4.0,2240.0
4.0,6.0,118.3,4.0,6.0,972.7,4.0,6.0,689.2,3.0,6.0,1820.0,3.0,6.0,357.7,3.0,5.0,1826.0
5.0,2.0,13.6,5.0,1.0,133.1,5.0,1.0,78.9,5.0,1.0,833.5,4.0,1.0,539.9,4.0,1.0,2648.0
5.0,3.0,16.3,5.0,3.0,268.2,5.0,2.0,163.9,5.0,2.0,1340.0,4.0,2.0,941.2,4.0,2.0,3199.0
5.0,4.0,51.4,5.0,4.0,593.2,5.0,4.0,243.8,5.0,3.0,1263.0,4.0,3.0,977.8,4.0,3.0,3144.0
5.0,6.0,37.1,5.0,6.0,375.2,5.0,6.0,269.4,5.0,6.0,1141.0,4.0,6.0,859.4,4.0,5.0,2882.0
6.0,2.0,111.3,6.0,1.0,563.0,6.0,1.0,639.1,6.0,1.0,1729.0,6.0,1.0,204.8,5.0,1.0,686.6
6.0,3.0,171.1,6.0,3.0,1009.0,6.0,2.0,908.8,6.0,2.0,1976.0,6.0,2.0,280.2,5.0,2.0,1030.0
6.0,4.0,227.6,6.0,4.0,1157.0,6.0,4.0,1238.0,6.0,3.0,2027.0,6.0,3.0,423.4,5.0,3.0,1408.0
6.0,5.0,121.7,6.0,5.0,724.4,6.0,5.0,662.8,6.0,5.0,2034.0,6.0,4.0,715.0,5.0,4.0,1935.0
