1,竹下 大樹,竹下 大樹.1,2,河合 佑樹,河合 佑樹.1,3,藤丸 光一,藤丸 光一.1,4,齊藤 廉,齊藤 廉.1,5,村田 友也,村田 友也.1,6,向井田　佑紀,向井田　佑紀.1
2.0,3.0,3.8,1.0,3.0,11.0,1.0,2.0,114.8,1.0,2.0,844.2,1.0,2.0,446.7,1.0,2.0,41.4
2.0,4.0,49.3,1.0,4.0,82.1,1.0,4.0,825.3,1.0,3.0,1628.0,1.0,3.0,730.3,1.0,3.0,97.2
2.0,5.0,26.7,1.0,5.0,49.2,1.0,5.0,496.0,1.0,5.0,2244.0,1.0,4.0,1878.0,1.0,4.0,285.3
2.0,6.0,4.6,1.0,6.0,10.9,1.0,6.0,224.4,1.0,6.0,1129.0,1.0,6.0,498.7,1.0,5.0,199.4
3.0,2.0,13.4,3.0,1.0,45.3,2.0,1.0,131.5,2.0,1.0,1070.0,2.0,1.0,584.2,2.0,1.0,50.1
3.0,4.0,237.4,3.0,4.0,429.0,2.0,4.0,872.2,2.0,3.0,973.8,2.0,3.0,1202.0,2.0,3.0,103.7
3.0,5.0,77.9,3.0,5.0,227.5,2.0,5.0,630.3,2.0,5.0,3286.0,2.0,4.0,2068.0,2.0,4.0,347.9
3.0,6.0,26.7,3.0,6.0,57.8,2.0,6.0,194.9,2.0,6.0,1658.0,2.0,6.0,664.4,2.0,5.0,242.8
4.0,2.0,207.7,4.0,1.0,380.2,4.0,1.0,3067.0,3.0,1.0,2875.0,3.0,1.0,1314.0,3.0,1.0,262.5
4.0,3.0,372.5,4.0,3.0,911.1,4.0,2.0,2706.0,3.0,2.0,3017.0,3.0,2.0,1752.0,3.0,2.0,231.8
4.0,5.0,751.2,4.0,5.0,1521.0,4.0,5.0,2667.0,3.0,5.0,6346.0,3.0,4.0,4382.0,3.0,4.0,1089.0
4.0,6.0,283.5,4.0,6.0,492.1,4.0,6.0,2521.0,3.0,6.0,3834.0,3.0,6.0,2421.0,3.0,5.0,666.8
5.0,2.0,99.2,5.0,1.0,216.7,5.0,1.0,1202.0,5.0,1.0,2921.0,4.0,1.0,2091.0,4.0,1.0,779.8
5.0,3.0,164.6,5.0,3.0,428.0,5.0,2.0,1252.0,5.0,2.0,3472.0,4.0,2.0,4843.0,4.0,2.0,721.7
5.0,4.0,546.1,5.0,4.0,915.6,5.0,4.0,3017.0,5.0,3.0,5413.0,4.0,3.0,4601.0,4.0,3.0,1786.0
5.0,6.0,136.9,5.0,6.0,250.7,5.0,6.0,1449.0,5.0,6.0,4001.0,4.0,6.0,3608.0,4.0,5.0,2421.0
6.0,2.0,12.7,6.0,1.0,32.1,6.0,1.0,368.1,6.0,1.0,1363.0,6.0,1.0,531.9,5.0,1.0,409.0
6.0,3.0,32.2,6.0,3.0,58.9,6.0,2.0,337.0,6.0,2.0,1917.0,6.0,2.0,593.7,5.0,2.0,492.1
6.0,4.0,144.5,6.0,4.0,217.2,6.0,4.0,1533.0,6.0,3.0,3173.0,6.0,3.0,1394.0,5.0,3.0,868.1
6.0,5.0,89.4,6.0,5.0,160.8,6.0,5.0,1082.0,6.0,5.0,4090.0,6.0,4.0,2191.0,5.0,4.0,1979.0
