1,中野 次郎,中野 次郎.1,2,太田 和美,太田 和美.1,3,赤坂 俊輔,赤坂 俊輔.1,4,篠崎 元志,篠崎 元志.1,5,仲谷 颯仁,仲谷 颯仁.1,6,古澤 光紀,古澤 光紀.1
2.0,3.0,15.4,1.0,3.0,87.0,1.0,2.0,156.2,1.0,2.0,54.0,1.0,2.0,86.2,1.0,2.0,1939.0
2.0,4.0,8.7,1.0,4.0,56.6,1.0,4.0,79.9,1.0,3.0,75.0,1.0,3.0,90.1,1.0,3.0,2620.0
2.0,5.0,16.6,1.0,5.0,83.5,1.0,5.0,103.4,1.0,5.0,35.3,1.0,4.0,62.3,1.0,4.0,2176.0
2.0,6.0,78.1,1.0,6.0,294.8,1.0,6.0,399.3,1.0,6.0,110.6,1.0,6.0,133.8,1.0,5.0,2106.0
3.0,2.0,21.8,3.0,1.0,289.7,2.0,1.0,337.2,2.0,1.0,136.8,2.0,1.0,198.6,2.0,1.0,2711.0
3.0,4.0,13.7,3.0,4.0,476.3,2.0,4.0,420.7,2.0,3.0,319.4,2.0,3.0,492.7,2.0,3.0,3822.0
3.0,5.0,21.6,3.0,5.0,624.8,2.0,5.0,548.6,2.0,5.0,147.8,2.0,4.0,260.2,2.0,4.0,2788.0
3.0,6.0,81.5,3.0,6.0,1470.0,2.0,6.0,1237.0,2.0,6.0,421.2,2.0,6.0,546.0,2.0,5.0,3937.0
4.0,2.0,9.6,4.0,1.0,152.1,4.0,1.0,146.8,3.0,1.0,166.7,3.0,1.0,217.7,3.0,1.0,3278.0
4.0,3.0,12.7,4.0,3.0,421.6,4.0,2.0,345.0,3.0,2.0,363.9,3.0,2.0,596.2,3.0,2.0,4581.0
4.0,5.0,10.3,4.0,5.0,268.8,4.0,5.0,168.6,3.0,5.0,164.8,3.0,4.0,314.4,3.0,4.0,4102.0
4.0,6.0,49.5,4.0,6.0,838.8,4.0,6.0,615.9,3.0,6.0,546.7,3.0,6.0,849.8,3.0,5.0,4235.0
5.0,2.0,24.1,5.0,1.0,260.7,5.0,1.0,185.8,5.0,1.0,42.3,4.0,1.0,76.0,4.0,1.0,2511.0
5.0,3.0,26.9,5.0,3.0,666.8,5.0,2.0,496.2,5.0,2.0,73.4,4.0,2.0,130.4,4.0,2.0,3172.0
5.0,4.0,18.8,5.0,4.0,379.4,5.0,4.0,236.1,5.0,3.0,109.8,4.0,3.0,194.2,4.0,3.0,3898.0
5.0,6.0,65.5,5.0,6.0,1037.0,5.0,6.0,671.9,5.0,6.0,68.8,4.0,6.0,122.4,4.0,5.0,1622.0
6.0,2.0,309.5,6.0,1.0,1414.0,6.0,1.0,1389.0,6.0,1.0,305.7,6.0,1.0,425.8,5.0,1.0,2297.0
6.0,3.0,301.2,6.0,3.0,2990.0,6.0,2.0,2200.0,6.0,2.0,446.1,6.0,2.0,692.7,5.0,2.0,3766.0
6.0,4.0,235.9,6.0,4.0,1911.0,6.0,4.0,1748.0,6.0,3.0,741.2,6.0,3.0,915.3,5.0,3.0,3957.0
6.0,5.0,254.2,6.0,5.0,2176.0,6.0,5.0,1688.0,6.0,5.0,278.2,6.0,4.0,452.8,5.0,4.0,1599.0
