1,福島 勇樹,福島 勇樹.1,2,赤峰 和也,赤峰 和也.1,3,渡邊 哲也,渡邊 哲也.1,4,中岡 正彦,中岡 正彦.1,5,中渡 修作,中渡 修作.1,6,川崎 智幸,川崎 智幸.1
2.0,3.0,136.2,1.0,3.0,713.4,1.0,2.0,932.7,1.0,2.0,17.8,1.0,2.0,422.6,1.0,2.0,281.4
2.0,4.0,45.6,1.0,4.0,326.2,1.0,4.0,670.3,1.0,3.0,44.3,1.0,3.0,729.4,1.0,3.0,544.4
2.0,5.0,181.1,1.0,5.0,866.9,1.0,5.0,1200.0,1.0,5.0,14.4,1.0,4.0,145.5,1.0,4.0,87.5
2.0,6.0,115.1,1.0,6.0,517.8,1.0,6.0,1009.0,1.0,6.0,6.5,1.0,6.0,175.1,1.0,5.0,247.6
3.0,2.0,164.6,3.0,1.0,1260.0,2.0,1.0,1330.0,2.0,1.0,50.8,2.0,1.0,801.3,2.0,1.0,545.7
3.0,4.0,98.6,3.0,4.0,1409.0,2.0,4.0,1512.0,2.0,3.0,218.6,2.0,3.0,1692.0,2.0,3.0,1473.0
3.0,5.0,269.1,3.0,5.0,2005.0,2.0,5.0,2107.0,2.0,5.0,105.9,2.0,4.0,612.6,2.0,4.0,410.8
3.0,6.0,212.4,3.0,6.0,2005.0,2.0,6.0,2209.0,2.0,6.0,46.4,2.0,6.0,615.9,2.0,5.0,934.6
4.0,2.0,21.0,4.0,1.0,360.9,4.0,1.0,901.3,3.0,1.0,157.4,3.0,1.0,1375.0,3.0,1.0,1366.0
4.0,3.0,52.3,4.0,3.0,1129.0,4.0,2.0,1553.0,3.0,2.0,349.0,3.0,2.0,2059.0,3.0,2.0,1904.0
4.0,5.0,23.7,4.0,5.0,860.4,4.0,5.0,1685.0,3.0,5.0,303.0,3.0,4.0,1842.0,3.0,4.0,1094.0
4.0,6.0,12.4,4.0,6.0,417.5,4.0,6.0,1121.0,3.0,6.0,116.2,3.0,6.0,1458.0,3.0,5.0,1631.0
5.0,2.0,198.0,5.0,1.0,1477.0,5.0,1.0,1771.0,5.0,1.0,17.3,4.0,1.0,107.3,4.0,1.0,68.7
5.0,3.0,302.6,5.0,3.0,2087.0,5.0,2.0,2220.0,5.0,2.0,49.5,4.0,2.0,282.5,4.0,2.0,186.6
5.0,4.0,73.5,5.0,4.0,1240.0,5.0,4.0,2177.0,5.0,3.0,133.2,4.0,3.0,676.3,4.0,3.0,448.0
5.0,6.0,108.8,5.0,6.0,1250.0,5.0,6.0,1685.0,5.0,6.0,10.6,4.0,6.0,83.3,4.0,5.0,108.0
6.0,2.0,110.7,6.0,1.0,873.6,6.0,1.0,1792.0,6.0,1.0,8.3,6.0,1.0,196.9,5.0,1.0,290.4
6.0,3.0,222.6,6.0,3.0,1865.0,6.0,2.0,2157.0,6.0,2.0,29.3,6.0,2.0,401.0,5.0,2.0,568.2
6.0,4.0,38.0,6.0,4.0,643.8,6.0,4.0,1619.0,6.0,3.0,68.0,6.0,3.0,731.7,5.0,3.0,1009.0
6.0,5.0,106.4,6.0,5.0,1342.0,6.0,5.0,1873.0,6.0,5.0,10.7,6.0,4.0,135.6,5.0,4.0,175.8
