1,中村 泰平,中村 泰平.1,2,峰重 力也,峰重 力也.1,3,近藤 友宝,近藤 友宝.1,4,三好 勇人,三好 勇人.1,5,菅 章哉,菅 章哉.1,6,林 祐介,林 祐介.1
2.0,3.0,79.4,1.0,3.0,403.9,1.0,2.0,762.3,1.0,2.0,372.0,1.0,2.0,17.2,1.0,2.0,239.7
2.0,4.0,67.1,1.0,4.0,304.2,1.0,4.0,543.5,1.0,3.0,383.0,1.0,3.0,19.4,1.0,3.0,355.8
2.0,5.0,50.5,1.0,5.0,257.3,1.0,5.0,363.6,1.0,5.0,140.3,1.0,4.0,11.7,1.0,4.0,239.7
2.0,6.0,80.7,1.0,6.0,338.2,1.0,6.0,704.4,1.0,6.0,206.7,1.0,6.0,8.1,1.0,5.0,112.6
3.0,2.0,104.6,3.0,1.0,852.5,2.0,1.0,927.7,2.0,1.0,625.5,2.0,1.0,38.8,2.0,1.0,425.9
3.0,4.0,71.8,3.0,4.0,1224.0,2.0,4.0,1249.0,2.0,3.0,1219.0,2.0,3.0,74.3,2.0,3.0,679.9
3.0,5.0,55.2,3.0,5.0,1077.0,2.0,5.0,1112.0,2.0,5.0,618.4,2.0,4.0,81.9,2.0,4.0,584.7
3.0,6.0,119.0,3.0,6.0,1056.0,2.0,6.0,1121.0,2.0,6.0,704.4,2.0,6.0,34.2,2.0,5.0,343.5
4.0,2.0,78.1,4.0,1.0,640.1,4.0,1.0,1000.0,3.0,1.0,867.4,3.0,1.0,59.8,3.0,1.0,924.5
4.0,3.0,71.7,4.0,3.0,1287.0,4.0,2.0,1648.0,3.0,2.0,1278.0,3.0,2.0,121.5,3.0,2.0,1081.0
4.0,5.0,34.0,4.0,5.0,738.6,4.0,5.0,1064.0,3.0,5.0,852.5,3.0,4.0,99.1,3.0,4.0,1142.0
4.0,6.0,59.7,4.0,6.0,855.2,4.0,6.0,1281.0,3.0,6.0,1042.0,3.0,6.0,67.7,3.0,5.0,747.7
5.0,2.0,29.7,5.0,1.0,278.9,5.0,1.0,396.9,5.0,1.0,115.3,4.0,1.0,26.5,4.0,1.0,430.3
5.0,3.0,28.0,5.0,3.0,745.7,5.0,2.0,851.2,5.0,2.0,378.0,4.0,2.0,89.8,4.0,2.0,739.6
5.0,4.0,18.6,5.0,4.0,522.2,5.0,4.0,724.0,5.0,3.0,443.2,4.0,3.0,74.4,4.0,3.0,1103.0
5.0,6.0,17.9,5.0,6.0,365.3,5.0,6.0,641.6,5.0,6.0,142.3,4.0,6.0,33.7,4.0,5.0,302.7
6.0,2.0,91.6,6.0,1.0,690.2,6.0,1.0,1052.0,6.0,1.0,346.6,6.0,1.0,10.7,5.0,1.0,89.9
6.0,3.0,129.0,6.0,3.0,1077.0,6.0,2.0,1385.0,6.0,2.0,657.8,6.0,2.0,24.3,5.0,2.0,174.0
6.0,4.0,84.8,6.0,4.0,867.4,6.0,4.0,1563.0,6.0,3.0,1112.0,6.0,3.0,39.0,5.0,3.0,267.1
6.0,5.0,52.8,6.0,5.0,568.9,6.0,5.0,1052.0,6.0,5.0,279.6,6.0,4.0,24.8,5.0,4.0,169.4
