1,尾上 雅也,尾上 雅也.1,2,服部 幸男,服部 幸男.1,3,杉江 浩明,杉江 浩明.1,4,林 祐介,林 祐介.1,5,三好 勇人,三好 勇人.1,6,宇野 博之,宇野 博之.1
2.0,3.0,11.3,1.0,3.0,49.8,1.0,2.0,241.4,1.0,2.0,66.0,1.0,2.0,111.8,1.0,2.0,1071.0
2.0,4.0,4.9,1.0,4.0,21.4,1.0,4.0,325.2,1.0,3.0,224.7,1.0,3.0,293.9,1.0,3.0,1571.0
2.0,5.0,5.8,1.0,5.0,25.7,1.0,5.0,238.5,1.0,5.0,77.8,1.0,4.0,152.8,1.0,4.0,1307.0
2.0,6.0,31.9,1.0,6.0,97.8,1.0,6.0,480.7,1.0,6.0,159.7,1.0,6.0,301.4,1.0,5.0,1577.0
3.0,2.0,23.6,3.0,1.0,276.0,2.0,1.0,349.1,2.0,1.0,108.3,2.0,1.0,187.4,2.0,1.0,1207.0
3.0,4.0,34.5,3.0,4.0,441.0,2.0,4.0,495.8,2.0,3.0,451.3,2.0,3.0,661.5,2.0,3.0,2499.0
3.0,5.0,37.7,3.0,5.0,442.4,2.0,5.0,543.7,2.0,5.0,157.7,2.0,4.0,292.3,2.0,4.0,1515.0
3.0,6.0,81.6,3.0,6.0,756.4,2.0,6.0,841.3,2.0,6.0,289.9,2.0,6.0,593.6,2.0,5.0,2006.0
4.0,2.0,11.0,4.0,1.0,81.3,4.0,1.0,486.7,3.0,1.0,514.9,3.0,1.0,664.6,3.0,1.0,1850.0
4.0,3.0,36.0,4.0,3.0,313.3,4.0,2.0,563.0,3.0,2.0,738.1,3.0,2.0,971.3,3.0,2.0,2849.0
4.0,5.0,17.3,4.0,5.0,121.7,4.0,5.0,577.5,3.0,5.0,679.4,3.0,4.0,1052.0,3.0,4.0,2214.0
4.0,6.0,50.1,4.0,6.0,274.1,4.0,6.0,778.4,3.0,6.0,782.7,3.0,6.0,1020.0,3.0,5.0,2126.0
5.0,2.0,16.2,5.0,1.0,112.2,5.0,1.0,514.9,5.0,1.0,111.0,4.0,1.0,214.1,4.0,1.0,1434.0
5.0,3.0,50.9,5.0,3.0,381.2,5.0,2.0,678.4,5.0,2.0,133.8,4.0,2.0,275.7,4.0,2.0,1656.0
5.0,4.0,28.3,5.0,4.0,166.7,5.0,4.0,755.1,5.0,3.0,403.2,4.0,3.0,790.0,4.0,3.0,2757.0
5.0,6.0,67.7,5.0,6.0,423.1,5.0,6.0,809.4,5.0,6.0,212.3,4.0,6.0,442.4,4.0,5.0,1826.0
6.0,2.0,123.1,6.0,1.0,522.4,6.0,1.0,1170.0,6.0,1.0,384.3,6.0,1.0,657.5,5.0,1.0,1631.0
6.0,3.0,220.4,6.0,3.0,1060.0,6.0,2.0,1339.0,6.0,2.0,473.8,6.0,2.0,888.5,5.0,2.0,2203.0
6.0,4.0,164.6,6.0,4.0,677.3,6.0,4.0,1504.0,6.0,3.0,849.6,6.0,3.0,1095.0,5.0,3.0,1987.0
6.0,5.0,179.8,6.0,5.0,831.5,6.0,5.0,1027.0,6.0,5.0,493.5,6.0,4.0,790.0,5.0,4.0,1650.0
