1,藤原 菜希,藤原 菜希.1,2,小野 桜,小野 桜.1,3,犬童 千秋,犬童 千秋.1,4,中川 りな,中川 りな.1,5,田中 博子,田中 博子.1,6,藤本　紗弥香,藤本　紗弥香.1
2.0,3.0,7.1,1.0,3.0,44.1,1.0,2.0,76.1,1.0,2.0,33.1,1.0,2.0,1264.0,1.0,2.0,294.7
2.0,4.0,5.3,1.0,4.0,29.2,1.0,4.0,59.8,1.0,3.0,49.6,1.0,3.0,1419.0,1.0,3.0,497.8
2.0,5.0,79.9,1.0,5.0,306.7,1.0,5.0,392.4,1.0,5.0,190.0,1.0,4.0,907.0,1.0,4.0,356.5
2.0,6.0,21.5,1.0,6.0,117.6,1.0,6.0,198.2,1.0,6.0,85.0,1.0,6.0,1661.0,1.0,5.0,1412.0
3.0,2.0,10.4,3.0,1.0,114.1,2.0,1.0,138.7,2.0,1.0,59.1,2.0,1.0,1539.0,2.0,1.0,496.5
3.0,4.0,9.9,3.0,4.0,152.9,2.0,4.0,188.1,2.0,3.0,118.1,2.0,3.0,2224.0,2.0,3.0,1031.0
3.0,5.0,105.5,3.0,5.0,1010.0,2.0,5.0,911.4,2.0,5.0,444.2,2.0,4.0,1707.0,2.0,4.0,756.4
3.0,6.0,38.1,3.0,6.0,597.9,2.0,6.0,639.9,2.0,6.0,206.0,2.0,6.0,2522.0,2.0,5.0,2394.0
4.0,2.0,7.2,4.0,1.0,62.8,4.0,1.0,87.5,3.0,1.0,94.6,3.0,1.0,1828.0,3.0,1.0,1220.0
4.0,3.0,10.7,4.0,3.0,136.7,4.0,2.0,144.8,3.0,2.0,145.5,3.0,2.0,2943.0,3.0,2.0,1405.0
4.0,5.0,76.2,4.0,5.0,646.5,4.0,5.0,558.3,3.0,5.0,618.2,3.0,4.0,2315.0,3.0,4.0,1587.0
4.0,6.0,24.5,4.0,6.0,245.3,4.0,6.0,308.2,3.0,6.0,366.9,3.0,6.0,3924.0,3.0,5.0,3531.0
5.0,2.0,231.3,5.0,1.0,959.3,5.0,1.0,1016.0,5.0,1.0,347.7,4.0,1.0,1127.0,4.0,1.0,636.3
5.0,3.0,372.4,5.0,3.0,1637.0,5.0,2.0,1437.0,5.0,2.0,562.2,4.0,2.0,1864.0,4.0,2.0,858.7
5.0,4.0,251.7,5.0,4.0,1487.0,5.0,4.0,1339.0,5.0,3.0,679.9,4.0,3.0,2425.0,4.0,3.0,1423.0
5.0,6.0,368.8,5.0,6.0,2278.0,5.0,6.0,1975.0,5.0,6.0,509.0,4.0,6.0,2315.0,4.0,5.0,2207.0
6.0,2.0,61.3,6.0,1.0,429.3,6.0,1.0,692.4,6.0,1.0,213.8,6.0,1.0,2404.0,5.0,1.0,2989.0
6.0,3.0,108.4,6.0,3.0,1010.0,6.0,2.0,989.6,6.0,2.0,303.3,6.0,2.0,2853.0,5.0,2.0,3210.0
6.0,4.0,84.8,6.0,4.0,621.6,6.0,4.0,964.2,6.0,3.0,519.3,6.0,3.0,3897.0,5.0,3.0,3742.0
6.0,5.0,396.2,6.0,5.0,2085.0,6.0,5.0,2207.0,6.0,5.0,621.6,6.0,4.0,2690.0,5.0,4.0,3156.0
