1,伊藤 啓三,伊藤 啓三.1,2,石倉 洋行,石倉 洋行.1,3,松田　大志郎,松田　大志郎.1,4,柳生 泰二,柳生 泰二.1,5,奥平 拓也,奥平 拓也.1,6,加倉 侑征,加倉 侑征.1
2.0,3.0,10.2,1.0,3.0,25.1,1.0,2.0,33.8,1.0,2.0,89.5,1.0,2.0,1515.0,1.0,2.0,1310.0
2.0,4.0,12.8,1.0,4.0,30.0,1.0,4.0,18.1,1.0,3.0,44.9,1.0,3.0,799.7,1.0,3.0,980.1
2.0,5.0,113.4,1.0,5.0,200.5,1.0,5.0,126.6,1.0,5.0,178.8,1.0,4.0,857.6,1.0,4.0,1271.0
2.0,6.0,59.5,1.0,6.0,115.1,1.0,6.0,71.0,1.0,6.0,128.7,1.0,6.0,1533.0,1.0,5.0,2414.0
3.0,2.0,10.4,3.0,1.0,50.5,2.0,1.0,66.8,2.0,1.0,159.3,2.0,1.0,2247.0,2.0,1.0,1903.0
3.0,4.0,6.2,3.0,4.0,54.8,2.0,4.0,55.4,2.0,3.0,128.4,2.0,3.0,2172.0,2.0,3.0,1773.0
3.0,5.0,62.0,3.0,5.0,271.0,2.0,5.0,258.1,2.0,5.0,390.3,2.0,4.0,1862.0,2.0,4.0,1975.0
3.0,6.0,37.6,3.0,6.0,169.1,2.0,6.0,147.9,2.0,6.0,265.7,2.0,6.0,2687.0,2.0,5.0,4655.0
4.0,2.0,15.6,4.0,1.0,80.6,4.0,1.0,24.5,3.0,1.0,44.1,3.0,1.0,778.2,3.0,1.0,1379.0
4.0,3.0,10.4,4.0,3.0,74.7,4.0,2.0,39.2,3.0,2.0,86.2,3.0,2.0,2172.0,3.0,2.0,1917.0
4.0,5.0,67.3,4.0,5.0,367.2,4.0,5.0,93.5,3.0,5.0,160.4,3.0,4.0,1379.0,3.0,4.0,883.8
4.0,6.0,44.7,4.0,6.0,223.4,4.0,6.0,53.6,3.0,6.0,97.1,3.0,6.0,1960.0,3.0,5.0,2773.0
5.0,2.0,285.2,5.0,1.0,869.0,5.0,1.0,346.7,5.0,1.0,292.2,4.0,1.0,749.1,4.0,1.0,1515.0
5.0,3.0,229.3,5.0,3.0,905.2,5.0,2.0,495.6,5.0,2.0,456.6,4.0,2.0,1917.0,4.0,2.0,1889.0
5.0,4.0,262.2,5.0,4.0,1051.0,5.0,4.0,322.2,5.0,3.0,401.7,4.0,3.0,1365.0,4.0,3.0,987.5
5.0,6.0,455.8,5.0,6.0,1310.0,5.0,6.0,447.2,5.0,6.0,432.3,4.0,6.0,1448.0,4.0,5.0,2896.0
6.0,2.0,266.3,6.0,1.0,678.9,6.0,1.0,296.6,6.0,1.0,280.3,6.0,1.0,2154.0,5.0,1.0,3141.0
6.0,3.0,185.1,6.0,3.0,602.1,6.0,2.0,405.4,6.0,2.0,432.3,6.0,2.0,3950.0,5.0,2.0,5013.0
6.0,4.0,224.9,6.0,4.0,742.7,6.0,4.0,227.9,6.0,3.0,292.2,6.0,3.0,2896.0,5.0,3.0,3141.0
6.0,5.0,617.8,6.0,5.0,1619.0,6.0,5.0,740.6,6.0,5.0,596.6,6.0,4.0,2962.0,5.0,4.0,3891.0
