1,久富 政弘,久富 政弘.1,2,山田 竜一,山田 竜一.1,3,植田 太一,植田 太一.1,4,杢野 誓良,杢野 誓良.1,5,海老澤　泰行,海老澤　泰行.1,6,竹田 広樹,竹田 広樹.1
2.0,3.0,9.2,1.0,3.0,17.3,1.0,2.0,29.6,1.0,2.0,56.0,1.0,2.0,236.7,1.0,2.0,696.9
2.0,4.0,8.0,1.0,4.0,13.0,1.0,4.0,41.3,1.0,3.0,106.8,1.0,3.0,315.7,1.0,3.0,852.4
2.0,5.0,29.5,1.0,5.0,39.7,1.0,5.0,61.9,1.0,5.0,102.3,1.0,4.0,277.0,1.0,4.0,769.5
2.0,6.0,62.8,1.0,6.0,104.1,1.0,6.0,208.3,1.0,6.0,192.3,1.0,6.0,432.8,1.0,5.0,1055.0
3.0,2.0,12.8,3.0,1.0,40.9,2.0,1.0,48.1,2.0,1.0,65.4,2.0,1.0,357.4,2.0,1.0,1108.0
3.0,4.0,19.1,3.0,4.0,41.8,2.0,4.0,55.2,2.0,3.0,117.0,2.0,3.0,452.3,2.0,3.0,963.6
3.0,5.0,49.0,3.0,5.0,76.2,2.0,5.0,82.7,2.0,5.0,105.2,2.0,4.0,319.3,2.0,4.0,923.4
3.0,6.0,120.9,3.0,6.0,236.2,2.0,6.0,313.0,2.0,6.0,231.8,2.0,6.0,525.1,2.0,5.0,1178.0
4.0,2.0,18.2,4.0,1.0,30.7,4.0,1.0,78.5,3.0,1.0,180.7,3.0,1.0,506.0,3.0,1.0,1259.0
4.0,3.0,28.2,4.0,3.0,44.3,4.0,2.0,74.7,3.0,2.0,161.0,3.0,2.0,520.2,3.0,2.0,1142.0
4.0,5.0,57.6,4.0,5.0,64.7,4.0,5.0,131.7,3.0,5.0,247.9,3.0,4.0,651.8,3.0,4.0,1583.0
4.0,6.0,112.3,4.0,6.0,149.5,4.0,6.0,306.9,3.0,6.0,443.2,3.0,6.0,989.4,3.0,5.0,1518.0
5.0,2.0,77.2,5.0,1.0,157.4,5.0,1.0,206.7,5.0,1.0,143.1,4.0,1.0,306.1,4.0,1.0,1259.0
5.0,3.0,102.5,5.0,3.0,188.4,5.0,2.0,198.5,5.0,2.0,126.2,4.0,2.0,295.5,4.0,2.0,1026.0
5.0,4.0,120.1,5.0,4.0,163.6,5.0,4.0,237.8,5.0,3.0,244.0,4.0,3.0,501.4,4.0,3.0,1368.0
5.0,6.0,222.5,5.0,6.0,285.6,5.0,6.0,520.2,5.0,6.0,202.2,4.0,6.0,436.2,4.0,5.0,1518.0
6.0,2.0,272.9,6.0,1.0,441.4,6.0,1.0,537.9,6.0,1.0,324.9,6.0,1.0,714.9,5.0,1.0,1368.0
6.0,3.0,343.0,6.0,3.0,520.2,6.0,2.0,714.9,6.0,2.0,390.1,6.0,2.0,729.0,5.0,2.0,872.5
6.0,4.0,324.0,6.0,4.0,439.7,6.0,4.0,886.5,6.0,3.0,592.6,6.0,3.0,972.0,5.0,3.0,1130.0
6.0,5.0,540.5,6.0,5.0,446.8,6.0,5.0,774.9,6.0,5.0,371.8,6.0,4.0,845.9,5.0,4.0,1130.0
