1,高倉 和士,高倉 和士.1,2,富永 修一,富永 修一.1,3,角浜 修,角浜 修.1,4,前原 大道,前原 大道.1,5,原村 拓也,原村 拓也.1,6,梅原 祥平,梅原 祥平.1
2.0,3.0,7.4,1.0,3.0,91.3,1.0,2.0,184.5,1.0,2.0,64.1,1.0,2.0,637.3,1.0,2.0,488.5
2.0,4.0,4.0,1.0,4.0,52.7,1.0,4.0,177.8,1.0,3.0,178.2,1.0,3.0,992.3,1.0,3.0,818.4
2.0,5.0,17.1,1.0,5.0,176.1,1.0,5.0,321.0,1.0,5.0,117.1,1.0,4.0,621.8,1.0,4.0,498.1
2.0,6.0,23.4,1.0,6.0,218.0,1.0,6.0,440.2,1.0,6.0,179.5,1.0,6.0,1212.0,1.0,5.0,1143.0
3.0,2.0,12.0,3.0,1.0,350.1,2.0,1.0,374.4,2.0,1.0,127.8,2.0,1.0,914.1,2.0,1.0,840.0
3.0,4.0,10.8,3.0,4.0,679.1,2.0,4.0,676.7,2.0,3.0,565.7,2.0,3.0,2364.0,2.0,3.0,2409.0
3.0,5.0,29.6,3.0,5.0,1094.0,2.0,5.0,1204.0,2.0,5.0,460.9,2.0,4.0,1789.0,2.0,4.0,1255.0
3.0,6.0,42.2,3.0,6.0,1526.0,2.0,6.0,1526.0,2.0,6.0,556.7,2.0,6.0,2321.0,2.0,5.0,2026.0
4.0,2.0,6.2,4.0,1.0,150.9,4.0,1.0,379.6,3.0,1.0,477.0,3.0,1.0,1934.0,3.0,1.0,2128.0
4.0,3.0,12.8,4.0,3.0,555.1,4.0,2.0,705.4,3.0,2.0,864.6,3.0,2.0,3360.0,3.0,2.0,4256.0
4.0,5.0,19.3,4.0,5.0,643.7,4.0,5.0,905.5,3.0,5.0,1239.0,3.0,4.0,3948.0,3.0,4.0,3792.0
4.0,6.0,28.1,4.0,6.0,749.5,4.0,6.0,1097.0,3.0,6.0,1239.0,3.0,6.0,2946.0,3.0,5.0,4074.0
5.0,2.0,51.9,5.0,1.0,732.3,5.0,1.0,977.1,5.0,1.0,243.0,4.0,1.0,736.6,4.0,1.0,856.9
5.0,3.0,82.2,5.0,3.0,1680.0,5.0,2.0,1832.0,5.0,2.0,430.8,4.0,2.0,1272.0,4.0,2.0,1850.0
5.0,4.0,61.9,5.0,4.0,1182.0,5.0,4.0,1694.0,5.0,3.0,943.4,4.0,3.0,2503.0,4.0,3.0,3389.0
5.0,6.0,115.2,5.0,6.0,2048.0,5.0,6.0,2037.0,5.0,6.0,556.7,4.0,6.0,1773.0,4.0,5.0,3165.0
6.0,2.0,65.7,6.0,1.0,764.5,6.0,1.0,1302.0,6.0,1.0,375.5,6.0,1.0,2253.0,5.0,1.0,3040.0
6.0,3.0,109.5,6.0,3.0,2048.0,6.0,2.0,2307.0,6.0,2.0,665.0,6.0,2.0,2880.0,5.0,2.0,4256.0
6.0,4.0,73.7,6.0,4.0,1010.0,6.0,4.0,1544.0,6.0,3.0,1316.0,6.0,3.0,2379.0,5.0,3.0,4209.0
6.0,5.0,152.2,6.0,5.0,1815.0,6.0,5.0,2081.0,6.0,5.0,739.4,6.0,4.0,2201.0,5.0,4.0,3755.0
