1,藤井 公人,藤井 公人.1,2,中尾 彩香,中尾 彩香.1,3,長尾　京志郎,長尾　京志郎.1,4,橋本 英一,橋本 英一.1,5,原田 雄次,原田 雄次.1,6,谷村 啓司,谷村 啓司.1
2.0,3.0,17.1,1.0,3.0,69.3,1.0,2.0,57.9,1.0,2.0,79.5,1.0,2.0,245.8,1.0,2.0,466.9
2.0,4.0,24.9,1.0,4.0,90.3,1.0,4.0,29.4,1.0,3.0,54.4,1.0,3.0,142.9,1.0,3.0,424.7
2.0,5.0,40.2,1.0,5.0,122.8,1.0,5.0,39.7,1.0,5.0,47.8,1.0,4.0,187.7,1.0,4.0,442.8
2.0,6.0,81.9,1.0,6.0,195.7,1.0,6.0,92.6,1.0,6.0,79.0,1.0,6.0,249.0,1.0,5.0,608.1
3.0,2.0,15.2,3.0,1.0,108.7,2.0,1.0,106.2,2.0,1.0,147.1,2.0,1.0,413.4,2.0,1.0,595.0
3.0,4.0,10.6,3.0,4.0,106.5,2.0,4.0,103.5,2.0,3.0,152.9,2.0,3.0,361.3,2.0,3.0,771.9
3.0,5.0,15.7,3.0,5.0,127.2,2.0,5.0,115.7,2.0,5.0,148.0,2.0,4.0,489.8,2.0,4.0,1030.0
3.0,6.0,37.5,3.0,6.0,219.8,2.0,6.0,224.4,2.0,6.0,242.0,2.0,6.0,590.8,2.0,5.0,1312.0
4.0,2.0,30.4,4.0,1.0,156.0,4.0,1.0,45.2,3.0,1.0,77.5,3.0,1.0,166.3,3.0,1.0,550.4
4.0,3.0,18.3,4.0,3.0,150.9,4.0,2.0,80.4,3.0,2.0,120.5,3.0,2.0,265.8,3.0,2.0,820.1
4.0,5.0,26.7,4.0,5.0,202.8,4.0,5.0,37.7,3.0,5.0,58.4,3.0,4.0,157.2,3.0,4.0,455.8
4.0,6.0,49.0,4.0,6.0,316.8,4.0,6.0,78.1,3.0,6.0,105.4,3.0,6.0,228.3,3.0,5.0,702.3
5.0,2.0,62.6,5.0,1.0,281.1,5.0,1.0,86.3,5.0,1.0,50.7,4.0,1.0,156.6,4.0,1.0,483.2
5.0,3.0,33.7,5.0,3.0,239.7,5.0,2.0,145.3,5.0,2.0,90.0,4.0,2.0,275.8,4.0,2.0,733.3
5.0,4.0,55.6,5.0,4.0,367.7,5.0,4.0,63.6,5.0,3.0,60.4,4.0,3.0,145.4,4.0,3.0,496.6
5.0,6.0,90.9,5.0,6.0,474.9,5.0,6.0,127.3,5.0,6.0,57.0,4.0,6.0,173.8,4.0,5.0,513.0
6.0,2.0,172.9,6.0,1.0,495.7,6.0,1.0,238.1,6.0,1.0,130.6,6.0,1.0,442.8,5.0,1.0,920.0
6.0,3.0,124.3,6.0,3.0,588.0,6.0,2.0,390.8,6.0,2.0,221.4,6.0,2.0,668.4,5.0,2.0,1298.0
6.0,4.0,148.1,6.0,4.0,621.7,6.0,4.0,199.9,6.0,3.0,167.6,6.0,3.0,371.5,5.0,3.0,930.3
6.0,5.0,183.6,6.0,5.0,799.1,6.0,5.0,250.0,6.0,5.0,115.9,6.0,4.0,400.2,5.0,4.0,710.3
