1,小畑 実成,小畑 実成.1,2,岡本 慎治,岡本 慎治.1,3,和田 拓也,和田 拓也.1,4,長尾　京志郎,長尾　京志郎.1,5,眞鳥 章太,眞鳥 章太.1,6,青木　幸太郎,青木　幸太郎.1
2.0,3.0,22.3,1.0,3.0,33.8,1.0,2.0,27.9,1.0,2.0,147.3,1.0,2.0,346.1,1.0,2.0,498.5
2.0,4.0,37.4,1.0,4.0,58.0,1.0,4.0,17.8,1.0,3.0,88.2,1.0,3.0,189.1,1.0,3.0,318.5
2.0,5.0,61.6,1.0,5.0,88.9,1.0,5.0,18.0,1.0,5.0,128.6,1.0,4.0,283.1,1.0,4.0,531.7
2.0,6.0,96.3,1.0,6.0,117.5,1.0,6.0,26.4,1.0,6.0,145.2,1.0,6.0,277.8,1.0,5.0,581.8
3.0,2.0,16.1,3.0,1.0,58.9,2.0,1.0,53.9,2.0,1.0,192.5,2.0,1.0,534.7,2.0,1.0,708.9
3.0,4.0,13.2,3.0,4.0,68.9,2.0,4.0,47.2,2.0,3.0,156.3,2.0,3.0,473.8,2.0,3.0,600.0
3.0,5.0,19.4,3.0,5.0,105.0,2.0,5.0,70.9,2.0,5.0,187.3,2.0,4.0,487.0,2.0,4.0,701.1
3.0,6.0,32.6,3.0,6.0,143.0,2.0,6.0,95.8,2.0,6.0,234.0,2.0,6.0,564.6,2.0,5.0,902.9
4.0,2.0,50.8,4.0,1.0,138.6,4.0,1.0,34.0,3.0,1.0,89.8,3.0,1.0,180.4,3.0,1.0,321.7
4.0,3.0,30.7,4.0,3.0,108.5,4.0,2.0,50.3,3.0,2.0,131.0,3.0,2.0,338.8,3.0,2.0,521.5
4.0,5.0,61.4,4.0,5.0,153.1,4.0,5.0,31.9,3.0,5.0,94.9,3.0,4.0,236.9,3.0,4.0,392.2
4.0,6.0,75.4,4.0,6.0,198.3,4.0,6.0,42.9,3.0,6.0,107.4,3.0,6.0,214.1,3.0,5.0,414.3
5.0,2.0,116.5,5.0,1.0,254.5,5.0,1.0,45.9,5.0,1.0,162.6,4.0,1.0,316.4,4.0,1.0,623.5
5.0,3.0,60.9,5.0,3.0,210.8,5.0,2.0,93.6,5.0,2.0,190.0,4.0,2.0,410.7,4.0,2.0,807.6
5.0,4.0,117.1,5.0,4.0,243.8,5.0,4.0,56.1,5.0,3.0,154.4,4.0,3.0,286.5,4.0,3.0,498.5
5.0,6.0,129.4,5.0,6.0,362.5,5.0,6.0,46.4,5.0,6.0,140.9,4.0,6.0,320.6,4.0,5.0,574.8
6.0,2.0,242.6,6.0,1.0,369.5,6.0,1.0,85.4,6.0,1.0,215.0,6.0,1.0,292.2,5.0,1.0,686.1
6.0,3.0,136.7,6.0,3.0,326.1,6.0,2.0,163.3,6.0,2.0,260.7,6.0,2.0,503.7,5.0,2.0,1057.0
6.0,4.0,220.0,6.0,4.0,369.5,6.0,4.0,106.7,6.0,3.0,191.0,6.0,3.0,251.8,5.0,3.0,542.2
6.0,5.0,239.2,6.0,5.0,477.3,6.0,5.0,72.5,6.0,5.0,179.2,6.0,4.0,380.5,5.0,4.0,625.5
