1,山本 浩輔,山本 浩輔.1,2,花本 夏樹,花本 夏樹.1,3,岩永 節也,岩永 節也.1,4,久田 敏之,久田 敏之.1,5,森 弘行,森 弘行.1,6,石田 政吾,石田 政吾.1
2.0,3.0,60.3,1.0,3.0,101.0,1.0,2.0,366.9,1.0,2.0,17.7,1.0,2.0,678.4,1.0,2.0,323.6
2.0,4.0,20.7,1.0,4.0,32.4,1.0,4.0,192.5,1.0,3.0,46.8,1.0,3.0,1095.0,1.0,3.0,770.2
2.0,5.0,142.0,1.0,5.0,234.3,1.0,5.0,564.4,1.0,5.0,30.1,1.0,4.0,361.6,1.0,4.0,168.8
2.0,6.0,51.1,1.0,6.0,77.9,1.0,6.0,301.2,1.0,6.0,10.9,1.0,6.0,486.5,1.0,5.0,648.6
3.0,2.0,110.2,3.0,1.0,254.1,2.0,1.0,478.6,2.0,1.0,29.5,2.0,1.0,918.6,2.0,1.0,354.6
3.0,4.0,70.8,3.0,4.0,155.3,2.0,4.0,236.2,2.0,3.0,70.8,2.0,3.0,1719.0,2.0,3.0,1320.0
3.0,5.0,244.0,3.0,5.0,481.7,2.0,5.0,571.0,2.0,5.0,61.4,2.0,4.0,606.1,2.0,4.0,155.5
3.0,6.0,141.6,3.0,6.0,275.4,2.0,6.0,342.3,2.0,6.0,18.9,2.0,6.0,821.6,2.0,5.0,875.1
4.0,2.0,16.3,4.0,1.0,43.2,4.0,1.0,231.8,3.0,1.0,103.8,3.0,1.0,1661.0,3.0,1.0,1012.0
4.0,3.0,35.6,4.0,3.0,92.6,4.0,2.0,220.7,3.0,2.0,116.5,3.0,2.0,1971.0,3.0,2.0,1540.0
4.0,5.0,50.2,4.0,5.0,133.1,4.0,5.0,374.4,3.0,5.0,203.7,3.0,4.0,1019.0,3.0,4.0,707.6
4.0,6.0,18.4,4.0,6.0,45.2,4.0,6.0,185.1,3.0,6.0,93.9,3.0,6.0,1493.0,3.0,5.0,1825.0
5.0,2.0,272.3,5.0,1.0,524.4,5.0,1.0,859.8,5.0,1.0,35.1,4.0,1.0,240.4,4.0,1.0,127.9
5.0,3.0,367.9,5.0,3.0,739.4,5.0,2.0,732.1,5.0,2.0,46.3,4.0,2.0,253.6,4.0,2.0,110.5
5.0,4.0,159.3,5.0,4.0,278.5,5.0,4.0,537.8,5.0,3.0,95.6,4.0,3.0,598.7,4.0,3.0,381.1
5.0,6.0,235.5,5.0,6.0,420.1,5.0,6.0,711.0,5.0,6.0,19.7,4.0,6.0,135.9,4.0,5.0,166.9
6.0,2.0,103.1,6.0,1.0,231.0,6.0,1.0,558.1,6.0,1.0,13.7,6.0,1.0,449.5,5.0,1.0,799.4
6.0,3.0,216.2,6.0,3.0,424.9,6.0,2.0,582.2,6.0,2.0,14.7,6.0,2.0,621.4,5.0,2.0,1079.0
6.0,4.0,54.5,6.0,4.0,107.4,6.0,4.0,339.9,6.0,3.0,60.5,6.0,3.0,1286.0,5.0,3.0,1946.0
6.0,5.0,235.5,6.0,5.0,474.0,6.0,5.0,790.8,6.0,5.0,19.6,6.0,4.0,225.1,5.0,4.0,258.1
