1,酒見 峻介,酒見 峻介.1,2,菊地 敬介,菊地 敬介.1,3,岡崎 恭裕,岡崎 恭裕.1,4,宇野 博之,宇野 博之.1,5,浜先 真範,浜先 真範.1,6,尾上 雅也,尾上 雅也.1
2.0,3.0,51.4,1.0,3.0,183.5,1.0,2.0,40.3,1.0,2.0,939.4,1.0,2.0,384.3,1.0,2.0,135.2
2.0,4.0,131.9,1.0,4.0,530.3,1.0,4.0,25.8,1.0,3.0,409.1,1.0,3.0,126.4,1.0,3.0,39.5
2.0,5.0,107.2,1.0,5.0,339.2,1.0,5.0,12.5,1.0,5.0,658.8,1.0,4.0,461.3,1.0,4.0,166.2
2.0,6.0,81.1,1.0,6.0,260.0,1.0,6.0,9.2,1.0,6.0,480.9,1.0,6.0,162.6,1.0,5.0,86.1
3.0,2.0,24.7,3.0,1.0,238.7,2.0,1.0,118.0,2.0,1.0,1178.0,2.0,1.0,829.5,2.0,1.0,317.2
3.0,4.0,22.9,3.0,4.0,777.8,2.0,4.0,318.1,2.0,3.0,1391.0,2.0,3.0,809.1,2.0,3.0,279.9
3.0,5.0,11.8,3.0,5.0,388.4,2.0,5.0,151.7,2.0,5.0,1730.0,2.0,4.0,1690.0,2.0,4.0,648.1
3.0,6.0,9.3,3.0,6.0,315.3,2.0,6.0,130.7,2.0,6.0,1429.0,2.0,6.0,747.2,2.0,5.0,442.1
4.0,2.0,207.6,4.0,1.0,1060.0,4.0,1.0,68.9,3.0,1.0,397.0,3.0,1.0,132.6,3.0,1.0,38.1
4.0,3.0,77.3,4.0,3.0,1159.0,4.0,2.0,266.1,3.0,2.0,929.7,3.0,2.0,368.3,3.0,2.0,140.2
4.0,5.0,149.8,4.0,5.0,1764.0,4.0,5.0,68.9,3.0,5.0,424.0,3.0,4.0,371.7,3.0,4.0,87.6
4.0,6.0,99.6,4.0,6.0,1030.0,4.0,6.0,42.5,3.0,6.0,294.7,3.0,6.0,122.1,3.0,5.0,56.8
5.0,2.0,130.0,5.0,1.0,724.8,5.0,1.0,31.4,5.0,1.0,954.3,4.0,1.0,890.8,4.0,1.0,432.6
5.0,3.0,39.5,5.0,3.0,667.3,5.0,2.0,128.0,5.0,2.0,1835.0,4.0,2.0,1659.0,4.0,2.0,908.7
5.0,4.0,151.6,5.0,4.0,1772.0,5.0,4.0,77.6,5.0,3.0,745.7,4.0,3.0,820.1,4.0,3.0,272.9
5.0,6.0,55.7,5.0,6.0,810.9,5.0,6.0,27.2,5.0,6.0,699.5,4.0,6.0,719.0,4.0,5.0,534.2
6.0,2.0,84.8,6.0,1.0,622.5,6.0,1.0,19.0,6.0,1.0,605.8,6.0,1.0,209.3,5.0,1.0,152.8
6.0,3.0,22.9,6.0,3.0,605.8,6.0,2.0,100.0,6.0,2.0,1287.0,6.0,2.0,517.4,5.0,2.0,342.5
6.0,4.0,88.2,6.0,4.0,1621.0,6.0,4.0,49.6,6.0,3.0,376.7,6.0,3.0,148.6,5.0,3.0,112.5
6.0,5.0,51.3,6.0,5.0,934.5,6.0,5.0,24.7,6.0,5.0,691.5,6.0,4.0,527.2,5.0,4.0,391.4
