1,岩崎 正哉,岩崎 正哉.1,2,松尾 昂明,松尾 昂明.1,3,中岡 健人,中岡 健人.1,4,川村 正輝,川村 正輝.1,5,出畑 孝成,出畑 孝成.1,6,小坂 宗司,小坂 宗司.1
2.0,3.0,6.4,1.0,3.0,24.5,1.0,2.0,76.9,1.0,2.0,87.0,1.0,2.0,922.6,1.0,2.0,157.7
2.0,4.0,6.0,1.0,4.0,20.6,1.0,4.0,86.3,1.0,3.0,150.2,1.0,3.0,1501.0,1.0,3.0,280.8
2.0,5.0,105.5,1.0,5.0,175.8,1.0,5.0,439.9,1.0,5.0,580.1,1.0,4.0,1764.0,1.0,4.0,268.6
2.0,6.0,8.6,1.0,6.0,28.2,1.0,6.0,105.9,1.0,6.0,95.3,1.0,6.0,1514.0,1.0,5.0,992.1
3.0,2.0,11.0,3.0,1.0,96.4,2.0,1.0,133.4,2.0,1.0,129.9,2.0,1.0,1374.0,2.0,1.0,243.8
3.0,4.0,14.8,3.0,4.0,155.1,2.0,4.0,213.6,2.0,3.0,347.5,2.0,3.0,2828.0,2.0,3.0,612.3
3.0,5.0,177.8,3.0,5.0,739.3,2.0,5.0,966.9,2.0,5.0,1093.0,2.0,4.0,3260.0,2.0,4.0,493.9
3.0,6.0,17.5,3.0,6.0,172.4,2.0,6.0,236.5,2.0,6.0,200.8,2.0,6.0,2251.0,2.0,5.0,1408.0
4.0,2.0,14.0,4.0,1.0,73.4,4.0,1.0,194.1,3.0,1.0,328.8,3.0,1.0,2037.0,3.0,1.0,581.1
4.0,3.0,22.8,4.0,3.0,196.9,4.0,2.0,255.6,3.0,2.0,452.1,3.0,2.0,3528.0,3.0,2.0,737.7
4.0,5.0,219.9,4.0,5.0,736.1,4.0,5.0,1249.0,3.0,5.0,1694.0,3.0,4.0,3199.0,3.0,4.0,1012.0
4.0,6.0,22.2,4.0,6.0,142.6,4.0,6.0,272.3,3.0,6.0,427.3,3.0,6.0,3803.0,3.0,5.0,2573.0
5.0,2.0,394.3,5.0,1.0,989.3,5.0,1.0,1316.0,5.0,1.0,1172.0,4.0,1.0,2237.0,4.0,1.0,379.4
5.0,3.0,501.9,5.0,3.0,1860.0,5.0,2.0,1850.0,5.0,2.0,1607.0,4.0,2.0,3528.0,4.0,2.0,504.8
5.0,4.0,614.5,5.0,4.0,1755.0,5.0,4.0,1912.0,5.0,3.0,2344.0,4.0,3.0,3528.0,4.0,3.0,983.6
5.0,6.0,504.1,5.0,6.0,1521.0,5.0,6.0,1967.0,5.0,6.0,1337.0,4.0,6.0,3355.0,4.0,5.0,1555.0
6.0,2.0,22.7,6.0,1.0,129.8,6.0,1.0,260.3,6.0,1.0,145.7,6.0,1.0,2251.0,5.0,1.0,2208.0
6.0,3.0,37.3,6.0,3.0,296.1,6.0,2.0,344.7,6.0,2.0,197.2,6.0,2.0,3323.0,5.0,2.0,2393.0
6.0,4.0,40.5,6.0,4.0,225.0,6.0,4.0,428.9,6.0,3.0,378.6,6.0,3.0,3565.0,5.0,3.0,3528.0
6.0,5.0,320.5,6.0,5.0,925.1,6.0,5.0,1352.0,6.0,5.0,690.1,6.0,4.0,3680.0,5.0,4.0,3323.0
