1,松本 博昭,松本 博昭.1,2,萩原 知哉,萩原 知哉.1,3,後藤 陽介,後藤 陽介.1,4,鶴本 崇文,鶴本 崇文.1,5,大田 直弥,大田 直弥.1,6,中村 真,中村 真.1
2.0,3.0,15.1,1.0,3.0,56.2,1.0,2.0,110.8,1.0,2.0,45.0,1.0,2.0,325.8,1.0,2.0,796.8
2.0,4.0,7.4,1.0,4.0,40.1,1.0,4.0,72.3,1.0,3.0,66.4,1.0,3.0,497.3,1.0,3.0,1015.0
2.0,5.0,21.7,1.0,5.0,79.0,1.0,5.0,133.9,1.0,5.0,39.1,1.0,4.0,251.2,1.0,4.0,411.7
2.0,6.0,37.7,1.0,6.0,125.7,1.0,6.0,190.6,1.0,6.0,38.9,1.0,6.0,398.0,1.0,5.0,921.1
3.0,2.0,18.5,3.0,1.0,199.1,2.0,1.0,241.8,2.0,1.0,125.0,2.0,1.0,615.7,2.0,1.0,1476.0
3.0,4.0,11.6,3.0,4.0,295.9,2.0,4.0,280.8,2.0,3.0,340.6,2.0,3.0,1164.0,2.0,3.0,2482.0
3.0,5.0,28.8,3.0,5.0,511.1,2.0,5.0,424.2,2.0,5.0,205.9,2.0,4.0,706.3,2.0,4.0,1478.0
3.0,6.0,48.6,3.0,6.0,642.3,2.0,6.0,575.7,2.0,6.0,229.0,2.0,6.0,929.4,2.0,5.0,2033.0
4.0,2.0,8.6,4.0,1.0,108.8,4.0,1.0,147.3,3.0,1.0,185.2,3.0,1.0,997.9,3.0,1.0,1665.0
4.0,3.0,13.5,4.0,3.0,276.5,4.0,2.0,277.7,3.0,2.0,395.6,3.0,2.0,1517.0,3.0,2.0,3020.0
4.0,5.0,13.3,4.0,5.0,245.9,4.0,5.0,241.3,3.0,5.0,324.7,3.0,4.0,1241.0,3.0,4.0,1955.0
4.0,6.0,16.7,4.0,6.0,285.6,4.0,6.0,261.9,3.0,6.0,292.4,3.0,6.0,1607.0,3.0,5.0,3289.0
5.0,2.0,51.0,5.0,1.0,338.7,5.0,1.0,420.7,5.0,1.0,75.9,4.0,1.0,291.3,4.0,1.0,479.0
5.0,3.0,65.9,5.0,3.0,755.0,5.0,2.0,614.4,5.0,2.0,157.5,4.0,2.0,510.8,4.0,2.0,1093.0
5.0,4.0,41.4,5.0,4.0,434.2,5.0,4.0,458.5,5.0,3.0,256.8,4.0,3.0,798.2,4.0,3.0,1488.0
5.0,6.0,75.8,5.0,6.0,598.5,5.0,6.0,667.4,5.0,6.0,91.4,4.0,6.0,368.0,4.0,5.0,882.3
6.0,2.0,88.1,6.0,1.0,637.4,6.0,1.0,624.9,6.0,1.0,88.3,6.0,1.0,760.6,5.0,1.0,1582.0
6.0,3.0,113.4,6.0,3.0,1161.0,6.0,2.0,1000.0,6.0,2.0,199.1,6.0,2.0,1056.0,5.0,2.0,2297.0
6.0,4.0,57.1,6.0,4.0,650.0,6.0,4.0,666.0,6.0,3.0,270.9,6.0,3.0,1613.0,5.0,3.0,3254.0
6.0,5.0,117.4,6.0,5.0,917.4,6.0,5.0,1052.0,6.0,5.0,135.2,6.0,4.0,633.0,5.0,4.0,1091.0
