1,宗行 治哉,宗行 治哉.1,2,益田 啓司,益田 啓司.1,3,菊池 峰晴,菊池 峰晴.1,4,中川 りな,中川 りな.1,5,田川 大貴,田川 大貴.1,6,森 智也,森 智也.1
2.0,3.0,6.6,1.0,3.0,12.2,1.0,2.0,115.3,1.0,2.0,70.6,1.0,2.0,242.0,1.0,2.0,1044.0
2.0,4.0,6.6,1.0,4.0,9.0,1.0,4.0,178.4,1.0,3.0,185.2,1.0,3.0,484.4,1.0,3.0,2117.0
2.0,5.0,15.0,1.0,5.0,21.2,1.0,5.0,263.5,1.0,5.0,146.4,1.0,4.0,443.5,1.0,4.0,1899.0
2.0,6.0,21.3,1.0,6.0,34.1,1.0,6.0,406.3,1.0,6.0,220.8,1.0,6.0,407.1,1.0,5.0,1699.0
3.0,2.0,20.1,3.0,1.0,42.7,2.0,1.0,124.3,2.0,1.0,84.6,2.0,1.0,301.4,2.0,1.0,1253.0
3.0,4.0,31.7,3.0,4.0,57.5,2.0,4.0,181.2,2.0,3.0,193.2,2.0,3.0,538.5,2.0,3.0,2188.0
3.0,5.0,50.6,3.0,5.0,96.0,2.0,5.0,266.3,2.0,5.0,167.5,2.0,4.0,484.0,2.0,4.0,1559.0
3.0,6.0,84.5,3.0,6.0,142.5,2.0,6.0,433.6,2.0,6.0,235.3,2.0,6.0,523.2,2.0,5.0,1788.0
4.0,2.0,18.3,4.0,1.0,33.5,4.0,1.0,290.6,3.0,1.0,350.1,3.0,1.0,895.6,3.0,1.0,3045.0
4.0,3.0,40.6,4.0,3.0,63.3,4.0,2.0,258.7,3.0,2.0,309.8,3.0,2.0,777.0,3.0,2.0,2795.0
4.0,5.0,50.8,4.0,5.0,80.5,4.0,5.0,467.2,3.0,5.0,540.8,3.0,4.0,1227.0,3.0,4.0,3228.0
4.0,6.0,83.0,4.0,6.0,126.3,4.0,6.0,668.4,3.0,6.0,734.6,3.0,6.0,1434.0,3.0,5.0,3627.0
5.0,2.0,46.0,5.0,1.0,90.9,5.0,1.0,591.3,5.0,1.0,203.2,4.0,1.0,524.5,4.0,1.0,2174.0
5.0,3.0,90.4,5.0,3.0,166.2,5.0,2.0,473.0,5.0,2.0,203.2,4.0,2.0,486.6,4.0,2.0,1788.0
5.0,4.0,98.1,5.0,4.0,159.6,5.0,4.0,735.4,5.0,3.0,498.6,4.0,3.0,1033.0,4.0,3.0,3567.0
5.0,6.0,119.3,5.0,6.0,220.6,5.0,6.0,953.8,5.0,6.0,275.1,4.0,6.0,685.4,4.0,5.0,2427.0
6.0,2.0,151.6,6.0,1.0,241.0,6.0,1.0,1323.0,6.0,1.0,516.5,6.0,1.0,670.5,5.0,1.0,2024.0
6.0,3.0,233.3,6.0,3.0,370.9,6.0,2.0,1283.0,6.0,2.0,500.9,6.0,2.0,918.5,5.0,2.0,2011.0
6.0,4.0,252.9,6.0,4.0,378.5,6.0,4.0,1526.0,6.0,3.0,1010.0,6.0,3.0,1634.0,5.0,3.0,3490.0
6.0,5.0,264.9,6.0,5.0,428.2,6.0,5.0,1552.0,6.0,5.0,561.5,6.0,4.0,1163.0,5.0,4.0,2365.0
