1,酒見 峻介,酒見 峻介.1,2,鈴木 秀茉,鈴木 秀茉.1,3,星 栄爾,星 栄爾.1,4,冨成 謙児,冨成 謙児.1,5,小林 礼央,小林 礼央.1,6,宮迫 暢彦,宮迫 暢彦.1
2.0,3.0,8.9,1.0,3.0,15.6,1.0,2.0,32.1,1.0,2.0,82.2,1.0,2.0,864.4,1.0,2.0,143.2
2.0,4.0,13.6,1.0,4.0,20.6,1.0,4.0,35.9,1.0,3.0,93.0,1.0,3.0,862.8,1.0,3.0,189.6
2.0,5.0,191.4,1.0,5.0,212.1,1.0,5.0,366.6,1.0,5.0,475.1,1.0,4.0,1242.0,1.0,4.0,217.4
2.0,6.0,20.2,1.0,6.0,25.9,1.0,6.0,59.0,1.0,6.0,87.7,1.0,6.0,1055.0,1.0,5.0,784.8
3.0,2.0,11.4,3.0,1.0,31.6,2.0,1.0,46.3,2.0,1.0,111.5,2.0,1.0,1437.0,2.0,1.0,206.2
3.0,4.0,13.1,3.0,4.0,41.8,2.0,4.0,54.6,2.0,3.0,128.8,2.0,3.0,1667.0,2.0,3.0,278.2
3.0,5.0,151.4,3.0,5.0,351.2,2.0,5.0,397.4,2.0,5.0,707.7,2.0,4.0,1928.0,2.0,4.0,320.9
3.0,6.0,16.4,3.0,6.0,49.9,2.0,6.0,80.2,2.0,6.0,152.5,2.0,6.0,1709.0,2.0,5.0,929.6
4.0,2.0,31.0,4.0,1.0,49.8,4.0,1.0,70.8,3.0,1.0,129.5,3.0,1.0,1177.0,3.0,1.0,302.2
4.0,3.0,30.9,4.0,3.0,60.6,4.0,2.0,75.3,3.0,2.0,135.0,3.0,2.0,1679.0,3.0,2.0,340.0
4.0,5.0,223.0,4.0,5.0,439.9,4.0,5.0,664.5,3.0,5.0,962.0,3.0,4.0,1407.0,3.0,4.0,361.8
4.0,6.0,34.7,4.0,6.0,73.4,4.0,6.0,105.2,3.0,6.0,165.8,3.0,6.0,2319.0,3.0,5.0,1358.0
5.0,2.0,457.1,5.0,1.0,820.5,5.0,1.0,892.4,5.0,1.0,1120.0,4.0,1.0,1837.0,4.0,1.0,276.4
5.0,3.0,482.0,5.0,3.0,974.0,5.0,2.0,1126.0,5.0,2.0,1189.0,4.0,2.0,1823.0,4.0,2.0,337.5
5.0,4.0,607.6,5.0,4.0,1210.0,5.0,4.0,1446.0,5.0,3.0,1556.0,4.0,3.0,1171.0,4.0,3.0,345.7
5.0,6.0,494.7,5.0,6.0,937.0,5.0,6.0,1369.0,5.0,6.0,982.2,4.0,6.0,1501.0,4.0,5.0,826.3
6.0,2.0,45.5,6.0,1.0,76.3,6.0,1.0,128.6,6.0,1.0,125.1,6.0,1.0,1703.0,5.0,1.0,1516.0
6.0,3.0,48.8,6.0,3.0,103.2,6.0,2.0,151.0,6.0,2.0,160.5,6.0,2.0,1866.0,5.0,2.0,1506.0
6.0,4.0,63.6,6.0,4.0,123.3,6.0,4.0,165.2,6.0,3.0,190.7,6.0,3.0,2199.0,5.0,3.0,2010.0
6.0,5.0,292.4,6.0,5.0,536.6,6.0,5.0,915.1,6.0,5.0,491.6,6.0,4.0,1541.0,5.0,4.0,1287.0
