1,山下 友貴,山下 友貴.1,2,松本 怜,松本 怜.1,3,井上 未都,井上 未都.1,4,喜多　那由夏,喜多　那由夏.1,5,新田 芳美,新田 芳美.1,6,片岡 恵里,片岡 恵里.1
2.0,3.0,29.9,1.0,3.0,91.8,1.0,2.0,114.8,1.0,2.0,69.7,1.0,2.0,138.2,1.0,2.0,540.5
2.0,4.0,24.1,1.0,4.0,74.1,1.0,4.0,92.2,1.0,3.0,110.8,1.0,3.0,250.5,1.0,3.0,659.4
2.0,5.0,31.6,1.0,5.0,83.8,1.0,5.0,114.6,1.0,5.0,33.1,1.0,4.0,88.2,1.0,4.0,356.9
2.0,6.0,45.4,1.0,6.0,104.5,1.0,6.0,118.8,1.0,6.0,58.4,1.0,6.0,105.1,1.0,5.0,341.7
3.0,2.0,43.8,3.0,1.0,128.6,2.0,1.0,149.8,2.0,1.0,100.6,2.0,1.0,199.6,2.0,1.0,704.1
3.0,4.0,36.4,3.0,4.0,96.4,2.0,4.0,113.8,2.0,3.0,182.3,2.0,3.0,336.7,2.0,3.0,728.2
3.0,5.0,47.2,3.0,5.0,103.9,2.0,5.0,124.2,2.0,5.0,70.8,2.0,4.0,133.2,2.0,4.0,544.7
3.0,6.0,56.9,3.0,6.0,135.5,2.0,6.0,154.3,2.0,6.0,106.0,2.0,6.0,151.0,2.0,5.0,520.9
4.0,2.0,28.7,4.0,1.0,94.1,4.0,1.0,110.5,3.0,1.0,163.9,3.0,1.0,326.2,3.0,1.0,799.7
4.0,3.0,41.4,4.0,3.0,119.0,4.0,2.0,136.3,3.0,2.0,229.5,3.0,2.0,388.1,3.0,2.0,899.9
4.0,5.0,20.8,4.0,5.0,62.3,4.0,5.0,73.4,3.0,5.0,119.2,3.0,4.0,277.0,3.0,4.0,667.5
4.0,6.0,33.4,4.0,6.0,95.7,4.0,6.0,91.4,3.0,6.0,149.2,3.0,6.0,308.6,3.0,5.0,722.8
5.0,2.0,52.3,5.0,1.0,120.8,5.0,1.0,177.5,5.0,1.0,24.9,4.0,1.0,65.7,4.0,1.0,327.0
5.0,3.0,77.9,5.0,3.0,174.8,5.0,2.0,214.5,5.0,2.0,39.7,4.0,2.0,86.9,4.0,2.0,396.3
5.0,4.0,39.9,5.0,4.0,97.8,5.0,4.0,115.7,5.0,3.0,86.1,4.0,3.0,173.1,4.0,3.0,588.7
5.0,6.0,52.6,5.0,6.0,121.1,5.0,6.0,146.4,5.0,6.0,16.1,4.0,6.0,38.3,4.0,5.0,131.4
6.0,2.0,111.2,6.0,1.0,276.8,6.0,1.0,252.0,6.0,1.0,71.6,6.0,1.0,133.0,5.0,1.0,319.1
6.0,3.0,131.2,6.0,3.0,325.9,6.0,2.0,313.2,6.0,2.0,115.4,6.0,2.0,189.1,5.0,2.0,425.2
6.0,4.0,86.2,6.0,4.0,227.0,6.0,4.0,190.7,6.0,3.0,181.9,6.0,3.0,283.2,5.0,3.0,657.6
6.0,5.0,93.6,6.0,5.0,215.6,6.0,5.0,235.0,6.0,5.0,32.9,6.0,4.0,62.5,5.0,4.0,139.4
