1,真子　奈津実,真子　奈津実.1,2,深川　麻奈美,深川　麻奈美.1,3,白石 有美,白石 有美.1,4,佐々木　裕美,佐々木　裕美.1,5,北村 寧々,北村 寧々.1,6,蜂須 瑞生,蜂須 瑞生.1
2.0,3.0,66.0,1.0,3.0,94.3,1.0,2.0,578.3,1.0,2.0,25.5,1.0,2.0,116.4,1.0,2.0,278.5
2.0,4.0,8.3,1.0,4.0,11.6,1.0,4.0,766.1,1.0,3.0,229.0,1.0,3.0,634.3,1.0,3.0,1573.0
2.0,5.0,16.3,1.0,5.0,19.9,1.0,5.0,967.0,1.0,5.0,45.5,1.0,4.0,162.0,1.0,4.0,436.1
2.0,6.0,18.1,1.0,6.0,24.7,1.0,6.0,1465.0,1.0,6.0,50.3,1.0,6.0,209.5,1.0,5.0,608.1
3.0,2.0,183.3,3.0,1.0,295.3,2.0,1.0,603.5,2.0,1.0,24.5,2.0,1.0,114.2,2.0,1.0,268.1
3.0,4.0,237.8,3.0,4.0,303.6,2.0,4.0,651.8,2.0,3.0,213.9,2.0,3.0,619.3,2.0,3.0,1222.0
3.0,5.0,274.7,3.0,5.0,347.5,2.0,5.0,887.1,2.0,5.0,37.2,2.0,4.0,105.4,2.0,4.0,183.7
3.0,6.0,420.6,3.0,6.0,431.3,2.0,6.0,1107.0,2.0,6.0,38.2,2.0,6.0,133.8,2.0,5.0,378.7
4.0,2.0,13.0,4.0,1.0,18.4,4.0,1.0,1025.0,3.0,1.0,516.3,3.0,1.0,1092.0,3.0,1.0,2651.0
4.0,3.0,126.5,4.0,3.0,151.3,4.0,2.0,768.6,3.0,2.0,494.6,3.0,2.0,1235.0,3.0,2.0,1815.0
4.0,5.0,27.1,4.0,5.0,25.1,4.0,5.0,1413.0,3.0,5.0,608.1,3.0,4.0,1484.0,3.0,4.0,2226.0
4.0,6.0,38.5,4.0,6.0,29.2,4.0,6.0,1594.0,3.0,6.0,749.1,3.0,6.0,1503.0,3.0,5.0,1950.0
5.0,2.0,48.4,5.0,1.0,54.3,5.0,1.0,1097.0,5.0,1.0,64.4,4.0,1.0,172.9,4.0,1.0,476.7
5.0,3.0,301.7,5.0,3.0,340.5,5.0,2.0,1139.0,5.0,2.0,53.0,4.0,2.0,118.6,4.0,2.0,202.2
5.0,4.0,64.3,5.0,4.0,51.2,5.0,4.0,1484.0,5.0,3.0,328.6,4.0,3.0,854.9,4.0,3.0,1627.0
5.0,6.0,111.6,5.0,6.0,73.9,5.0,6.0,1858.0,5.0,6.0,66.2,4.0,6.0,181.5,4.0,5.0,485.5
6.0,2.0,75.9,6.0,1.0,87.2,6.0,1.0,2205.0,6.0,1.0,115.1,6.0,1.0,275.3,5.0,1.0,662.8
6.0,3.0,564.5,6.0,3.0,510.7,6.0,2.0,1438.0,6.0,2.0,77.4,6.0,2.0,184.2,5.0,2.0,401.3
6.0,4.0,117.9,6.0,4.0,76.0,6.0,4.0,2226.0,6.0,3.0,598.9,6.0,3.0,963.1,5.0,3.0,1999.0
6.0,5.0,173.2,6.0,5.0,126.7,6.0,5.0,2125.0,6.0,5.0,112.6,6.0,4.0,240.0,5.0,4.0,485.5
