1,津留　浩一郎,津留　浩一郎.1,2,品川 賢次,品川 賢次.1,3,冨田 秀幸,冨田 秀幸.1,4,木幡 純也,木幡 純也.1,5,峰重 侑治,峰重 侑治.1,6,宮本 琉正,宮本 琉正.1
2.0,3.0,12.9,1.0,3.0,76.7,1.0,2.0,102.5,1.0,2.0,107.0,1.0,2.0,65.6,1.0,2.0,1250.0
2.0,4.0,13.9,1.0,4.0,86.4,1.0,4.0,77.0,1.0,3.0,102.5,1.0,3.0,49.9,1.0,3.0,1376.0
2.0,5.0,11.8,1.0,5.0,65.2,1.0,5.0,56.0,1.0,5.0,56.8,1.0,4.0,51.9,1.0,4.0,1487.0
2.0,6.0,169.3,1.0,6.0,466.4,1.0,6.0,632.6,1.0,6.0,382.2,1.0,6.0,299.1,1.0,5.0,1528.0
3.0,2.0,15.0,3.0,1.0,181.0,2.0,1.0,213.3,2.0,1.0,223.7,2.0,1.0,123.4,2.0,1.0,1693.0
3.0,4.0,11.9,3.0,4.0,330.5,2.0,4.0,289.6,2.0,3.0,436.8,2.0,3.0,284.4,2.0,3.0,2560.0
3.0,5.0,9.2,3.0,5.0,275.9,2.0,5.0,256.0,2.0,5.0,245.7,2.0,4.0,252.4,2.0,4.0,1572.0
3.0,6.0,278.6,3.0,6.0,2001.0,2.0,6.0,1667.0,2.0,6.0,797.7,2.0,6.0,1146.0,2.0,5.0,2293.0
4.0,2.0,20.3,4.0,1.0,200.8,4.0,1.0,146.3,3.0,1.0,189.1,3.0,1.0,110.4,3.0,1.0,2501.0
4.0,3.0,16.4,4.0,3.0,412.3,4.0,2.0,318.1,3.0,2.0,491.4,3.0,2.0,292.7,3.0,2.0,3057.0
4.0,5.0,12.0,4.0,5.0,325.6,4.0,5.0,175.2,3.0,5.0,220.1,3.0,4.0,214.1,3.0,4.0,2822.0
4.0,6.0,265.2,4.0,6.0,1429.0,4.0,6.0,1028.0,3.0,6.0,1223.0,3.0,6.0,887.7,3.0,5.0,2446.0
5.0,2.0,16.7,5.0,1.0,144.2,5.0,1.0,94.1,5.0,1.0,66.5,4.0,1.0,76.1,4.0,1.0,1834.0
5.0,3.0,12.2,5.0,3.0,302.4,5.0,2.0,219.2,5.0,2.0,142.9,4.0,2.0,166.5,4.0,2.0,2001.0
5.0,4.0,13.8,5.0,4.0,318.1,5.0,4.0,159.5,5.0,3.0,134.9,4.0,3.0,164.5,4.0,3.0,3237.0
5.0,6.0,204.6,5.0,6.0,1804.0,5.0,6.0,1048.0,5.0,6.0,356.2,4.0,6.0,409.2,4.0,5.0,1550.0
6.0,2.0,743.8,6.0,1.0,1487.0,6.0,1.0,1720.0,6.0,1.0,1158.0,6.0,1.0,917.3,5.0,1.0,2077.0
6.0,3.0,601.5,6.0,3.0,2896.0,6.0,2.0,2446.0,6.0,2.0,1667.0,6.0,2.0,1411.0,5.0,2.0,2752.0
6.0,4.0,629.0,6.0,4.0,1595.0,6.0,4.0,2077.0,6.0,3.0,1965.0,6.0,3.0,1359.0,5.0,3.0,2446.0
6.0,5.0,544.9,6.0,5.0,2201.0,6.0,5.0,2001.0,6.0,5.0,1209.0,6.0,4.0,1038.0,5.0,4.0,1747.0
