1,戸敷 晃美,戸敷 晃美.1,2,嶋田 有里,嶋田 有里.1,3,寺田 千恵,寺田 千恵.1,4,永井 聖美,永井 聖美.1,5,金田 幸子,金田 幸子.1,6,犬童 千秋,犬童 千秋.1
2.0,3.0,17.7,1.0,3.0,43.6,1.0,2.0,37.4,1.0,2.0,262.4,1.0,2.0,175.1,1.0,2.0,1738.0
2.0,4.0,33.2,1.0,4.0,70.1,1.0,4.0,24.3,1.0,3.0,153.4,1.0,3.0,83.7,1.0,3.0,1034.0
2.0,5.0,30.3,1.0,5.0,61.6,1.0,5.0,17.2,1.0,5.0,161.8,1.0,4.0,164.9,1.0,4.0,2370.0
2.0,6.0,123.1,1.0,6.0,264.5,1.0,6.0,67.1,1.0,6.0,483.9,1.0,6.0,267.2,1.0,5.0,1635.0
3.0,2.0,14.7,3.0,1.0,60.1,2.0,1.0,64.7,2.0,1.0,339.2,2.0,1.0,239.7,2.0,1.0,2209.0
3.0,4.0,11.3,3.0,4.0,56.1,2.0,4.0,60.3,2.0,3.0,199.8,2.0,3.0,167.4,2.0,3.0,2081.0
3.0,5.0,9.2,3.0,5.0,46.4,2.0,5.0,46.8,2.0,5.0,227.1,2.0,4.0,288.5,2.0,4.0,2772.0
3.0,6.0,49.4,3.0,6.0,262.3,2.0,6.0,214.7,2.0,6.0,592.0,2.0,6.0,559.3,2.0,5.0,3004.0
4.0,2.0,50.1,4.0,1.0,155.0,4.0,1.0,50.8,3.0,1.0,149.2,3.0,1.0,91.0,3.0,1.0,1075.0
4.0,3.0,26.9,4.0,3.0,101.7,4.0,2.0,66.3,3.0,2.0,164.2,3.0,2.0,150.2,3.0,2.0,2028.0
4.0,5.0,38.7,4.0,5.0,121.3,4.0,5.0,32.6,3.0,5.0,97.7,3.0,4.0,115.6,3.0,4.0,1910.0
4.0,6.0,146.7,4.0,6.0,521.9,4.0,6.0,122.8,3.0,6.0,337.4,3.0,6.0,224.8,3.0,5.0,957.5
5.0,2.0,48.5,5.0,1.0,148.5,5.0,1.0,34.0,5.0,1.0,184.1,4.0,1.0,239.3,4.0,1.0,2751.0
5.0,3.0,25.1,5.0,3.0,106.3,5.0,2.0,56.2,5.0,2.0,251.3,4.0,2.0,341.5,4.0,2.0,2650.0
5.0,4.0,45.7,5.0,4.0,169.1,5.0,4.0,39.3,5.0,3.0,128.9,4.0,3.0,154.2,4.0,3.0,2272.0
5.0,6.0,128.7,5.0,6.0,519.6,5.0,6.0,85.0,5.0,6.0,295.3,4.0,6.0,344.4,4.0,5.0,2583.0
6.0,2.0,414.1,6.0,1.0,783.1,6.0,1.0,265.7,6.0,1.0,1175.0,6.0,1.0,623.9,5.0,1.0,1685.0
6.0,3.0,247.7,6.0,3.0,917.2,6.0,2.0,536.7,6.0,2.0,1198.0,6.0,2.0,994.7,5.0,2.0,2931.0
6.0,4.0,486.9,6.0,4.0,1229.0,6.0,4.0,362.3,6.0,3.0,966.6,6.0,3.0,461.2,5.0,3.0,919.5
6.0,5.0,387.9,6.0,5.0,1083.0,6.0,5.0,241.0,6.0,5.0,814.2,6.0,4.0,817.9,5.0,4.0,2592.0
