1,前原 大道,前原 大道.1,2,長尾　京志郎,長尾　京志郎.1,3,中村 有裕,中村 有裕.1,4,小畑 実成,小畑 実成.1,5,三好 勇人,三好 勇人.1,6,籾山 佳岳,籾山 佳岳.1
2.0,3.0,6.3,1.0,3.0,21.9,1.0,2.0,42.2,1.0,2.0,239.9,1.0,2.0,99.2,1.0,2.0,1809.0
2.0,4.0,13.5,1.0,4.0,37.3,1.0,4.0,69.0,1.0,3.0,301.0,1.0,3.0,106.9,1.0,3.0,2321.0
2.0,5.0,9.0,1.0,5.0,24.4,1.0,5.0,45.5,1.0,5.0,239.8,1.0,4.0,218.0,1.0,4.0,2917.0
2.0,6.0,54.1,1.0,6.0,116.0,1.0,6.0,146.7,1.0,6.0,458.6,1.0,6.0,287.2,1.0,5.0,1928.0
3.0,2.0,8.5,3.0,1.0,57.9,2.0,1.0,71.9,2.0,1.0,347.8,2.0,1.0,151.9,2.0,1.0,2567.0
3.0,4.0,17.3,3.0,4.0,124.1,2.0,4.0,139.4,2.0,3.0,552.2,2.0,3.0,264.0,2.0,3.0,2857.0
3.0,5.0,11.4,3.0,5.0,80.7,2.0,5.0,105.1,2.0,5.0,444.3,2.0,4.0,403.4,2.0,4.0,3571.0
3.0,6.0,63.3,3.0,6.0,241.3,2.0,6.0,261.4,2.0,6.0,839.1,2.0,6.0,549.5,2.0,5.0,2786.0
4.0,2.0,31.4,4.0,1.0,142.5,4.0,1.0,187.7,3.0,1.0,480.7,3.0,1.0,179.3,3.0,1.0,3012.0
4.0,3.0,38.3,4.0,3.0,218.3,4.0,2.0,237.2,3.0,2.0,646.4,3.0,2.0,303.4,3.0,2.0,3095.0
4.0,5.0,44.9,4.0,5.0,195.9,4.0,5.0,214.0,3.0,5.0,627.5,3.0,4.0,526.6,3.0,4.0,3739.0
4.0,6.0,115.7,4.0,6.0,579.2,4.0,6.0,529.1,3.0,6.0,1086.0,3.0,6.0,613.6,3.0,5.0,3012.0
5.0,2.0,20.3,5.0,1.0,84.5,5.0,1.0,105.6,5.0,1.0,298.1,4.0,1.0,334.6,4.0,1.0,3316.0
5.0,3.0,23.9,5.0,3.0,131.6,5.0,2.0,152.5,5.0,2.0,391.5,4.0,2.0,488.3,4.0,2.0,3869.0
5.0,4.0,52.2,5.0,4.0,200.3,5.0,4.0,222.7,5.0,3.0,537.8,4.0,3.0,596.5,4.0,3.0,3765.0
5.0,6.0,103.7,5.0,6.0,354.2,5.0,6.0,384.0,5.0,6.0,483.2,4.0,6.0,655.5,4.0,5.0,2331.0
6.0,2.0,250.2,6.0,1.0,667.3,6.0,1.0,779.3,6.0,1.0,1043.0,6.0,1.0,668.1,5.0,1.0,2255.0
6.0,3.0,316.6,6.0,3.0,1061.0,6.0,2.0,944.4,6.0,2.0,1410.0,6.0,2.0,964.0,5.0,2.0,2963.0
6.0,4.0,426.0,6.0,4.0,1246.0,6.0,4.0,1206.0,6.0,3.0,1506.0,6.0,3.0,1007.0,5.0,3.0,2842.0
6.0,5.0,313.2,6.0,5.0,865.2,6.0,5.0,855.9,6.0,5.0,959.0,6.0,4.0,1114.0,5.0,4.0,2371.0
