1,上野　真之介,上野　真之介.1,2,佐藤 航,佐藤 航.1,3,田邉 亮蔵,田邉 亮蔵.1,4,三川 昂暁,三川 昂暁.1,5,楠原 翔太,楠原 翔太.1,6,原村 拓也,原村 拓也.1
2.0,3.0,7.9,1.0,3.0,37.0,1.0,2.0,152.2,1.0,2.0,96.9,1.0,2.0,188.6,1.0,2.0,1131.0
2.0,4.0,4.0,1.0,4.0,17.4,1.0,4.0,211.6,1.0,3.0,282.1,1.0,3.0,381.9,1.0,3.0,1713.0
2.0,5.0,6.6,1.0,5.0,28.2,1.0,5.0,220.9,1.0,5.0,139.2,1.0,4.0,238.3,1.0,4.0,1483.0
2.0,6.0,25.6,1.0,6.0,81.5,1.0,6.0,374.1,1.0,6.0,278.0,1.0,6.0,416.8,1.0,5.0,1510.0
3.0,2.0,20.2,3.0,1.0,121.8,2.0,1.0,251.3,2.0,1.0,142.5,2.0,1.0,275.8,2.0,1.0,1692.0
3.0,4.0,32.3,3.0,4.0,237.9,2.0,4.0,474.3,2.0,3.0,466.4,2.0,3.0,983.0,2.0,3.0,2817.0
3.0,5.0,39.7,3.0,5.0,310.7,2.0,5.0,552.3,2.0,5.0,286.7,2.0,4.0,629.3,2.0,4.0,2047.0
3.0,6.0,116.3,3.0,6.0,495.0,2.0,6.0,834.5,2.0,6.0,467.4,2.0,6.0,792.0,2.0,5.0,2306.0
4.0,2.0,10.0,4.0,1.0,69.1,4.0,1.0,391.5,3.0,1.0,512.5,3.0,1.0,628.4,3.0,1.0,2281.0
4.0,3.0,33.5,4.0,3.0,236.3,4.0,2.0,755.0,3.0,2.0,684.7,3.0,2.0,1068.0,3.0,2.0,3229.0
4.0,5.0,20.1,4.0,5.0,174.3,4.0,5.0,939.1,3.0,5.0,985.3,3.0,4.0,1345.0,3.0,4.0,2440.0
4.0,6.0,58.8,4.0,6.0,366.6,4.0,6.0,1291.0,3.0,6.0,1128.0,3.0,6.0,1256.0,3.0,5.0,2656.0
5.0,2.0,22.1,5.0,1.0,129.6,5.0,1.0,411.5,5.0,1.0,259.6,4.0,1.0,458.7,4.0,1.0,2057.0
5.0,3.0,54.2,5.0,3.0,430.9,5.0,2.0,621.8,5.0,2.0,393.4,4.0,2.0,818.2,4.0,2.0,2269.0
5.0,4.0,42.0,5.0,4.0,288.9,5.0,4.0,846.3,5.0,3.0,922.5,4.0,3.0,1741.0,4.0,3.0,3331.0
5.0,6.0,81.4,5.0,6.0,497.9,5.0,6.0,726.2,5.0,6.0,497.3,4.0,6.0,1189.0,4.0,5.0,3132.0
6.0,2.0,142.0,6.0,1.0,481.3,6.0,1.0,1182.0,6.0,1.0,731.3,6.0,1.0,887.4,5.0,1.0,1952.0
6.0,3.0,275.2,6.0,3.0,1199.0,6.0,2.0,1833.0,6.0,2.0,1107.0,6.0,2.0,1234.0,5.0,2.0,2528.0
6.0,4.0,233.7,6.0,4.0,999.4,6.0,4.0,2027.0,6.0,3.0,1786.0,6.0,3.0,1560.0,5.0,3.0,2293.0
6.0,5.0,234.5,6.0,5.0,1046.0,6.0,5.0,1385.0,6.0,5.0,1104.0,6.0,4.0,1499.0,5.0,4.0,2575.0
