1,天野 友和,天野 友和.1,2,竹田 辰也,竹田 辰也.1,3,松田 憲幸,松田 憲幸.1,4,原田 雄次,原田 雄次.1,5,宮脇 遼太,宮脇 遼太.1,6,倉尾 大介,倉尾 大介.1
2.0,3.0,8.3,1.0,3.0,13.4,1.0,2.0,121.5,1.0,2.0,100.9,1.0,2.0,142.8,1.0,2.0,232.2
2.0,4.0,7.1,1.0,4.0,10.3,1.0,4.0,207.8,1.0,3.0,230.7,1.0,3.0,314.5,1.0,3.0,839.8
2.0,5.0,18.0,1.0,5.0,22.4,1.0,5.0,291.4,1.0,5.0,249.6,1.0,4.0,291.2,1.0,4.0,642.0
2.0,6.0,14.6,1.0,6.0,16.9,1.0,6.0,250.2,1.0,6.0,181.4,1.0,6.0,217.7,1.0,5.0,780.5
3.0,2.0,22.7,3.0,1.0,45.4,2.0,1.0,144.2,2.0,1.0,125.3,2.0,1.0,160.9,2.0,1.0,222.6
3.0,4.0,45.4,3.0,4.0,66.1,2.0,4.0,212.6,2.0,3.0,256.6,2.0,3.0,363.5,2.0,3.0,723.9
3.0,5.0,76.7,3.0,5.0,89.8,2.0,5.0,294.2,2.0,5.0,221.3,2.0,4.0,349.3,2.0,4.0,424.1
3.0,6.0,69.9,3.0,6.0,79.4,2.0,6.0,275.7,2.0,6.0,163.5,2.0,6.0,242.3,2.0,5.0,619.3
4.0,2.0,24.4,4.0,1.0,35.0,4.0,1.0,404.1,3.0,1.0,512.0,3.0,1.0,697.5,3.0,1.0,1505.0
4.0,3.0,59.4,4.0,3.0,78.8,4.0,2.0,349.6,3.0,2.0,454.4,3.0,2.0,656.1,3.0,2.0,1166.0
4.0,5.0,86.2,4.0,5.0,76.4,4.0,5.0,585.6,3.0,5.0,903.0,3.0,4.0,1182.0,3.0,4.0,1742.0
4.0,6.0,67.5,4.0,6.0,50.9,4.0,6.0,669.7,3.0,6.0,813.7,3.0,6.0,1011.0,3.0,5.0,1917.0
5.0,2.0,55.7,5.0,1.0,81.8,5.0,1.0,548.9,5.0,1.0,329.8,4.0,1.0,507.7,4.0,1.0,954.3
5.0,3.0,122.2,5.0,3.0,149.3,5.0,2.0,553.9,5.0,2.0,288.2,4.0,2.0,503.4,4.0,2.0,543.9
5.0,4.0,134.5,5.0,4.0,140.2,5.0,4.0,843.1,5.0,3.0,725.2,4.0,3.0,926.9,4.0,3.0,1874.0
5.0,6.0,122.7,5.0,6.0,107.3,5.0,6.0,801.3,5.0,6.0,357.9,4.0,6.0,599.8,4.0,5.0,1494.0
6.0,2.0,61.2,6.0,1.0,60.0,6.0,1.0,689.5,6.0,1.0,355.5,6.0,1.0,398.7,5.0,1.0,1004.0
6.0,3.0,162.1,6.0,3.0,161.8,6.0,2.0,744.5,6.0,2.0,300.5,6.0,2.0,383.1,5.0,2.0,784.8
6.0,4.0,135.3,6.0,4.0,100.8,6.0,4.0,1249.0,6.0,3.0,874.8,6.0,3.0,867.5,5.0,3.0,1666.0
6.0,5.0,201.8,6.0,5.0,163.6,6.0,5.0,1144.0,6.0,5.0,559.1,6.0,4.0,783.4,5.0,4.0,1452.0
