1,岩崎 芳美,岩崎 芳美.1,2,平高 奈菜,平高 奈菜.1,3,原 加央理,原 加央理.1,4,鈴木 成美,鈴木 成美.1,5,刑部　亜里紗,刑部　亜里紗.1,6,野田部　宏子,野田部　宏子.1
2.0,3.0,5.1,1.0,3.0,18.7,1.0,2.0,51.0,1.0,2.0,215.7,1.0,2.0,98.8,1.0,2.0,403.2
2.0,4.0,12.4,1.0,4.0,37.1,1.0,4.0,89.3,1.0,3.0,333.9,1.0,3.0,146.3,1.0,3.0,714.1
2.0,5.0,8.0,1.0,5.0,25.2,1.0,5.0,66.9,1.0,5.0,257.2,1.0,4.0,275.5,1.0,4.0,923.3
2.0,6.0,27.7,1.0,6.0,62.5,1.0,6.0,178.9,1.0,6.0,407.4,1.0,6.0,225.1,1.0,5.0,704.0
3.0,2.0,10.1,3.0,1.0,55.6,2.0,1.0,79.3,2.0,1.0,329.7,2.0,1.0,155.3,2.0,1.0,560.8
3.0,4.0,22.7,3.0,4.0,155.8,2.0,4.0,184.6,2.0,3.0,475.0,2.0,3.0,301.6,2.0,3.0,1127.0
3.0,5.0,16.2,3.0,5.0,95.9,2.0,5.0,131.4,2.0,5.0,364.6,2.0,4.0,429.6,2.0,4.0,1256.0
3.0,6.0,55.7,3.0,6.0,199.7,2.0,6.0,291.3,2.0,6.0,692.5,2.0,6.0,365.4,2.0,5.0,995.4
4.0,2.0,37.3,4.0,1.0,171.8,4.0,1.0,178.6,3.0,1.0,462.8,3.0,1.0,270.2,3.0,1.0,1304.0
4.0,3.0,49.8,4.0,3.0,285.1,4.0,2.0,230.9,3.0,2.0,512.5,3.0,2.0,376.9,3.0,2.0,1472.0
4.0,5.0,59.9,4.0,5.0,269.1,4.0,5.0,227.7,3.0,5.0,569.8,3.0,4.0,822.9,3.0,4.0,1962.0
4.0,6.0,114.2,4.0,6.0,420.1,4.0,6.0,371.5,3.0,6.0,893.2,3.0,6.0,710.0,3.0,5.0,1757.0
5.0,2.0,24.2,5.0,1.0,92.9,5.0,1.0,130.4,5.0,1.0,307.0,4.0,1.0,435.3,4.0,1.0,1549.0
5.0,3.0,32.4,5.0,3.0,153.0,5.0,2.0,160.6,5.0,2.0,329.2,4.0,2.0,481.3,4.0,2.0,1610.0
5.0,4.0,67.3,5.0,4.0,286.8,5.0,4.0,256.4,5.0,3.0,569.5,4.0,3.0,882.5,4.0,3.0,2130.0
5.0,6.0,68.8,5.0,6.0,222.5,5.0,6.0,283.5,5.0,6.0,422.3,4.0,6.0,599.1,4.0,5.0,1622.0
6.0,2.0,110.1,6.0,1.0,311.1,6.0,1.0,497.9,6.0,1.0,718.3,6.0,1.0,434.6,5.0,1.0,917.9
6.0,3.0,167.4,6.0,3.0,544.9,6.0,2.0,616.6,6.0,2.0,839.9,6.0,2.0,479.2,5.0,2.0,987.3
6.0,4.0,221.8,6.0,4.0,693.8,6.0,4.0,761.2,6.0,3.0,1316.0,6.0,3.0,827.8,5.0,3.0,1496.0
6.0,5.0,153.7,6.0,5.0,419.9,6.0,5.0,523.8,6.0,5.0,683.4,6.0,4.0,769.2,5.0,4.0,1331.0
