1,尾嶋 一広,尾嶋 一広.1,2,福田 理,福田 理.1,3,前田 聖文,前田 聖文.1,4,稗田 聖也,稗田 聖也.1,5,小林 孝弘,小林 孝弘.1,6,久保田　凪紗,久保田　凪紗.1
2.0,3.0,12.8,1.0,3.0,96.0,1.0,2.0,31.7,1.0,2.0,130.0,1.0,2.0,887.3,1.0,2.0,4065.0
2.0,4.0,27.8,1.0,4.0,193.5,1.0,4.0,11.8,1.0,3.0,52.2,1.0,3.0,377.5,1.0,3.0,4724.0
2.0,5.0,57.9,1.0,5.0,371.9,1.0,5.0,26.0,1.0,5.0,98.1,1.0,4.0,441.4,1.0,4.0,4724.0
2.0,6.0,783.8,1.0,6.0,1344.0,1.0,6.0,305.6,1.0,6.0,622.0,1.0,6.0,2533.0,1.0,5.0,7283.0
3.0,2.0,7.3,3.0,1.0,177.2,2.0,1.0,95.4,2.0,1.0,246.9,2.0,1.0,1365.0,2.0,1.0,5826.0
3.0,4.0,3.4,3.0,4.0,198.8,2.0,4.0,113.9,2.0,3.0,242.7,2.0,3.0,1314.0,2.0,3.0,7283.0
3.0,5.0,11.1,3.0,5.0,324.9,2.0,5.0,176.2,2.0,5.0,314.9,2.0,4.0,1222.0,2.0,4.0,7283.0
3.0,6.0,282.8,3.0,6.0,1820.0,2.0,6.0,1285.0,2.0,6.0,1603.0,2.0,6.0,3567.0,2.0,5.0,5638.0
4.0,2.0,25.2,4.0,1.0,317.8,4.0,1.0,23.2,3.0,1.0,57.5,3.0,1.0,429.4,3.0,1.0,5297.0
4.0,3.0,10.1,4.0,3.0,291.3,4.0,2.0,56.3,3.0,2.0,129.8,3.0,2.0,1004.0,3.0,2.0,5462.0
4.0,5.0,33.9,4.0,5.0,458.8,4.0,5.0,44.4,3.0,5.0,97.1,3.0,4.0,549.7,3.0,4.0,6027.0
4.0,6.0,657.1,4.0,6.0,2032.0,4.0,6.0,423.2,3.0,6.0,664.6,3.0,6.0,2394.0,3.0,5.0,5462.0
5.0,2.0,103.8,5.0,1.0,865.3,5.0,1.0,97.9,5.0,1.0,158.1,4.0,1.0,493.8,4.0,1.0,5826.0
5.0,3.0,60.5,5.0,3.0,828.4,5.0,2.0,224.6,5.0,2.0,261.6,4.0,2.0,901.0,4.0,2.0,6723.0
5.0,4.0,94.5,5.0,4.0,828.4,5.0,4.0,120.3,5.0,3.0,161.2,4.0,3.0,562.0,4.0,3.0,5462.0
5.0,6.0,1142.0,5.0,6.0,2962.0,5.0,6.0,1053.0,5.0,6.0,1127.0,4.0,6.0,3013.0,4.0,5.0,5826.0
6.0,2.0,1533.0,6.0,1.0,2865.0,6.0,1.0,882.8,6.0,1.0,2032.0,6.0,1.0,6243.0,5.0,1.0,4855.0
6.0,3.0,891.8,6.0,3.0,4162.0,6.0,2.0,2427.0,6.0,2.0,2865.0,6.0,2.0,5462.0,5.0,2.0,5297.0
6.0,4.0,1421.0,6.0,4.0,3237.0,6.0,4.0,2032.0,6.0,3.0,2427.0,6.0,3.0,4065.0,5.0,3.0,6027.0
6.0,5.0,2106.0,6.0,5.0,4263.0,6.0,5.0,2462.0,6.0,5.0,2185.0,6.0,4.0,4600.0,5.0,4.0,4855.0
