1,楠原 正剛,楠原 正剛.1,2,加藤 翔,加藤 翔.1,3,杢野 誓良,杢野 誓良.1,4,平見 真彦,平見 真彦.1,5,久富 政弘,久富 政弘.1,6,山本 修一,山本 修一.1
2.0,3.0,30.8,1.0,3.0,115.9,1.0,2.0,96.9,1.0,2.0,135.4,1.0,2.0,667.9,1.0,2.0,226.9
2.0,4.0,26.7,1.0,4.0,106.5,1.0,4.0,30.5,1.0,3.0,64.6,1.0,3.0,472.1,1.0,3.0,150.0
2.0,5.0,74.7,1.0,5.0,284.5,1.0,5.0,89.8,1.0,5.0,131.9,1.0,4.0,478.3,1.0,4.0,112.1
2.0,6.0,30.6,1.0,6.0,115.8,1.0,6.0,30.2,1.0,6.0,41.0,1.0,6.0,342.9,1.0,5.0,327.6
3.0,2.0,22.0,3.0,1.0,263.0,2.0,1.0,253.2,2.0,1.0,303.2,2.0,1.0,1131.0,2.0,1.0,529.5
3.0,4.0,8.7,3.0,4.0,323.0,2.0,4.0,256.2,2.0,3.0,493.8,2.0,3.0,1226.0,2.0,3.0,840.9
3.0,5.0,36.1,3.0,5.0,551.6,2.0,5.0,418.7,2.0,5.0,522.5,2.0,4.0,1290.0,2.0,4.0,619.8
3.0,6.0,10.4,3.0,6.0,295.8,2.0,6.0,208.0,2.0,6.0,255.7,2.0,6.0,1050.0,2.0,5.0,1193.0
4.0,2.0,26.9,4.0,1.0,286.8,4.0,1.0,46.7,3.0,1.0,80.1,3.0,1.0,620.8,3.0,1.0,256.8
4.0,3.0,13.4,4.0,3.0,396.5,4.0,2.0,164.9,3.0,2.0,262.6,3.0,2.0,1257.0,3.0,2.0,692.4
4.0,5.0,43.8,4.0,5.0,730.8,4.0,5.0,94.6,3.0,5.0,145.0,3.0,4.0,671.3,3.0,4.0,221.5
4.0,6.0,11.0,4.0,6.0,259.2,4.0,6.0,34.7,3.0,6.0,60.1,3.0,6.0,552.4,3.0,5.0,618.9
5.0,2.0,165.4,5.0,1.0,938.6,5.0,1.0,242.4,5.0,1.0,209.0,4.0,1.0,687.6,4.0,1.0,146.7
5.0,3.0,130.8,5.0,3.0,975.6,5.0,2.0,504.5,5.0,2.0,461.1,4.0,2.0,1261.0,4.0,2.0,426.8
5.0,4.0,132.1,5.0,4.0,1200.0,5.0,4.0,220.0,5.0,3.0,284.3,4.0,3.0,761.7,4.0,3.0,196.0
5.0,6.0,109.1,5.0,6.0,820.0,5.0,6.0,175.1,5.0,6.0,137.0,4.0,6.0,351.4,4.0,5.0,281.9
6.0,2.0,46.1,6.0,1.0,333.7,6.0,1.0,68.4,6.0,1.0,57.3,6.0,1.0,456.3,5.0,1.0,630.7
6.0,3.0,24.1,6.0,3.0,530.2,6.0,2.0,222.7,6.0,2.0,164.3,6.0,2.0,1082.0,5.0,2.0,1245.0
6.0,4.0,21.2,6.0,4.0,392.1,6.0,4.0,62.6,6.0,3.0,78.0,6.0,3.0,617.9,5.0,3.0,801.8
6.0,5.0,87.4,6.0,5.0,757.3,6.0,5.0,151.8,6.0,5.0,112.4,6.0,4.0,371.5,5.0,4.0,426.8
