1,松尾 昂明,松尾 昂明.1,2,山口 亮,山口 亮.1,3,峰重 力也,峰重 力也.1,4,福田 宗平,福田 宗平.1,5,近藤 友宝,近藤 友宝.1,6,岡崎 恭裕,岡崎 恭裕.1
2.0,3.0,44.1,1.0,3.0,252.3,1.0,2.0,163.0,1.0,2.0,97.9,1.0,2.0,1183.0,1.0,2.0,88.4
2.0,4.0,21.6,1.0,4.0,172.0,1.0,4.0,67.5,1.0,3.0,76.0,1.0,3.0,912.1,1.0,3.0,74.8
2.0,5.0,94.5,1.0,5.0,524.3,1.0,5.0,235.3,1.0,5.0,133.7,1.0,4.0,628.4,1.0,4.0,41.5
2.0,6.0,21.7,1.0,6.0,185.1,1.0,6.0,54.7,1.0,6.0,32.3,1.0,6.0,425.7,1.0,5.0,170.5
3.0,2.0,33.1,3.0,1.0,427.8,2.0,1.0,274.4,2.0,1.0,234.9,2.0,1.0,1889.0,2.0,1.0,248.0
3.0,4.0,14.6,3.0,4.0,470.7,2.0,4.0,327.5,2.0,3.0,446.7,2.0,3.0,2626.0,2.0,3.0,423.0
3.0,5.0,65.8,3.0,5.0,921.7,2.0,5.0,702.3,2.0,5.0,601.1,2.0,4.0,2575.0,2.0,4.0,265.0
3.0,6.0,13.1,3.0,6.0,360.8,2.0,6.0,258.5,2.0,6.0,191.8,2.0,6.0,1917.0,2.0,5.0,884.4
4.0,2.0,18.6,4.0,1.0,298.5,4.0,1.0,99.7,3.0,1.0,129.7,3.0,1.0,1592.0,3.0,1.0,145.7
4.0,3.0,16.5,4.0,3.0,491.9,4.0,2.0,276.2,3.0,2.0,322.3,3.0,2.0,3090.0,3.0,2.0,374.7
4.0,5.0,37.0,4.0,5.0,921.7,4.0,5.0,258.8,3.0,5.0,293.1,3.0,4.0,2036.0,3.0,4.0,153.8
4.0,6.0,8.1,4.0,6.0,267.5,4.0,6.0,67.0,3.0,6.0,89.7,3.0,6.0,1652.0,3.0,5.0,524.3
5.0,2.0,183.7,5.0,1.0,1545.0,5.0,1.0,603.8,5.0,1.0,244.5,4.0,1.0,844.6,4.0,1.0,62.4
5.0,3.0,184.0,5.0,3.0,1375.0,5.0,2.0,902.7,5.0,2.0,463.3,4.0,2.0,1889.0,4.0,2.0,192.4
5.0,4.0,91.4,5.0,4.0,1554.0,5.0,4.0,583.7,5.0,3.0,573.5,4.0,3.0,1739.0,4.0,3.0,129.5
5.0,6.0,67.9,5.0,6.0,1022.0,5.0,6.0,511.0,5.0,6.0,150.1,4.0,6.0,478.4,4.0,5.0,210.8
6.0,2.0,21.8,6.0,1.0,347.4,6.0,1.0,82.1,6.0,1.0,37.0,6.0,1.0,563.7,5.0,1.0,406.6
6.0,3.0,17.0,6.0,3.0,524.3,6.0,2.0,229.4,6.0,2.0,98.7,6.0,2.0,1739.0,5.0,2.0,1157.0
6.0,4.0,10.6,6.0,4.0,358.3,6.0,4.0,81.2,6.0,3.0,77.9,6.0,3.0,1281.0,5.0,3.0,928.2
6.0,5.0,39.7,6.0,5.0,1022.0,6.0,5.0,306.5,6.0,5.0,88.3,6.0,4.0,536.1,5.0,4.0,401.0
