1,平田 忠則,平田 忠則.1,2,品田 直樹,品田 直樹.1,3,中島 昂章,中島 昂章.1,4,宇佐見 淳,宇佐見 淳.1,5,鈴木 成美,鈴木 成美.1,6,吉田 俊彦,吉田 俊彦.1
2.0,3.0,16.9,1.0,3.0,118.2,1.0,2.0,48.7,1.0,2.0,114.6,1.0,2.0,924.4,1.0,2.0,351.8
2.0,4.0,22.4,1.0,4.0,142.1,1.0,4.0,19.2,1.0,3.0,50.2,1.0,3.0,681.8,1.0,3.0,159.0
2.0,5.0,100.7,1.0,5.0,402.9,1.0,5.0,97.8,1.0,5.0,182.4,1.0,4.0,927.9,1.0,4.0,216.1
2.0,6.0,42.0,1.0,6.0,207.6,1.0,6.0,26.7,1.0,6.0,59.8,1.0,6.0,863.0,1.0,5.0,716.4
3.0,2.0,11.8,3.0,1.0,220.4,2.0,1.0,142.9,2.0,1.0,296.3,2.0,1.0,2194.0,2.0,1.0,752.5
3.0,4.0,5.2,3.0,4.0,259.2,2.0,4.0,152.3,2.0,3.0,334.0,2.0,3.0,2328.0,2.0,3.0,966.0
3.0,5.0,49.1,3.0,5.0,867.5,2.0,5.0,408.3,2.0,5.0,760.6,2.0,4.0,2505.0,2.0,4.0,1084.0
3.0,6.0,10.0,3.0,6.0,410.3,2.0,6.0,200.6,2.0,6.0,325.8,2.0,6.0,2082.0,2.0,5.0,2285.0
4.0,2.0,20.4,4.0,1.0,330.2,4.0,1.0,39.4,3.0,1.0,84.9,3.0,1.0,1015.0,3.0,1.0,270.9
4.0,3.0,8.9,4.0,3.0,318.6,4.0,2.0,92.0,3.0,2.0,205.8,3.0,2.0,1958.0,3.0,2.0,760.6
4.0,5.0,77.9,4.0,5.0,938.5,4.0,5.0,163.8,3.0,5.0,336.5,3.0,4.0,1821.0,3.0,4.0,329.7
4.0,6.0,15.5,4.0,6.0,480.2,4.0,6.0,46.7,3.0,6.0,96.1,3.0,6.0,1828.0,3.0,5.0,1316.0
5.0,2.0,236.9,5.0,1.0,1426.0,5.0,1.0,334.0,5.0,1.0,387.1,4.0,1.0,1451.0,4.0,1.0,330.2
5.0,3.0,203.9,5.0,3.0,1634.0,5.0,2.0,577.3,5.0,2.0,749.1,4.0,2.0,2456.0,4.0,2.0,855.5
5.0,4.0,238.3,5.0,4.0,1974.0,5.0,4.0,430.3,5.0,3.0,642.7,4.0,3.0,1998.0,4.0,3.0,332.6
5.0,6.0,211.5,5.0,6.0,1862.0,5.0,6.0,365.1,5.0,6.0,342.1,4.0,6.0,1505.0,4.0,5.0,1080.0
6.0,2.0,66.3,6.0,1.0,620.9,6.0,1.0,81.9,6.0,1.0,117.1,6.0,1.0,1756.0,5.0,1.0,1763.0
6.0,3.0,33.5,6.0,3.0,831.0,6.0,2.0,219.8,6.0,2.0,271.8,6.0,2.0,2804.0,5.0,2.0,2557.0
6.0,4.0,39.4,6.0,4.0,889.4,6.0,4.0,95.2,6.0,3.0,137.8,6.0,3.0,2091.0,5.0,3.0,1958.0
6.0,5.0,148.8,6.0,5.0,1679.0,6.0,5.0,312.0,6.0,5.0,298.2,6.0,4.0,1998.0,5.0,4.0,1763.0
