1,明石 正之,明石 正之.1,2,浜野 孝志,浜野 孝志.1,3,広次 修,広次 修.1,4,溝口　海義也,溝口　海義也.1,5,為本 智也,為本 智也.1,6,花本 夏樹,花本 夏樹.1
2.0,3.0,15.6,1.0,3.0,52.3,1.0,2.0,123.5,1.0,2.0,34.6,1.0,2.0,104.5,1.0,2.0,1300.0
2.0,4.0,9.3,1.0,4.0,37.9,1.0,4.0,76.3,1.0,3.0,61.0,1.0,3.0,124.6,1.0,3.0,1743.0
2.0,5.0,22.0,1.0,5.0,62.2,1.0,5.0,107.7,1.0,5.0,29.7,1.0,4.0,75.6,1.0,4.0,991.2
2.0,6.0,78.0,1.0,6.0,185.9,1.0,6.0,294.3,1.0,6.0,85.7,1.0,6.0,196.0,1.0,5.0,1634.0
3.0,2.0,20.7,3.0,1.0,167.6,2.0,1.0,245.8,2.0,1.0,79.2,2.0,1.0,187.0,2.0,1.0,2177.0
3.0,4.0,13.0,3.0,4.0,212.7,2.0,4.0,274.1,2.0,3.0,190.4,2.0,3.0,347.3,2.0,3.0,2900.0
3.0,5.0,23.7,3.0,5.0,301.7,2.0,5.0,403.9,2.0,5.0,98.6,2.0,4.0,207.3,2.0,4.0,1542.0
3.0,6.0,80.7,3.0,6.0,759.2,2.0,6.0,791.7,2.0,6.0,223.8,2.0,6.0,507.5,2.0,5.0,2622.0
4.0,2.0,9.5,4.0,1.0,89.5,4.0,1.0,148.9,3.0,1.0,150.2,3.0,1.0,256.4,3.0,1.0,2411.0
4.0,3.0,12.8,4.0,3.0,187.7,4.0,2.0,259.9,3.0,2.0,253.4,3.0,2.0,406.6,3.0,2.0,2900.0
4.0,5.0,12.9,4.0,5.0,140.5,4.0,5.0,181.8,3.0,5.0,178.0,3.0,4.0,258.9,3.0,4.0,2375.0
4.0,6.0,47.0,4.0,6.0,331.9,4.0,6.0,373.0,3.0,6.0,364.6,3.0,6.0,610.4,3.0,5.0,2667.0
5.0,2.0,37.1,5.0,1.0,177.2,5.0,1.0,256.6,5.0,1.0,43.7,4.0,1.0,98.8,4.0,1.0,1136.0
5.0,3.0,40.1,5.0,3.0,313.7,5.0,2.0,431.9,5.0,2.0,70.9,4.0,2.0,158.7,4.0,2.0,1362.0
5.0,4.0,31.1,5.0,4.0,210.2,5.0,4.0,264.7,5.0,3.0,128.3,4.0,3.0,197.6,4.0,3.0,2208.0
5.0,6.0,101.7,5.0,6.0,552.6,5.0,6.0,650.8,5.0,6.0,68.7,4.0,6.0,167.4,4.0,5.0,1008.0
6.0,2.0,244.0,6.0,1.0,850.5,6.0,1.0,1140.0,6.0,1.0,225.5,6.0,1.0,528.9,5.0,1.0,1985.0
6.0,3.0,225.4,6.0,3.0,1327.0,6.0,2.0,1520.0,6.0,2.0,325.1,6.0,2.0,700.1,5.0,2.0,2384.0
6.0,4.0,170.8,6.0,4.0,785.7,6.0,4.0,1056.0,6.0,3.0,499.9,6.0,3.0,938.0,5.0,3.0,2357.0
6.0,5.0,254.3,6.0,5.0,1121.0,6.0,5.0,1241.0,6.0,5.0,203.8,6.0,4.0,455.7,5.0,4.0,1063.0
