1,宮地 元輝,宮地 元輝.1,2,君島 秀三,君島 秀三.1,3,佐藤 翼,佐藤 翼.1,4,羽野 直也,羽野 直也.1,5,渡邉 和将,渡邉 和将.1,6,太田 和美,太田 和美.1
2.0,3.0,9.1,1.0,3.0,51.4,1.0,2.0,39.5,1.0,2.0,83.9,1.0,2.0,521.2,1.0,2.0,1787.0
2.0,4.0,11.0,1.0,4.0,59.3,1.0,4.0,23.7,1.0,3.0,47.4,1.0,3.0,385.5,1.0,3.0,1722.0
2.0,5.0,37.9,1.0,5.0,174.6,1.0,5.0,60.4,1.0,5.0,110.3,1.0,4.0,470.4,1.0,4.0,1536.0
2.0,6.0,63.5,1.0,6.0,240.1,1.0,6.0,119.6,1.0,6.0,144.6,1.0,6.0,698.1,1.0,5.0,2688.0
3.0,2.0,8.1,3.0,1.0,113.7,2.0,1.0,108.7,2.0,1.0,197.3,2.0,1.0,923.9,2.0,1.0,2705.0
3.0,4.0,5.5,3.0,4.0,188.9,2.0,4.0,134.2,2.0,3.0,277.5,2.0,3.0,1311.0,2.0,3.0,3515.0
3.0,5.0,18.2,3.0,5.0,480.5,2.0,5.0,303.4,2.0,5.0,523.3,2.0,4.0,1609.0,2.0,4.0,4294.0
3.0,6.0,34.6,3.0,6.0,601.3,2.0,6.0,402.9,2.0,6.0,549.2,2.0,6.0,1677.0,2.0,5.0,4619.0
4.0,2.0,13.6,4.0,1.0,179.3,4.0,1.0,46.9,3.0,1.0,71.4,3.0,1.0,614.3,3.0,1.0,2024.0
4.0,3.0,9.0,4.0,3.0,258.8,4.0,2.0,104.1,3.0,2.0,184.4,3.0,2.0,1477.0,3.0,2.0,3367.0
4.0,5.0,28.5,4.0,5.0,746.1,4.0,5.0,126.3,3.0,5.0,194.5,3.0,4.0,1017.0,3.0,4.0,2260.0
4.0,6.0,41.7,4.0,6.0,776.0,4.0,6.0,178.0,3.0,6.0,259.5,3.0,6.0,1799.0,3.0,5.0,4308.0
5.0,2.0,79.4,5.0,1.0,671.3,5.0,1.0,233.3,5.0,1.0,225.6,4.0,1.0,630.3,4.0,1.0,2183.0
5.0,3.0,62.0,5.0,3.0,1021.0,5.0,2.0,492.3,5.0,2.0,436.1,4.0,2.0,1098.0,4.0,2.0,3719.0
5.0,4.0,79.5,5.0,4.0,1469.0,5.0,4.0,337.1,5.0,3.0,330.1,4.0,3.0,833.1,4.0,3.0,2882.0
5.0,6.0,167.1,5.0,6.0,1713.0,5.0,6.0,624.8,5.0,6.0,382.4,4.0,6.0,994.2,4.0,5.0,3144.0
6.0,2.0,226.8,6.0,1.0,1084.0,6.0,1.0,563.9,6.0,1.0,420.1,6.0,1.0,1621.0,5.0,1.0,3937.0
6.0,3.0,192.3,6.0,3.0,1591.0,6.0,2.0,859.9,6.0,2.0,840.7,6.0,2.0,2590.0,5.0,2.0,4586.0
6.0,4.0,193.1,6.0,4.0,1938.0,6.0,4.0,710.1,6.0,3.0,634.4,6.0,3.0,2289.0,5.0,3.0,4537.0
6.0,5.0,296.9,6.0,5.0,2489.0,6.0,5.0,1006.0,6.0,5.0,697.3,6.0,4.0,1881.0,5.0,4.0,3272.0
