1,永嶋 裕一,永嶋 裕一.1,2,川崎 公靖,川崎 公靖.1,3,石倉 洋行,石倉 洋行.1,4,木村 亮太,木村 亮太.1,5,香月 大輝,香月 大輝.1,6,竹田 吉行,竹田 吉行.1
2.0,3.0,11.8,1.0,3.0,58.2,1.0,2.0,26.7,1.0,2.0,142.0,1.0,2.0,816.7,1.0,2.0,189.0
2.0,4.0,20.6,1.0,4.0,84.7,1.0,4.0,18.3,1.0,3.0,123.1,1.0,3.0,575.2,1.0,3.0,117.5
2.0,5.0,109.1,1.0,5.0,382.1,1.0,5.0,109.2,1.0,5.0,367.6,1.0,4.0,1138.0,1.0,4.0,167.7
2.0,6.0,24.7,1.0,6.0,83.8,1.0,6.0,19.4,1.0,6.0,91.7,1.0,6.0,732.8,1.0,5.0,417.9
3.0,2.0,9.6,3.0,1.0,100.9,2.0,1.0,63.1,2.0,1.0,214.8,2.0,1.0,1163.0,2.0,1.0,282.3
3.0,4.0,9.3,3.0,4.0,185.1,2.0,4.0,110.1,2.0,3.0,324.2,2.0,3.0,1573.0,2.0,3.0,344.0
3.0,5.0,65.8,3.0,5.0,732.8,2.0,5.0,336.4,2.0,5.0,732.8,2.0,4.0,1596.0,2.0,4.0,370.2
3.0,6.0,9.7,3.0,6.0,174.5,2.0,6.0,94.6,2.0,6.0,176.5,2.0,6.0,990.7,2.0,5.0,891.6
4.0,2.0,28.7,4.0,1.0,178.9,4.0,1.0,49.0,3.0,1.0,142.8,3.0,1.0,636.8,3.0,1.0,128.4
4.0,3.0,20.3,4.0,3.0,285.3,4.0,2.0,95.7,3.0,2.0,280.0,3.0,2.0,1445.0,3.0,2.0,240.4
4.0,5.0,109.6,4.0,5.0,753.5,4.0,5.0,218.3,3.0,5.0,648.4,3.0,4.0,1426.0,3.0,4.0,182.5
4.0,6.0,24.5,4.0,6.0,247.6,4.0,6.0,42.1,3.0,6.0,124.4,3.0,6.0,1059.0,3.0,5.0,516.8
5.0,2.0,282.3,5.0,1.0,727.8,5.0,1.0,372.8,5.0,1.0,618.4,4.0,1.0,1337.0,4.0,1.0,231.0
5.0,3.0,230.1,5.0,3.0,1337.0,5.0,2.0,737.9,5.0,2.0,938.5,4.0,2.0,1698.0,4.0,2.0,328.2
5.0,4.0,310.1,5.0,4.0,1289.0,5.0,4.0,591.1,5.0,3.0,972.7,4.0,3.0,1528.0,4.0,3.0,264.8
5.0,6.0,258.4,5.0,6.0,963.9,5.0,6.0,384.8,5.0,6.0,611.4,4.0,6.0,1114.0,4.0,5.0,681.5
6.0,2.0,42.1,6.0,1.0,212.7,6.0,1.0,49.1,6.0,1.0,104.3,6.0,1.0,869.8,5.0,1.0,842.4
6.0,3.0,31.0,6.0,3.0,307.4,6.0,2.0,88.3,6.0,2.0,174.8,6.0,2.0,1273.0,5.0,2.0,1114.0
6.0,4.0,41.0,6.0,4.0,386.2,6.0,4.0,59.9,6.0,3.0,166.9,6.0,3.0,1080.0,5.0,3.0,823.0
6.0,5.0,136.3,6.0,5.0,1019.0,6.0,5.0,242.6,6.0,5.0,387.6,6.0,4.0,1273.0,5.0,4.0,999.9
