1,長谷川　晴哉,長谷川　晴哉.1,2,守屋 大地,守屋 大地.1,3,鈴木 雅希,鈴木 雅希.1,4,占部 一真,占部 一真.1,5,尾崎 雄二,尾崎 雄二.1,6,鳥居塚　孝博,鳥居塚　孝博.1
2.0,3.0,9.2,1.0,3.0,45.5,1.0,2.0,54.4,1.0,2.0,122.2,1.0,2.0,269.9,1.0,2.0,445.2
2.0,4.0,16.6,1.0,4.0,65.9,1.0,4.0,46.3,1.0,3.0,118.4,1.0,3.0,215.8,1.0,3.0,328.0
2.0,5.0,19.3,1.0,5.0,71.1,1.0,5.0,53.4,1.0,5.0,98.6,1.0,4.0,292.6,1.0,4.0,548.1
2.0,6.0,24.4,1.0,6.0,77.9,1.0,6.0,48.4,1.0,6.0,82.1,1.0,6.0,235.3,1.0,5.0,462.9
3.0,2.0,10.8,3.0,1.0,92.3,2.0,1.0,87.7,2.0,1.0,207.7,2.0,1.0,416.1,2.0,1.0,736.3
3.0,4.0,11.7,3.0,4.0,173.9,2.0,4.0,135.9,2.0,3.0,293.2,2.0,3.0,456.6,2.0,3.0,842.8
3.0,5.0,16.7,3.0,5.0,149.2,2.0,5.0,126.7,2.0,5.0,274.0,2.0,4.0,642.7,2.0,4.0,1160.0
3.0,6.0,16.1,3.0,6.0,168.4,2.0,6.0,122.3,2.0,6.0,226.1,2.0,6.0,497.2,2.0,5.0,1085.0
4.0,2.0,30.4,4.0,1.0,195.2,4.0,1.0,89.0,3.0,1.0,171.2,3.0,1.0,305.2,3.0,1.0,372.2
4.0,3.0,24.5,4.0,3.0,278.6,4.0,2.0,160.9,3.0,2.0,287.8,3.0,2.0,596.9,3.0,2.0,724.4
4.0,5.0,41.3,4.0,5.0,368.1,4.0,5.0,113.3,3.0,5.0,221.5,3.0,4.0,623.3,3.0,4.0,797.7
4.0,6.0,38.5,4.0,6.0,297.8,4.0,6.0,87.6,3.0,6.0,165.4,3.0,6.0,426.1,3.0,5.0,689.0
5.0,2.0,54.3,5.0,1.0,234.0,5.0,1.0,139.2,5.0,1.0,127.6,4.0,1.0,323.7,4.0,1.0,685.4
5.0,3.0,47.5,5.0,3.0,315.3,5.0,2.0,212.7,5.0,2.0,210.7,4.0,2.0,526.5,4.0,2.0,1080.0
5.0,4.0,79.1,5.0,4.0,378.5,5.0,4.0,180.8,5.0,3.0,252.6,4.0,3.0,565.4,4.0,3.0,896.4
5.0,6.0,61.3,5.0,6.0,325.2,5.0,6.0,127.9,5.0,6.0,119.9,4.0,6.0,282.4,4.0,5.0,705.3
6.0,2.0,75.3,6.0,1.0,328.0,6.0,1.0,151.0,6.0,1.0,149.4,6.0,1.0,365.6,5.0,1.0,519.4
6.0,3.0,61.8,6.0,3.0,465.3,6.0,2.0,255.5,6.0,2.0,279.7,6.0,2.0,607.7,5.0,2.0,957.2
6.0,4.0,95.6,6.0,4.0,554.9,6.0,4.0,183.9,6.0,3.0,268.2,6.0,3.0,506.6,5.0,3.0,795.3
6.0,5.0,97.0,6.0,5.0,479.4,6.0,5.0,179.4,6.0,5.0,178.2,6.0,4.0,416.8,5.0,4.0,666.7
