1,川上 剛,川上 剛.1,2,森林 太,森林 太.1,3,峰重 力也,峰重 力也.1,4,渡 修平,渡 修平.1,5,伊藤 啓三,伊藤 啓三.1,6,竹下 大樹,竹下 大樹.1
2.0,3.0,16.0,1.0,3.0,120.6,1.0,2.0,78.7,1.0,2.0,420.8,1.0,2.0,105.9,1.0,2.0,251.3
2.0,4.0,35.0,1.0,4.0,221.2,1.0,4.0,106.0,1.0,3.0,441.8,1.0,3.0,78.2,1.0,3.0,209.7
2.0,5.0,13.1,1.0,5.0,122.5,1.0,5.0,41.0,1.0,5.0,299.9,1.0,4.0,189.7,1.0,4.0,422.5
2.0,6.0,16.8,1.0,6.0,168.2,1.0,6.0,61.2,1.0,6.0,342.3,1.0,6.0,48.8,1.0,5.0,136.8
3.0,2.0,15.8,3.0,1.0,200.1,2.0,1.0,199.5,2.0,1.0,827.1,2.0,1.0,324.1,2.0,1.0,856.8
3.0,4.0,25.9,3.0,4.0,475.7,2.0,4.0,581.9,2.0,3.0,1230.0,2.0,3.0,678.7,2.0,3.0,1505.0
3.0,5.0,8.6,3.0,5.0,407.0,2.0,5.0,404.3,2.0,5.0,1429.0,2.0,4.0,1136.0,2.0,4.0,1988.0
3.0,6.0,12.4,3.0,6.0,467.1,2.0,6.0,451.4,2.0,6.0,1240.0,2.0,6.0,493.9,2.0,5.0,1276.0
4.0,2.0,59.9,4.0,1.0,453.4,4.0,1.0,301.4,3.0,1.0,704.9,3.0,1.0,168.3,3.0,1.0,420.8
4.0,3.0,54.2,4.0,3.0,609.3,4.0,2.0,652.9,3.0,2.0,1170.0,3.0,2.0,501.8,3.0,2.0,1076.0
4.0,5.0,40.9,4.0,5.0,635.6,4.0,5.0,345.4,3.0,5.0,868.8,3.0,4.0,664.1,3.0,4.0,1292.0
4.0,6.0,46.9,4.0,6.0,627.8,4.0,6.0,405.9,3.0,6.0,1000.0,3.0,6.0,250.9,3.0,5.0,520.4
5.0,2.0,16.8,5.0,1.0,305.5,5.0,1.0,91.5,5.0,1.0,507.6,4.0,1.0,609.3,4.0,1.0,1123.0
5.0,3.0,13.6,5.0,3.0,719.6,5.0,2.0,294.2,5.0,2.0,1354.0,4.0,2.0,1449.0,4.0,2.0,2606.0
5.0,4.0,41.9,5.0,4.0,1027.0,5.0,4.0,301.7,5.0,3.0,1016.0,4.0,3.0,1047.0,4.0,3.0,2169.0
5.0,6.0,10.0,5.0,6.0,606.9,5.0,6.0,120.6,5.0,6.0,588.5,4.0,6.0,622.8,4.0,5.0,1520.0
6.0,2.0,30.1,6.0,1.0,631.7,6.0,1.0,180.8,6.0,1.0,771.5,6.0,1.0,118.9,5.0,1.0,203.5
6.0,3.0,28.0,6.0,3.0,1020.0,6.0,2.0,593.0,6.0,2.0,1713.0,6.0,2.0,358.5,5.0,2.0,674.2
6.0,4.0,62.3,6.0,4.0,1535.0,6.0,4.0,572.2,6.0,3.0,1590.0,6.0,3.0,258.4,5.0,3.0,420.2
6.0,5.0,20.4,6.0,5.0,811.9,6.0,5.0,212.7,6.0,5.0,954.3,6.0,4.0,536.6,5.0,4.0,906.9
