1,大塚 康雅,大塚 康雅.1,2,西原 明生,西原 明生.1,3,田山 和広,田山 和広.1,4,村上 純,村上 純.1,5,羽田 妃希,羽田 妃希.1,6,上野 秀和,上野 秀和.1
2.0,3.0,10.9,1.0,3.0,32.1,1.0,2.0,71.0,1.0,2.0,36.0,1.0,2.0,797.6,1.0,2.0,147.4
2.0,4.0,8.8,1.0,4.0,33.3,1.0,4.0,102.0,1.0,3.0,58.0,1.0,3.0,722.6,1.0,3.0,187.9
2.0,5.0,49.3,1.0,5.0,126.6,1.0,5.0,216.7,1.0,5.0,270.1,1.0,4.0,960.0,1.0,4.0,150.4
2.0,6.0,14.0,1.0,6.0,36.6,1.0,6.0,86.4,1.0,6.0,57.9,1.0,6.0,677.1,1.0,5.0,590.7
3.0,2.0,19.1,3.0,1.0,39.8,2.0,1.0,73.8,2.0,1.0,59.8,2.0,1.0,1058.0,2.0,1.0,202.8
3.0,4.0,24.5,3.0,4.0,66.2,2.0,4.0,109.1,2.0,3.0,133.7,2.0,3.0,732.4,2.0,3.0,280.5
3.0,5.0,94.3,3.0,5.0,114.0,2.0,5.0,201.2,2.0,5.0,423.9,2.0,4.0,1385.0,2.0,4.0,238.7
3.0,6.0,30.5,3.0,6.0,45.1,2.0,6.0,85.3,2.0,6.0,136.3,2.0,6.0,1075.0,2.0,5.0,609.5
4.0,2.0,9.7,4.0,1.0,59.5,4.0,1.0,176.6,3.0,1.0,169.9,3.0,1.0,829.6,3.0,1.0,316.2
4.0,3.0,18.3,4.0,3.0,106.8,4.0,2.0,199.1,3.0,2.0,195.0,3.0,2.0,790.6,3.0,2.0,323.0
4.0,5.0,97.9,4.0,5.0,360.8,4.0,5.0,680.5,3.0,5.0,763.6,3.0,4.0,2100.0,3.0,4.0,471.6
4.0,6.0,20.8,4.0,6.0,106.1,4.0,6.0,251.4,3.0,6.0,263.0,3.0,6.0,1194.0,3.0,5.0,840.0
5.0,2.0,177.0,5.0,1.0,330.6,5.0,1.0,394.7,5.0,1.0,817.0,4.0,1.0,1445.0,4.0,1.0,194.7
5.0,3.0,233.9,5.0,3.0,288.1,5.0,2.0,419.3,5.0,2.0,963.4,4.0,2.0,1659.0,4.0,2.0,265.3
5.0,4.0,235.5,5.0,4.0,571.9,5.0,4.0,837.4,5.0,3.0,1392.0,4.0,3.0,2512.0,4.0,3.0,342.0
5.0,6.0,226.4,5.0,6.0,316.9,5.0,6.0,421.3,5.0,6.0,956.6,4.0,6.0,1792.0,4.0,5.0,1050.0
6.0,2.0,35.6,6.0,1.0,77.5,6.0,1.0,134.0,6.0,1.0,134.2,6.0,1.0,988.2,5.0,1.0,1250.0
6.0,3.0,53.6,6.0,3.0,92.6,6.0,2.0,154.4,6.0,2.0,179.5,6.0,2.0,1337.0,5.0,2.0,1022.0
6.0,4.0,44.1,6.0,4.0,122.1,6.0,4.0,226.8,6.0,3.0,310.7,6.0,3.0,1357.0,5.0,3.0,1422.0
6.0,5.0,205.3,6.0,5.0,250.0,6.0,5.0,367.2,6.0,5.0,720.6,6.0,4.0,1976.0,5.0,4.0,1841.0
